科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月
销售商品、提供劳务收到的现金,"847,121,079.48","1,801,366,731.17","2,225,966,354.38","4,183,065,133.31","829,403,390.54","2,089,121,430.14","2,772,603,682.49","3,690,461,837.18","897,592,019.98","1,999,405,874.85","3,084,155,309.23","3,800,953,984.08","1,096,234,823.72","1,950,485,049.45","2,505,202,049.98","4,242,259,224.60","1,038,845,667.55","1,980,064,410.47","2,869,068,069.27"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,
收到的税费返还,"6,887.18","6,887.18","1,792,200.46","53,933,197.29","7,455,862.99","9,045,324.48","9,201,339.52","29,195,560.81",,"1,568,575.40","1,725,661.49","7,371,131.10",,,,,,,"224,489.87"
支付其他与投资活动有关的现金,,"304,800.00","3,316,717.40","3,216,826.84",,"15,582.74",,,,,"9,885.00",,,,,,,,
收到其他与经营活动有关的现金,"8,225,691.23","20,106,926.47","32,874,997.68","77,028,600.89","15,373,335.59","12,886,581.25","33,108,443.41","48,105,832.46","9,213,850.38","15,648,923.97","24,454,569.40","60,175,055.01","22,521,190.04","11,024,984.45","15,976,805.70","34,021,055.83","5,663,099.64","13,454,811.15","20,245,092.83"
投资活动现金流出小计,"125,927,716.28","263,344,479.67","383,524,856.20","485,532,778.30","56,394,917.32","189,915,599.11","253,938,511.16","320,409,349.57","57,235,386.57","161,868,501.21","215,026,015.25","439,201,531.38","19,779,658.35","49,997,817.53","55,357,651.49","111,876,376.06","22,545,273.80","35,797,043.36","45,451,531.29"
经营活动现金流入小计,"855,353,657.89","1,821,480,544.82","2,260,633,552.52","4,314,026,931.49","852,232,589.12","2,111,053,335.87","2,814,913,465.42","3,767,763,230.45","906,805,870.36","2,016,623,374.22","3,110,335,540.12","3,868,500,170.19","1,118,756,013.76","1,961,510,033.90","2,521,178,855.68","4,276,280,280.43","1,044,508,767.19","1,993,519,221.62","2,889,537,651.97"
投资活动产生的现金流量净额,"-125,742,216.28","-263,044,336.20","-382,154,700.73","-480,833,424.98","-56,377,293.32","-189,861,458.11","-253,884,370.16","-319,704,442.22","-57,098,428.45","-161,207,213.09","-213,916,347.13","-438,127,766.48","-19,748,050.82","-48,325,521.25","-52,854,203.66","-109,339,347.06","-22,542,997.02","-35,794,766.58","-45,448,884.87"
购买商品、接受劳务支付的现金,"349,619,081.99","912,928,365.29","1,061,524,090.16","2,601,801,385.10","697,362,576.30","1,304,592,421.30","1,859,429,865.91","2,083,290,698.52","508,318,051.47","1,213,194,418.78","1,927,599,652.45","2,456,272,448.95","645,506,541.61","1,051,999,900.64","1,197,832,812.68","2,514,377,680.20","523,916,427.29","1,055,086,085.82","1,694,639,990.31"
吸收投资收到的现金,,,,"2,650,000.00",,,,"5,390,000.00",,,,,,,,,,,
支付给职工以及为职工支付的现金,"49,042,183.14","86,263,750.08","130,174,276.17","183,661,289.57","59,560,178.87","116,753,150.76","145,589,433.27","222,852,358.42","68,682,810.19","116,489,746.57","182,400,573.17","296,857,125.51","73,247,968.24","136,444,618.72","206,083,236.51","296,300,041.33","78,716,877.96","167,751,270.88","249,508,056.47"
取得借款收到的现金,"591,916,954.19","1,048,417,802.48","1,445,638,154.70","2,097,362,584.08","589,682,634.26","570,560,000.00","1,260,952,024.70","2,007,788,842.41","631,785,134.26","1,248,576,361.42","1,681,042,500.00","2,814,865,826.43","143,405,000.00","657,215,708.40","1,667,444,673.15","2,286,501,289.38","296,449,502.74","558,894,914.06","1,115,589,044.25"
支付的各项税费,"241,776,704.14","505,497,851.08","625,796,987.50","898,160,717.46","183,970,134.69","429,302,952.19","594,813,754.93","971,874,429.74","141,843,937.36","454,976,173.00","682,251,490.08","763,595,197.58","233,115,709.61","561,018,357.74","746,718,318.73","990,185,161.90","343,788,135.78","600,547,087.18","694,952,732.25"
收到其他与筹资活动有关的现金,"7,581.83","68,881,101.80","68,881,101.80","68,850,570.72","7,581.83",,"148,596.54",,,"1,232,484.81",0.15,,,,,,"15,000,000.00","60,000,000.00",
支付其他与经营活动有关的现金,"76,048,390.02","129,832,784.09","209,077,411.02","266,269,764.86","45,423,917.37","117,706,996.62","150,143,620.77","188,452,423.05","43,354,418.44","125,978,894.69","188,452,853.21","233,968,851.68","30,458,419.67","99,402,847.47","156,566,969.19","150,381,108.15","31,271,140.29","77,234,480.90","122,780,272.49"
筹资活动现金流入小计,"591,924,536.02","1,117,298,904.28","1,514,519,256.50","2,168,863,154.80","589,690,216.09","570,560,000.00","1,261,100,621.24","2,013,178,842.41","631,785,134.26","1,249,808,846.23","1,681,042,500.15","2,839,865,826.43","143,405,000.00","657,215,708.40","1,667,444,673.15","2,286,501,289.38","311,449,502.74","618,894,914.06","1,115,589,044.25"
经营活动现金流出小计,"716,486,359.29","1,634,522,750.54","2,026,572,764.85","3,949,893,156.99","986,316,807.23","1,968,355,520.87","2,749,976,674.88","3,466,469,909.73","762,199,217.46","1,910,639,233.04","2,980,704,568.91","3,750,693,623.72","982,328,639.13","1,848,865,724.57","2,307,201,337.11","3,951,243,991.58","977,692,581.32","1,900,618,924.78","2,761,881,051.52"
偿还债务支付的现金,"358,882,196.24","623,779,405.88","1,070,976,823.85","1,579,673,971.07","441,217,145.98","631,855,984.80","1,262,861,546.85","1,996,738,842.41","570,636,462.62","1,030,193,107.06","1,522,643,107.06","2,518,841,598.81","270,490,000.00","871,389,476.77","1,847,173,410.58","2,485,615,871.37","318,481,650.15","623,704,283.24","1,045,222,703.45"
经营活动产生的现金流量净额,"138,867,298.60","186,957,794.28","234,060,787.67","364,133,774.50","-134,084,218.11","142,697,815.00","64,936,790.54","301,293,320.72","144,606,652.90","105,984,141.18","129,630,971.21","117,806,546.47","136,427,374.63","112,644,309.33","213,977,518.57","325,036,288.85","66,816,185.87","92,900,296.84","127,656,600.45"
分配股利、利润或偿还利息支付的现金,"19,405,849.20","35,300,193.26","53,714,487.44","91,006,078.56","25,937,748.43","55,409,201.59","77,625,462.40","113,259,923.75","22,636,735.48","87,315,912.34","110,648,898.74","158,323,861.27","25,105,600.38","47,429,684.93","72,754,291.30","103,577,614.03","24,042,500.51","49,738,450.31","76,984,493.99"
收回投资收到的现金,,,,"3,000,000.00",,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"144,801.61","6,196,926.83","15,929,293.43","1,411,778.61","8,754,131.07","53,009.85","33,987,340.89","42,743,240.71","8,564,235.10","17,154,955.69","25,823,949.41","26,956,487.36","644,759.38","694,789.26","1,300,409.26","29,590,097.13","45,000.00","15,061,000.00","61,000.00"
取得投资收益收到的现金,,,,"20,250.00",,,,,,,,,,,"27,509.58","27,509.58",,,
筹资活动现金流出小计,"378,432,847.05","665,276,525.97","1,140,620,604.72","1,672,091,828.24","475,909,025.48","687,318,196.24","1,374,474,350.14","2,152,742,006.87","601,837,433.20","1,134,663,975.09","1,659,115,955.21","2,704,121,947.44","296,240,359.76","919,513,950.96","1,921,228,111.14","2,618,783,582.53","342,569,150.66","688,503,733.55","1,122,268,197.44"
处置固定资产、无形资产和其他长期资产收回的现金净额,"185,500.00","300,143.47","338,933.47","495,071.95","17,624.00","54,141.00","54,141.00","261,141.00","136,938.12","631,268.12","1,079,648.12","1,073,764.90","31,607.53","1,672,296.28","1,700,196.28","2,509,519.42","2,276.78","2,276.78","2,646.42"
