科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"202,848,497.03","252,203,692.14","132,930,659.98","339,186,013.44","31,105,156.98","125,250,834.77","156,787,762.89","203,733,576.68","50,971,321.97","181,917,828.68","237,119,370.40","346,944,902.39","37,314,750.01","48,649,567.41","104,220,839.20","167,992,673.11","33,415,272.73","73,219,054.32","266,859,081.83","473,106,571.97","41,717,509.31","85,982,819.04","158,028,230.26","378,001,805.56","52,821,618.27","137,130,513.08","231,343,075.35","486,102,216.20","93,472,312.31","182,054,608.72","340,179,247.02","774,820,126.19","83,809,471.15","239,005,959.48","434,175,479.34"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"142,443,500.00",,,,"300,000,000.00",,"44,800,000.00","54,800,000.00"
收到的税费返还,"2,181,506.35","30,070,993.70","2,517,755.15","3,619,779.09",,"7,026,493.20","7,923,485.28","8,963,721.54","928,322.98","5,915,949.25","7,024,093.75","8,330,010.44","3,469,603.37","6,990,129.44","8,022,480.60","11,083,659.82","1,445,426.92","8,274,746.20","14,505,184.81","18,920,692.72","6,238,608.36","8,011,142.44","11,737,856.02","19,123,100.30","4,240,801.62","7,105,802.41","7,943,769.32","18,613,039.83","1,660,484.34","3,945,794.27","5,914,176.48","10,080,150.78","2,818,193.26","4,290,852.81","6,013,370.45"
支付其他与投资活动有关的现金,,,,,,,"2,677.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"37,945,981.34","20,231,931.07","299,419.08","4,888,879.40","1,214,825.14","1,377,644.69","2,639,358.39","10,960,223.28","518,264.45","3,099,137.47","3,878,713.28","9,635,168.61","1,194,463.72","6,507,095.93","10,592,299.19","14,709,023.28","1,950,352.55","3,141,553.84","4,547,422.97","8,652,559.00","3,240,602.60","6,425,774.37","13,186,224.74","48,513,884.09","1,546,535.95","5,842,228.58","13,115,517.61","74,277,474.14","2,673,406.61","9,862,107.47","13,768,318.47","57,091,343.30","4,762,497.38","10,577,621.72","18,434,076.96"
投资活动现金流出小计,"9,535,884.13","56,592,082.13","2,016,715.99","11,302,895.27","12,802,146.12","16,582,598.54","28,243,024.25","43,063,870.83","12,863,545.29","31,769,888.77","55,189,515.56","100,541,187.66","43,780,712.56","82,555,915.82","125,310,236.10","175,148,186.98","595,634,626.05","979,936,688.71","1,130,932,905.49","1,165,366,586.27","348,131,613.46","639,540,504.72","1,020,102,199.89","1,089,201,444.59","397,586,755.20","407,637,316.22","476,519,695.14","636,615,891.31","20,586,186.55","38,226,023.96","371,863,339.77","569,224,228.60","354,133,648.60","591,399,814.96","863,012,938.33"
经营活动现金流入小计,"242,975,984.72","302,506,616.91","135,747,834.21","347,694,671.93","32,319,982.12","133,654,972.66","167,350,606.56","223,657,521.50","52,417,909.40","190,932,915.40","248,022,177.43","364,910,081.44","41,978,817.10","62,146,792.78","122,835,618.99","193,785,356.21","36,811,052.20","84,635,354.36","285,911,689.61","500,679,823.69","51,196,720.27","100,419,735.85","182,952,311.02","445,638,789.95","58,608,955.84","150,078,544.07","252,402,362.28","578,992,730.17","97,806,203.26","195,862,510.46","359,861,741.97","841,991,620.27","91,390,161.79","253,874,434.01","458,622,926.75"
投资活动产生的现金流量净额,"-9,535,884.13","-56,531,082.13","-2,016,715.99","-11,302,895.27","-12,802,146.12","-16,582,598.54","-28,243,024.25","-43,063,870.83","-12,863,545.29","-31,769,888.77","-55,189,515.56","-100,541,187.66","-43,739,712.56","-82,514,915.82","-125,194,236.10","-138,217,903.41","-583,184,015.05","-562,178,037.34","-560,540,667.18","-227,114,756.29","-246,746,175.32","-211,972,379.73","-261,394,342.99","-148,918,767.83","-196,083,360.92","-43,825,068.05","-112,704,749.04","-266,890,092.65","-20,586,186.55","-38,226,023.96","-371,862,845.65","-461,963,443.36","-173,485,577.12","-219,860,385.92","-339,938,584.63"
购买商品、接受劳务支付的现金,"305,404,612.39","180,608,198.19","22,159,777.55","212,661,981.80","22,922,665.37","41,804,144.21","74,982,617.88","140,054,910.70","62,371,795.20","106,714,158.96","146,862,777.20","212,450,786.75","33,526,277.16","76,138,898.39","148,159,116.52","249,443,305.00","48,429,306.80","139,007,151.70","212,400,652.57","318,163,864.58","114,590,503.80","184,646,929.33","242,316,849.22","268,682,060.70","55,083,891.07","121,938,340.48","162,649,662.27","232,486,437.53","122,854,594.51","284,555,755.39","272,284,073.83","536,354,582.63","74,163,651.88","153,890,685.14","263,208,676.48"
吸收投资收到的现金,,,,,,,"1,875,500,000.00","1,875,500,000.00",,,,,,,,,,,,,,,,,,,,"98,000,000.00",,,"605,954,393.60","602,645,337.09",,,
