科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"39,667,667,087.36","35,207,372,366.66","37,585,048,885.78","17,413,169,549.53","25,250,040,277.73","39,983,068,872.68","13,735,328,781.04","21,949,721,724.11","31,749,014,242.32","40,688,723,021.79","16,004,191,258.29","23,691,831,549.87"
取得子公司及其他营业单位支付的现金净额,,,"243,210,225.79",,,,,,,"239,057,686.00",,
收到的税费返还,"2,869,903.74","5,417,806.43","3,521,498.40","360,878.03","360,878.03","1,379,361.50",,,"797,426.25","1,262,575.72",,"315,486.80"
支付其他与投资活动有关的现金,,"250,593,522.34","811,847,253.02","653,691,504.06","772,111,951.01","1,155,558,496.98","133,674,812.55","187,142,434.63","287,031,240.70","305,757,077.68","107,656,226.66","152,681,922.78"
收到其他与经营活动有关的现金,"2,278,796,156.07","2,070,918,020.09","2,634,956,849.32","809,852,325.15","1,137,741,032.90","3,031,806,248.98","755,114,006.09","2,314,007,710.33","3,073,963,499.72","5,396,972,722.48","1,272,579,708.16","3,978,642,773.00"
投资活动现金流出小计,"2,039,207,098.60","819,938,017.39","1,555,980,243.43","899,465,443.96","1,038,145,442.76","1,506,919,044.38","273,731,751.56","537,420,354.16","916,097,285.44","1,242,791,336.22","122,066,720.53","201,135,286.67"
经营活动现金流入小计,"41,949,333,147.17","37,283,708,193.18","40,223,527,233.50","18,223,382,752.71","26,388,142,188.66","43,016,254,483.16","14,490,442,787.13","24,263,729,434.44","34,823,775,168.29","46,138,267,603.28","17,286,733,947.11","27,691,417,639.94"
投资活动产生的现金流量净额,"-1,014,019,599.90","134,519,679.70","1,214,985,275.19","-343,416,666.59","-335,334,940.26","2,364,811,165.23","-126,699,859.01","-317,095,497.91","-548,639,412.71","-980,471,660.15","-37,441,693.21","26,940,817.39"
购买商品、接受劳务支付的现金,"37,793,217,442.92","31,447,541,837.82","34,013,492,851.91","16,174,521,357.41","22,816,421,211.51","37,135,201,480.51","12,751,004,067.66","19,834,803,535.38","29,361,056,209.00","37,036,928,955.06","15,999,667,839.70","22,646,281,447.96"
吸收投资收到的现金,,,"54,880,000.00",,"2,500,000.00","5,000,000.00","553,171,840.00","563,171,840.00","553,171,840.00","553,068,930.57",,
支付给职工以及为职工支付的现金,"1,323,924,308.56","1,413,040,975.84","1,446,470,072.95","697,289,655.38","1,036,124,569.61","1,395,313,250.72","417,644,538.11","748,135,358.12","1,093,440,145.18","1,537,818,559.02","464,567,288.94","822,733,465.39"
取得借款收到的现金,"12,410,042,461.06","12,164,440,119.50","12,405,895,020.58","5,315,490,000.00","7,822,260,000.00","11,904,640,000.00","1,607,500,000.00","6,491,176,338.24","9,420,526,338.24","11,738,206,338.24","2,851,150,000.00","5,836,700,000.00"
