科目,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"33,835,681,954.30","47,450,703,566.37","13,154,186,067.38","27,707,391,487.03","42,694,596,646.75","58,304,174,674.71","12,400,574,011.85","24,414,420,657.14","38,178,097,190.05","54,277,455,874.50","12,840,042,564.89"
取得子公司及其他营业单位支付的现金净额,,"10,560,000.00",,"10,560,000.00","10,560,000.00","10,560,000.00",,,,"36,782,340.13","15,000,000.00"
收到的税费返还,"12,325,795.86","25,029,316.67","1,008,110.13","7,383,174.56","16,805,895.29","34,211,906.30","3,746,709.74","8,067,011.02","11,934,944.33","35,442,162.72","5,021,966.61"
支付其他与投资活动有关的现金,"30,558,933.53",,,,,"2,060,330.46",,,,,
收到其他与经营活动有关的现金,"569,576,783.17","426,081,742.90","69,450,029.14","337,491,978.01","556,109,316.41","787,253,642.86","114,387,469.14","59,919,668.66","218,426,848.62","202,421,238.29","132,711,494.48"
投资活动现金流出小计,"5,148,344,130.12","7,978,709,202.74","2,179,560,342.27","5,583,197,979.02","9,001,526,824.30","10,892,593,723.67","2,380,234,079.63","4,747,260,819.62","8,267,170,734.06","11,367,420,138.46","2,130,760,117.47"
经营活动现金流入小计,"34,417,584,533.33","47,901,814,625.94","13,224,644,206.65","28,052,266,639.60","43,267,511,858.45","59,125,640,223.87","12,518,708,190.73","24,482,407,336.82","38,408,458,983.00","54,515,319,275.51","12,977,776,025.98"
投资活动产生的现金流量净额,"-3,120,292,437.26","-6,096,039,239.91","-1,612,258,206.84","-4,505,977,511.60","-7,447,699,174.37","-8,580,232,552.78","-1,747,411,447.15","-20,885,679.52","-4,417,599,860.44","-8,764,558,975.98","-188,173,145.47"
购买商品、接受劳务支付的现金,"25,113,888,159.09","33,239,176,060.76","8,961,359,069.73","16,901,743,669.13","26,888,498,508.22","37,792,473,583.49","9,792,241,978.63","19,359,656,062.80","29,017,925,498.19","38,795,383,107.15","9,839,172,989.50"
吸收投资收到的现金,,"45,711,012.09",,"1,500,000.00","1,500,000.00","4,516,092.45","5,835,000.00","6,105,000.00","19,905,000.00","26,755,000.00",
支付给职工以及为职工支付的现金,"2,561,914,028.68","3,684,762,309.12","1,561,348,314.18","2,590,397,621.61","3,683,457,866.42","4,627,590,251.36","1,303,155,349.30","3,677,951,631.10","4,714,649,737.73","5,774,006,864.92","2,368,524,416.45"
取得借款收到的现金,"1,991,916,452.06","1,904,830,043.72",,,,,"500,000,000.00","3,701,000,000.00","3,701,000,000.00","3,701,000,000.00","1,000,000,000.00"
支付的各项税费,"79,050,896.07","208,899,207.45","73,399,734.25","108,093,665.43","171,659,769.59","282,228,738.44","72,115,501.39","205,473,421.99","272,599,594.86","308,299,023.28","62,557,931.63"
收到其他与筹资活动有关的现金,,"38,134,174.56",,"15,334,863.11","23,932,791.28","20,810,856.22","4,901,118.87","19,982,390.24","37,713,024.24","23,922,879.45","3,906,303.04"
支付其他与经营活动有关的现金,"885,410,434.20","1,465,754,209.00","312,410,263.54","678,680,514.02","1,089,698,672.92","1,770,603,930.72","395,254,287.78","801,899,264.38","1,232,229,181.07","1,643,611,835.20","382,314,485.27"
筹资活动现金流入小计,"2,491,916,452.06","2,788,675,230.37",,"16,834,863.11","25,432,791.28","25,326,948.67","1,010,736,118.87","4,227,087,390.24","6,258,618,024.24","6,251,677,879.45","1,003,906,303.04"
经营活动现金流出小计,"28,640,263,518.04","38,598,591,786.33","10,908,517,381.70","20,278,915,470.19","31,833,314,817.15","44,472,896,504.01","11,562,767,117.10","24,044,980,380.27","35,237,404,011.85","46,521,300,830.55","12,652,569,822.85"
