科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,"11,822,057.30","11,780,354.07","14,701,786.39","5,361,775.21","2,182,022.42","5,714,330.32","3,449,939.84","3,643,936.24","4,360,217.43","7,944,802.70","6,192,278.37","3,558,020.36","1,430,737.63","4,317,867.14","466,547.22","6,530,065.47","6,912,844.31","1,921,251.04","2,696,219.73","1,831,280.12","5,221,845.78","2,082,208.42","9,789,361.38","1,692,935.29","1,271,723.87","1,285,779.83","954,749.45","1,062,098.96","1,414,282.98","30,751.58"
短期借款,"200,933,050.59","224,554,049.09","223,004,049.09","221,452,098.50","220,652,098.48","219,851,982.48","219,851,982.48","214,346,035.98","213,845,885.98","213,665,885.98","211,587,085.98","202,359,085.98","202,266,585.98","202,266,585.98","202,266,585.98","202,266,585.98","202,266,585.98","202,266,585.98","176,921,985.98","176,921,985.98","176,921,985.98","176,921,985.98","176,921,985.98","176,921,985.98","176,921,985.98","176,670,054.05","176,670,054.05","133,781,669.57","133,781,669.57","108,702,551.97"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,589,724.00","5,071,020.00","8,451,242.37","5,557,282.25","1,960,148.00","8,807,734.90","5,284,476.00","4,464,054.55","3,625,621.35","629,082.88","3,262,772.77","2,065,000.00","635,111.00","2,880,000.00","7,745,035.16","5,000,000.00","6,800,000.00","1,040,000.00","3,734,620.20","600,000.00","7,474,206.00","2,000,000.00","2,315,300.00","1,410,000.00","2,533,831.52","1,958,651.52","1,798,800.00","1,558,800.00","1,272,000.00",
应付票据,"11,300,000.00","11,300,000.00","5,650,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"17,638,320.98","15,269,902.85","13,566,030.25","1,515,477.94","10,926,926.83","3,180,217.93","7,042,634.11","2,456,432.10","10,196,750.72","8,305,042.08","2,862,371.37","7,379,079.33","11,518,707.81","4,714,338.93","1,412,107.73","735,248.31","735,248.31","754,559.20","5,200,426.62","735,248.31","2,119,524.11","735,248.31","5,002,857.03","735,248.31","763,525.85","763,525.85","737,253.50","191,431.51","-5,920.56",
应付账款,"351,688,216.86","343,713,733.79","273,232,165.38","87,846,843.60","88,319,745.53","80,881,193.03","77,563,849.58","72,852,057.98","69,342,518.33","68,501,125.65","47,299,548.36","49,672,875.42","47,401,110.71","45,944,150.52","44,041,068.77","43,612,648.16","47,862,046.93","54,982,690.18","33,075,827.26","23,411,333.60","29,214,757.53","18,914,748.16","31,435,873.78","4,497,294.99","1,720,625.84","1,720,625.84","2,004,047.74","2,529,323.05","2,251,832.97","1,720,625.84"
预付款项,"238,781,166.64","241,917,762.89","200,927,253.48","10,291,676.64","18,692,038.13","33,005,251.80","35,571,751.38","19,823,292.02","9,054,455.87","9,058,964.09","14,815,885.45","7,848,418.59","9,022,615.27","1,556,303.48","717,721.49","308,475.41","135,828.87","5,950,716.87","8,494,248.78","6,787,733.58","5,280,802.38","6,593,820.38","2,787,161.05","135,828.87","135,828.87","135,828.87","135,828.87",,,
预收款项,"39,361,738.56","60,179,537.94","65,601,209.31","8,255,206.33","13,521,062.08","16,114,123.74","19,107,614.72","11,956,722.41","15,915,580.53","12,370,393.36","23,942,084.16","23,038,706.07","16,504,034.29","7,780,464.25","1,387,799.45","978,553.37","978,553.37","1,529,438.17","1,284,908.71","2,649,835.79","1,174,686.27","4,000,300.53","1,076,989.42","5,950,061.48","1,121,642.15","1,121,870.07","978,553.37","978,553.37","978,553.37","978,553.37"
其他应收款,"40,417,972.99","46,691,603.77","48,169,883.00","102,955,786.59","104,496,813.63","72,014,228.82","65,695,335.14","90,856,718.79","84,343,892.19","72,921,914.57","66,215,006.68","65,339,630.50","64,074,316.56","63,079,658.16","72,087,875.90","57,815,449.47","60,961,291.95","62,825,973.82","12,345,018.10","50,586,401.48","48,449,862.62","51,078,070.11","49,806,650.24","40,058,228.97","38,773,260.55","28,363,618.36","23,947,225.36","30,872,039.43","27,806,027.21","2,800,431.42"
应付职工薪酬,"25,777,868.66","26,246,417.49","26,432,132.14","25,629,842.83","23,182,941.94","23,161,224.11","23,129,230.90","23,050,282.86","22,956,781.61","22,991,892.29","23,850,245.14","24,037,434.38","23,306,889.76","21,717,391.18","21,910,758.55","21,621,874.74","21,514,907.95","21,510,187.06","21,396,815.99","21,328,717.90","21,291,314.42","21,273,434.10","21,259,931.82","21,178,953.26","21,111,659.38","21,127,699.77","21,113,689.70","21,084,286.34","21,020,121.34","20,896,431.49"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-1,884,933.86","590,010.54","4,332,782.73","5,552,560.24","7,970,835.67","11,467,895.27","13,300,004.08","13,840,916.53","13,904,524.55","14,944,458.31","12,403,654.71","9,801,578.84","10,765,349.73","11,633,907.55","14,864,983.99","15,801,491.81","14,730,258.72","11,757,561.66","11,508,666.67","14,333,114.76","14,868,302.15","14,736,787.89","13,104,329.63","16,084,298.32","15,825,985.57","15,521,002.58","15,027,876.37","26,710,937.99","28,028,045.22","32,435,602.33"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
