科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"532,154,270.36","670,011,138.62","1,021,115,667.15","1,126,547,290.43","3,257,584,874.53","2,955,239,026.85","4,886,997,881.57","6,057,157,991.33","2,254,079,359.16","2,971,520,463.20","2,060,910,319.25","2,166,677,869.74","2,507,326,672.09","2,186,333,253.53","2,397,999,870.32","2,530,515,949.37","2,339,398,061.70","2,000,817,878.62","1,997,628,832.80","1,692,247,528.30","2,440,913,405.21","2,801,659,520.32","2,377,809,696.50","2,889,805,279.82","2,933,297,517.35","6,227,271,075.89","6,070,802,142.10","6,432,135,958.75","6,741,279,123.84","7,267,732,551.29","6,380,860,572.15","6,914,251,874.41","7,507,917,166.59","6,191,732,071.56"
短期借款,"630,204,401.96","61,733,000.00","21,660,000.00","373,260,000.00","1,265,000,000.00","1,465,000,000.00","1,865,000,000.00","1,696,000,000.00","621,000,000.00","836,000,000.00","669,500,000.00","1,034,500,000.00","1,278,033,101.12","917,967,077.54","533,322,377.17","312,449,059.87","394,592,844.90","338,826,990.55","457,410,516.55","579,443,877.71","907,302,821.28","536,292,910.86","592,069,382.85","589,078,458.58","601,694,492.83","729,359,000.30","512,379,841.05","534,487,467.49","499,427,798.80","2,035,787,765.95","3,908,797,189.08","3,804,644,543.90","3,271,234,002.74","3,064,560,551.69"
交易性金融资产,,,,,,,"451,530,201.65","606,105,763.34",,,"100,531,483.20",,,"7,500,000.00","7,554,712.20","7,623,219.83","12,412,829.99","14,553,176.40","14,288,449.89","15,367,737.99","15,445,634.60","17,944,235.31","9,040,903.00","25,466,647.50","16,179,169.50","12,747,074.50","33,973,849.59","32,815,756.59","7,304,407.50","5,914,481.50","5,475,926.50","6,079,259.66","5,050,497.50","5,509,337.50"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,810,902.00","4,143,286.00"
应收票据,,"895,790.10","3,050,000.00","5,526,313.68","95,490,533.52","132,223,308.58","69,716,487.24","62,828,538.15","143,128,482.88","65,320,631.51","112,731,390.64","88,347,589.15","63,069,669.70","86,425,340.45","86,403,320.66","110,182,417.36","60,056,586.58","86,758,193.34","110,152,890.23","108,353,007.38","90,865,505.13","113,246,281.45","113,321,466.94","62,448,425.12","81,250,783.25","104,079,260.46","71,502,992.10","113,118,504.92","158,645,593.12","126,599,552.57","144,592,220.10","125,340,765.64","175,462,684.29","193,212,395.88"
应付票据,"57,230,000.00","58,920,000.00","21,500,000.00","43,520,000.00","12,650,000.00","3,000,000.00",,"16,850,000.00","74,030,000.00","34,730,000.00","14,516,733.00","14,856,733.00","16,730,000.00","28,652,478.72","62,545,378.72","60,902,900.00","31,680,000.00","47,920,190.20","30,040,190.20","8,409,000.00","12,714,000.00","12,864,000.00","7,400,000.00","8,750,000.00","12,940,000.00","10,490,000.00",,"1,550,000.00","1,250,000.00",,,,,
应收账款,"69,074,665.82","100,360,450.45","94,366,279.32","182,795,854.16","340,819,755.89","436,025,745.61","492,718,249.57","477,078,646.27","436,020,259.55","670,967,057.40","721,153,032.42","647,490,300.83","473,175,991.01","611,852,949.47","584,436,258.18","563,476,397.17","502,348,024.46","733,153,231.29","765,950,998.55","916,513,088.78","837,441,400.50","1,011,124,414.27","984,175,103.01","898,395,911.08","821,726,759.91","850,950,061.20","933,237,865.00","833,809,596.92","658,558,980.91","640,862,333.97","703,337,454.04","708,979,528.89","1,026,421,198.51","1,261,008,182.99"
应付账款,"45,222,435.29","41,574,069.61","53,868,429.69","77,854,225.54","94,303,798.29","91,264,455.43","112,458,658.30","105,878,631.54","145,982,948.04","129,887,149.89","135,267,969.87","126,217,143.99","177,028,677.66","396,765,713.24","136,052,784.42","193,060,445.76","215,262,053.67","216,293,024.82","209,092,016.86","231,765,532.46","374,676,495.88","354,629,381.11","315,336,170.23","277,923,007.89","233,398,574.75","227,364,497.71","322,659,350.81","261,209,662.60","235,701,773.17","265,587,379.92","244,315,862.36","225,729,230.65","380,389,360.83","323,225,086.68"
预付款项,"5,359,891.88","3,441,097.05","40,542,398.19","15,310,275.95","166,551,421.26","48,826,826.05","34,385,250.21","38,694,551.37","24,501,915.18","65,014,727.35","54,950,307.68","54,271,653.66","224,396,334.74","158,385,042.26","42,469,142.94","105,684,207.25","67,102,980.29","83,029,319.78","47,116,681.60","135,157,219.30","354,973,853.25","356,307,605.70","248,671,637.99","229,298,549.90","310,199,461.71","234,117,039.69","307,887,630.82","276,477,965.68","256,592,966.84","160,672,942.76","76,175,023.05","116,963,373.93","159,435,191.83","180,352,052.60"
预收款项,"12,834,410.22","6,202,989.36","23,745,229.40","22,799,030.47","129,702,144.78","71,283,966.61","64,611,819.78","59,730,652.20","87,042,910.65","72,706,385.57","48,734,172.49","53,689,893.42","92,795,891.74","772,779,696.01","325,702,613.81","310,209,233.59","297,003,288.14","180,009,509.09","380,357,348.08","250,915,102.57","357,410,116.97","272,857,782.75","386,838,342.92","394,798,149.97","448,542,346.12","357,511,787.33","454,218,658.54","460,289,911.35","224,121,958.94","103,228,501.27","192,904,549.39","311,880,422.80","192,230,201.10","166,347,963.48"
