科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"241,588,942.00","471,287,657.00","330,098,108.00","1,944,440,378.11","1,852,247,507.00","2,122,694,080.00","1,604,414,663.00","1,598,320,072.00","1,314,698,869.00","2,237,452,860.00","1,714,341,492.00","1,231,448,439.00","1,107,003,935.00","1,138,363,327.00","790,543,551.00","859,614,211.00","1,087,630,855.00","1,953,769,398.00","1,481,264,235.00","1,179,352,415.00","628,617,892.00","1,410,409,164.00","839,902,412.00","989,195,064.00","1,074,598,869.00","1,433,049,544.00","1,838,121,599.00","1,653,330,516.00","1,407,459,236.00","1,877,337,690.00","1,137,009,959.00","1,241,023,402.00","1,194,066,765.00","1,198,168,104.00","887,474,463.00","515,965,527.00","907,710,800.00","994,494,581.00","738,632,957.00","530,957,228.00","540,417,195.00","692,194,412.00"
短期借款,"647,359,898.00","558,915,533.00","780,489,644.00","956,655,284.69","1,050,575,793.00","895,009,999.00","795,000,000.00","1,323,571,463.00","458,718,046.00","438,718,046.00","1,420,000,000.00","1,731,700,000.00","2,576,380,891.00","2,796,254,328.00","2,932,214,076.00","2,391,354,076.00","2,369,314,076.00","2,920,000,000.00","3,110,000,000.00","1,838,595,625.00","794,224,413.00","797,539,850.00","695,984,024.00","1,396,843,674.00","499,678,458.00","1,099,706,291.00","997,665,896.00","568,056,130.00","778,630,418.00","818,810,000.00","1,001,770,000.00","1,544,510,000.00","1,275,725,000.00","1,027,180,000.00","869,890,000.00","1,263,680,000.00","1,115,490,000.00","970,000,000.00","980,000,000.00","1,200,000,000.00","1,172,000,000.00","1,250,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"60,000,000.00",,,"2,000,000.00",,"264,883.00","200,000.00",,,,,,,,,,,,"850,000.00","500,000.00",,,,,"11,950,000.00","11,850,000.00",,,"328,610,000.00","198,810,000.00","181,770,000.00","289,510,000.00","320,725,000.00","142,180,000.00","114,890,000.00","98,680,000.00","35,490,000.00",,,,,
应付票据,"19,500,000.00","26,500,000.00","50,200,000.00","47,685,315.89","50,000,000.00","17,732,765.00","198,568,284.00","224,899,313.00","405,762,766.00","248,406,998.00","136,865,105.00","16,068,102.00","41,018,603.00","47,371,146.00",,,"15,550,199.00","16,436,229.00","30,871,215.00","16,682,643.00","43,906,076.00","15,101,724.00","19,264,629.00","27,233,084.00","16,166,461.00","4,725,380.00","3,779,455.00","9,065,240.00","18,336,468.00","11,305,967.00","1,647,243.00","13,238,784.00","35,655,331.00","32,279,287.00","8,765,131.00",,,,,"207,409,579.00","179,353,326.00","126,836,006.00"
应收账款,"174,591,605.00","48,893,921.00","28,788,616.00","159,321,350.24","414,214,799.00","237,590,981.00","169,052,351.00","275,245,502.00","478,700,446.00","120,322,615.00","143,656,646.00","890,134,521.00","932,759,527.00","529,961,650.00","591,378,728.00","1,339,206,132.00","1,161,864,197.00","1,299,604,805.00","669,284,648.00","1,185,693,876.00","464,840,757.00","237,328,207.00","315,757,934.00","550,075,274.00","319,804,786.00","324,793,377.00","243,862,508.00","315,255,974.00","234,536,158.00","244,384,842.00","222,290,525.00","310,643,631.00","248,056,889.00","283,845,816.00","197,348,596.00","483,429,771.00","349,485,865.00","342,669,066.00","436,802,972.00","580,883,054.00","438,912,867.00","421,897,936.00"
应付账款,"310,987,160.00","254,343,520.00","143,455,699.00","626,655,321.11","417,055,965.00","407,842,131.00","138,549,271.00","869,298,117.00","507,384,090.00","425,786,851.00","451,564,648.00","1,238,923,559.00","1,244,337,143.00","1,162,558,524.00","384,259,444.00","1,003,237,448.00","606,388,569.00","952,130,405.00","319,869,873.00","1,068,958,469.00","539,264,789.00","562,466,394.00","163,466,635.00","809,511,883.00","208,756,845.00","461,459,813.00","379,321,852.00","755,572,658.00","348,840,798.00","414,094,571.00","294,188,587.00","906,708,094.00","482,456,530.00","620,030,037.00","397,164,902.00","1,068,325,258.00","824,059,323.00","503,994,223.00","448,950,549.00","904,653,326.00","1,330,912,286.00","1,179,475,471.00"
预付款项,"126,965,861.00","134,404,683.00","351,626,954.00","439,694,366.83","153,365,953.00","214,057,340.00","336,316,906.00","588,432,638.00","427,802,444.00","455,136,092.00","892,763,021.00","941,257,837.00","709,654,885.00","736,827,288.00","697,529,783.00","499,540,652.00","487,699,428.00","437,766,307.00","517,814,348.00","480,545,114.00","296,512,881.00","254,056,013.00","452,441,485.00","419,483,745.00","349,907,038.00","187,139,550.00","400,274,525.00","328,816,712.00","183,146,015.00","187,211,756.00","274,339,665.00","257,944,397.00","221,367,184.00","346,157,737.00","321,461,805.00","303,349,173.00","212,053,122.00","187,134,566.00","279,545,556.00","356,821,111.00","283,649,660.00","220,163,028.00"
预收款项,"28,020,443.00","78,813,583.00","37,263,102.00","24,550,146.02","24,182,419.00","53,348,083.00","21,507,409.00","41,576,077.00","26,892,747.00","124,959,374.00","19,590,156.00","26,225,003.00","27,953,338.00","63,770,170.00","70,753,951.00","74,235,197.00","27,197,086.00","29,773,174.00","29,237,526.00","45,322,267.00","70,636,427.00","101,771,455.00","46,269,463.00","82,880,421.00","66,610,401.00","85,028,594.00","44,168,471.00","85,827,975.00","63,122,521.00","53,606,021.00","80,242,206.00","55,341,835.00","53,668,408.00","36,792,545.00","55,820,391.00","36,453,764.00","58,493,081.00","44,873,398.00","52,317,088.00","52,477,917.00","58,232,872.00","28,938,899.00"
