科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"106,336,218.41","218,919,444.41","107,328,637.50","133,278,637.48","210,561,422.82","34,554,829.08","82,648,455.11","141,017,394.26","289,286,000.66","50,237,909.85","122,665,734.78","193,339,797.02","454,826,058.89","77,576,771.16","171,802,320.05","277,293,556.35","616,244,761.62","140,952,634.47","373,301,320.64","661,379,576.84","957,835,174.69","252,348,928.24","551,546,218.88","978,035,719.90","1,390,115,953.23","303,433,702.10","612,364,596.59","919,688,549.20","1,324,699,657.56","369,899,143.83","825,020,016.00","1,260,191,944.47","1,970,857,074.35","535,157,095.70","1,143,924,100.34","1,658,247,275.83","2,232,841,050.87","531,590,674.10","1,245,619,355.37","2,154,414,918.75","3,159,214,422.94","928,191,704.70"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,-779.47,,"105,323,658.49","105,323,658.49","105,296,606.41",,,,,,,,"3,382,050.00",,,,"143,850,942.41","30,050,000.00","30,230,000.00","56,230,000.00","39,606,711.23",
收到的税费返还,"1,737,244.07","2,545,835.49","286,274.95","286,274.95","506,763.06","119,838.63",,"119,838.63","1,201,508.14","443,476.19","1,499,329.01","1,499,329.01","1,499,329.01",,,"5,230,843.11","5,872,811.96","890,082.11","890,082.11","1,104,644.34","1,140,880.43",,"14,991,658.77","30,040,287.75","37,835,833.12","5,145,492.18","9,067,515.08","21,613,211.24","26,834,214.09","10,987,510.70","32,543,776.13","51,203,340.27","51,203,340.27","11,333,900.16","41,789,569.65","51,730,901.83","57,878,959.28","14,642,830.09","39,261,154.02","216,994,469.39","227,133,969.07","36,956,786.24"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"-34,620.00","2,218,617.81","750,000.00",,"-114,432.16","121,917.00","37,261,915.85","230,000,000.00","310,000,000.00","310,000,000.00","310,000,000.00","1,750,000.00","1,750,000.00","1,750,000.00",,"10,040.00",,"10,040.00",,
收到其他与经营活动有关的现金,"15,482,059.20","6,796,188.91","1,046,527.91","1,475,267.56","3,736,268.04","1,350,577.51","3,714,121.41","1,377,731.47","7,506,368.00","4,638,616.49","4,584,081.62","6,202,611.72","45,945,305.70","2,512,183.79","5,480,246.48","13,470,513.46","32,865,961.58","1,740,869.36","9,142,007.72","13,170,639.01","31,776,702.18","2,494,132.10","13,983,333.15","34,039,382.60","18,463,838.86","48,262,290.65","20,563,467.39","56,143,388.72","76,654,078.72","10,952,085.70","13,339,476.00","35,265,840.62","41,602,971.88","192,776,988.55","285,424,585.78","296,877,199.04","296,540,790.66","20,853,029.82","71,321,778.13","107,301,244.66","156,298,049.47","154,001,906.83"
投资活动现金流出小计,"20,311,181.78","24,552,360.40","9,657,276.18","15,504,736.93","34,946,106.47","30,019,639.53","51,730,475.45","71,691,886.29","143,862,294.14","37,298,816.68","48,771,244.72","79,683,561.36","71,927,127.92","14,595,593.82","32,261,322.36","52,013,608.29","63,808,663.54","18,376,615.15","49,093,764.27","86,576,152.44","112,069,165.56","55,768,148.02","141,102,233.74","163,786,911.68","298,361,387.44","22,964,668.00","118,322,220.44","222,571,257.01","395,265,711.57","428,261,226.12","696,113,288.62","923,349,380.27","1,268,069,131.12","578,347,800.07","1,112,509,858.55","1,459,214,227.72","1,773,278,464.38","310,842,488.02","620,190,831.24","687,677,804.20","855,091,296.35","322,146,926.20"
经营活动现金流入小计,"123,555,521.68","228,261,468.81","108,661,440.36","135,040,179.99","214,804,453.92","36,025,245.22","86,362,576.52","142,514,964.36","297,993,876.80","55,320,002.53","128,749,145.41","201,041,737.75","502,270,693.60","80,088,954.95","177,282,566.53","295,994,912.92","654,983,535.16","143,583,585.94","383,333,410.47","675,654,860.19","990,752,757.30","254,843,060.34","580,521,210.80","1,042,115,390.25","1,446,415,625.21","356,841,484.93","641,995,579.06","997,445,149.16","1,428,187,950.37","391,838,740.23","870,903,268.13","1,346,661,125.36","2,063,663,386.50","739,267,984.41","1,471,138,255.77","2,006,855,376.70","2,587,260,800.81","567,086,534.01","1,356,202,287.52","2,478,710,632.80","3,542,646,441.48","1,119,150,397.77"
投资活动产生的现金流量净额,"-20,311,181.78","-24,552,360.40","-9,657,276.18","-15,504,736.93","-34,946,106.47","-30,019,639.53","-51,730,475.45","-71,691,886.29","-142,812,294.14","-37,298,816.68","-48,771,244.72","-79,683,561.36","-71,927,127.92","-14,595,593.82","-32,261,322.36","-52,013,608.29","-63,808,663.54","-18,376,615.15","-49,093,764.27","-86,576,152.44","-109,191,247.92","-55,768,148.02","-141,102,233.74","-163,545,247.96","-178,215,168.82","-22,960,668.00","-118,300,800.44","-223,843,752.86","-394,715,116.57","-158,203,021.77","-341,950,914.40","-569,181,175.65","-913,858,576.50","-570,371,728.07","-1,084,641,885.18","-1,431,149,754.35","-1,739,459,481.65","-310,762,606.74","-552,559,678.96","-545,389,095.60","-703,864,470.21","-128,263,841.70"
购买商品、接受劳务支付的现金,"101,848,719.12","141,697,420.22","69,034,233.56","90,518,340.52","151,055,876.13","35,425,015.83","49,654,881.65","82,227,913.33","170,418,972.68","25,312,282.52","59,757,140.28","93,138,467.59","318,235,124.40","32,995,956.83","65,623,669.69","121,295,448.55","397,679,706.78","63,618,718.98","142,909,912.25","218,627,893.06","356,930,961.90","109,756,217.97","377,002,899.04","654,481,588.81","871,419,252.21","149,541,246.93","307,745,826.34","474,298,267.40","760,624,195.46","214,869,922.82","549,561,081.65","872,528,752.39","1,271,837,250.02","513,870,780.47","976,808,708.24","1,264,309,505.52","1,651,502,412.23","327,275,693.99","808,327,189.33","1,568,997,120.73","2,069,577,915.74","575,478,259.02"
吸收投资收到的现金,"31,151,710.35",,,,"379,120,000.00",,,,,,,,,,,"2,435,400.00","2,435,400.00",,"1,000,000.00","14,472,971.40","17,916,584.00",,"3,134,300.00","3,000,000.00","3,000,000.00",,,"9,392,358.00","598,628,324.66","35,400,050.00","36,717,310.11","60,257,310.11","39,725,899.06","26,335,140.00","26,335,140.00","26,335,140.00","149,602,035.93","54,930,000.00","54,930,000.00","74,930,000.00","54,930,000.00",
支付给职工以及为职工支付的现金,"18,801,515.27","26,034,479.14","15,796,756.33","22,967,415.69","33,526,175.79","11,510,408.06","21,323,891.43","33,417,070.52","52,855,390.30","18,302,330.15","42,679,337.34","67,178,095.90","97,260,830.76","31,891,252.21","67,586,486.01","101,891,662.89","134,966,945.20","46,261,338.27","107,431,481.59","179,486,972.78","255,443,999.38","83,143,576.44","162,739,253.20","243,355,550.10","324,355,086.47","85,414,966.55","169,133,451.43","248,133,832.67","327,111,141.06","108,461,961.55","200,638,864.18","301,816,802.32","417,538,738.63","147,236,956.22","293,322,910.59","403,160,501.40","535,597,092.13","157,657,216.08","297,202,053.61","459,831,388.67","632,843,346.85","221,960,820.08"
取得借款收到的现金,"21,200,000.00","46,597,000.00","40,500,000.00","67,100,000.00",,,,,,,,,,,,,,,,,,"32,778,103.10","89,267,863.10","85,667,926.81","94,267,863.10","12,000,000.00","127,445,390.00","249,074,505.94","332,372,912.62","90,579,507.44","402,797,859.73","570,634,310.52","1,082,169,991.50","810,646,446.23","1,221,250,409.98","1,698,683,778.92","1,572,886,678.89","369,022,780.98","822,518,343.56","1,992,145,597.11","2,234,145,597.11","353,060,000.00"
支付的各项税费,"13,219,025.01","6,749,326.18","8,500,688.86","11,564,707.54","15,238,311.77","3,043,952.64","10,802,965.72","13,973,272.45","15,622,092.10","10,559,653.76","22,067,045.54","30,162,846.40","34,636,621.20","7,210,011.67","28,090,520.33","31,754,572.41","42,163,357.46","6,781,493.41","16,967,841.52","35,165,795.73","45,541,322.87","28,504,055.83","67,251,032.85","89,248,852.05","116,843,585.92","27,738,509.72","58,534,987.62","81,287,586.34","128,980,454.92","30,074,184.82","65,045,312.59","89,018,000.32","128,220,635.05","47,987,520.43","129,457,216.47","170,121,736.53","117,150,939.15","36,217,334.68","86,877,147.59","112,605,172.73","137,300,619.13","13,267,095.92"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"933,340.00","1,067,640.00","1,067,640.00",,,"37,983,046.71","38,737,656.13","16,654.61","933,846.34","1,001,266.61","919,476.84","1,134.34","52,432,062.24","62,434,479.20","531,502,342.24","41,000,000.00","91,000,000.00","489,990,000.00","639,980,000.00","179,990,000.00"
支付其他与经营活动有关的现金,"6,113,245.39","9,101,898.22","6,018,142.97","6,018,142.97","18,249,114.76","4,021,258.91","6,595,086.87","9,290,072.70","13,127,162.55","5,228,182.54","18,892,287.71","20,587,469.59","23,836,194.98","14,895,713.00","24,912,963.07","43,959,266.23","54,650,206.96","21,698,547.46","44,767,188.75","76,044,335.92","105,934,877.00","31,057,629.13","30,798,905.68","133,078,330.22","94,668,670.43","92,063,629.29","96,794,194.76","140,753,058.43","154,470,575.09","51,916,708.14","128,293,943.32","151,083,895.40","198,834,178.30","73,430,664.41","146,236,233.10","190,343,508.65","202,020,638.31","73,223,739.75","141,797,418.54","215,072,085.66","268,429,813.09","128,348,013.13"
筹资活动现金流入小计,"52,351,710.35","46,597,000.00","40,500,000.00","67,100,000.00","379,120,000.00",,,,,,,,,,,"2,435,400.00","2,435,400.00",,"1,000,000.00","14,472,971.40","17,916,584.00","32,778,103.10","93,335,503.10","89,735,566.81","98,335,503.10","12,000,000.00","127,445,390.00","296,449,910.65","969,738,893.41","125,996,212.05","440,449,016.18","631,892,887.24","1,122,815,367.40","836,982,720.57","1,300,017,612.22","1,787,453,398.12","2,253,991,057.06","464,952,780.98","968,448,343.56","2,557,065,597.11","2,929,055,597.11","533,050,000.00"
经营活动现金流出小计,"139,982,504.79","183,583,123.76","99,349,821.72","131,068,606.72","218,069,478.45","54,000,635.44","88,376,825.67","138,908,329.00","252,023,617.63","59,402,448.97","143,395,810.87","211,066,879.48","473,968,771.34","86,992,933.71","186,213,639.10","298,900,950.08","629,460,216.40","138,360,098.12","312,076,424.11","509,324,997.49","763,851,161.15","252,461,479.37","637,792,090.77","1,120,164,321.18","1,407,286,595.03","354,758,352.49","632,208,460.15","944,472,744.84","1,371,186,366.53","405,322,777.33","943,539,201.74","1,414,447,450.43","2,016,430,802.00","782,525,921.53","1,545,825,068.40","2,027,935,252.10","2,506,271,081.82","594,373,984.50","1,334,203,809.07","2,356,505,767.79","3,108,151,694.81","939,054,188.15"
