科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
取得借款收到的现金,"75,000,000.00","150,000,000.00","415,000,000.00","65,000,000.00","85,000,000.00","85,000,000.00","85,000,000.00",,,,,,,,,,,,,,,,,,,"742,400,000.00",,,,,,,,,,"120,000,000.00"
支付的各项税费,"41,631,563.44","33,575,164.60","53,649,924.51","17,941,729.34","34,442,059.08","56,753,616.37","76,138,920.36","33,640,967.24","63,494,607.48","79,343,926.96","95,462,734.05","25,767,128.27","72,963,544.55","94,096,465.38","113,163,099.71","16,408,960.91","70,456,205.49","85,101,291.31","101,478,800.94","49,132,604.84","88,002,596.14","111,509,975.95","141,195,362.00","46,243,702.46","70,262,034.20","88,804,939.35","107,112,504.05","15,334,289.46","109,194,319.32","128,849,495.99","129,359,818.23","38,422,148.42","117,944,491.07","183,957,736.87","212,972,703.96","21,389,731.62"
收到其他与筹资活动有关的现金,"3,000,000.00",,,"13,000,000.00","13,000,000.00","23,000,000.00","13,000,000.00",,,,"10,000,000.00",,,,"5,750,000.00",,,,,,,"2,000,000.00","2,000,000.00",,,,,,,"18,800,000.00","18,850,000.00",,"2,000,000.00",,"2,000,000.00",
支付其他与经营活动有关的现金,"19,303,299.57","18,864,778.43","43,260,577.86","13,817,360.90","32,861,035.92","38,792,759.64","54,704,513.41","6,908,552.01","22,160,212.45","23,763,389.36","41,246,906.18","8,178,088.71","17,739,827.72","17,638,397.74","34,512,968.83","7,358,872.76","12,143,093.95","19,938,186.41","33,907,092.81","2,961,640.29","11,862,670.52","18,998,810.83","30,158,332.78","7,131,853.17","15,903,137.46","21,788,383.30","27,511,027.07","8,054,593.74","15,003,946.09","22,188,211.79","27,441,700.31","7,577,427.84","13,249,714.67","21,238,132.14","27,834,720.70","19,794,083.08"
筹资活动现金流入小计,"78,000,000.00","150,000,000.00","415,000,000.00","1,106,904,100.00","1,126,904,100.00","1,136,904,100.00","1,137,113,600.00",,,,"10,000,000.00",,,,"5,750,000.00",,,,,,,"2,000,000.00","2,000,000.00","742,400,000.00","742,400,000.00","742,400,000.00","742,400,000.00",,,"18,800,000.00","18,850,000.00",,"2,000,000.00","57,200,000.00","59,200,000.00","120,000,000.00"
经营活动现金流出小计,"166,156,440.75","176,892,567.09","287,726,305.90","89,242,224.69","170,993,809.03","250,636,008.20","360,779,823.03","102,174,995.89","201,952,600.17","292,248,921.88","399,956,770.19","116,961,045.55","231,249,051.13","333,737,175.01","477,309,553.08","124,278,473.39","258,453,399.67","365,524,787.80","504,795,319.29","175,690,148.25","280,758,428.64","385,785,100.22","486,432,698.65","150,369,326.09","241,734,427.01","342,323,235.33","455,315,934.21","149,453,243.23","366,271,019.32","479,292,276.36","552,546,775.83","166,378,253.34","318,529,358.30","457,397,627.53","607,783,119.27","190,564,726.18"
偿还债务支付的现金,"75,000,000.00","135,000,000.00","435,000,000.00","65,000,000.00","475,000,000.00","475,000,000.00","475,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"690,062,000.00","713,541,000.00","46,375,000.00"
经营活动产生的现金流量净额,"101,340,209.23","181,505,683.88","278,103,104.86","61,162,912.55","154,305,732.04","294,060,294.91","399,680,255.87","90,748,357.58","235,055,219.99","352,150,426.67","418,454,929.94","91,111,406.36","217,744,576.87","348,802,933.54","458,750,229.74","71,861,345.16","183,315,899.47","307,597,725.32","385,402,225.87","10,390,407.97","89,494,577.92","262,899,966.37","361,170,832.14","90,141,256.75","172,970,265.21","318,924,364.01","381,851,527.50","45,646,589.11","52,927,462.83","192,092,200.11","375,512,071.61","57,412,469.75","82,682,811.95","283,567,430.81","325,631,397.00","122,473,629.95"
分配股利、利润或偿还利息支付的现金,"46,325,819.11","32,395,287.62","35,927,551.64","5,993,683.05","8,961,316.44","9,035,555.33","9,108,987.27","24,208.33","14,052,208.33","14,052,208.33","14,052,208.33",,"58,450,000.00","58,450,000.00","58,450,000.00",,"44,422,000.00","44,422,000.00","44,422,000.00",,"53,774,000.00","53,774,000.00","53,774,000.00",,"84,168,000.00","84,168,000.00","84,168,000.00","2,279,826.00","105,152,538.25","105,152,538.25","105,152,538.25","3,799,695.00","78,616,226.04","80,582,430.10","100,042,620.04","1,288,128.51"
收回投资收到的现金,,,,,,,"110,000,000.00","217,000,000.00","371,000,000.00","575,000,000.00","859,000,000.00","100,000,000.00","270,000,000.00","579,000,000.00","969,000,000.00","290,000,000.00","430,000,000.00","450,000,000.00","570,000,000.00","50,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00",,,"100,000,000.00","850,653,136.44","1,150,000,000.00","1,750,000,000.00","2,250,000,000.00","2,800,000,000.00","900,000,000.00","1,200,000,000.00","1,600,000,000.00","2,000,000,000.00","100,000,000.00"
支付其他与筹资活动有关的现金,,,"25,954,000.00","159,736,000.00","159,736,000.00","159,736,000.00","169,945,500.00",,,,"930,000.00",,,"795,000.00","870,000.00",,,,,,,,"760,165.10","138,886.00","3,359,051.10","3,859,051.10","3,098,886.00",,,,,,,"18,735,655.94","2,000,000.00",
取得投资收益收到的现金,,,,,,,"2,453,783.51","2,092,617.53","11,178,304.51","14,877,539.82","19,514,909.72","3,745,931.01","12,424,182.45","16,820,057.07","24,508,250.75","6,038,231.60","15,961,555.76","22,086,731.16","31,177,998.76","7,773,289.32","21,730,777.90","25,547,735.23","30,732,858.17","2,425,668.02","8,795,022.74","14,982,647.96","40,043,613.11","10,854,427.69","21,119,364.82","29,072,002.19","39,277,006.01","5,118,204.57","18,732,155.08","27,072,129.07","50,714,023.72","1,270,796.95"
筹资活动现金流出小计,"121,325,819.11","167,395,287.62","496,881,551.64","230,729,683.05","643,697,316.44","643,771,555.33","654,054,487.27","5,024,208.33","19,052,208.33","19,052,208.33","19,982,208.33",,"58,450,000.00","59,245,000.00","59,320,000.00",,"44,422,000.00","44,422,000.00","44,422,000.00",,"53,774,000.00","53,774,000.00","54,534,165.10","138,886.00","87,527,051.10","88,027,051.10","87,266,886.00","2,279,826.00","105,152,538.25","105,152,538.25","105,152,538.25","3,799,695.00","78,616,226.04","789,380,086.04","815,583,620.04","47,663,128.51"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"5,000.00","55,021.15",,,,,"310,229.32","310,729.32","310,929.32","310,929.32",,"6,000.00","6,000.00","227,600.00",,,"45,753.20","53,199.35",,"200,000.00","196,700.00","796,175.10","217,637.76","258,177.57","258,177.57","143,209.05","10,059.22","18,793.38","18,793.38","69,027.51","14,100.00","585,098.06","679,748.06","1,738,610.90","1,369.56"
筹资活动产生的现金流量净额,"-43,325,819.11","-17,395,287.62","-81,881,551.64","876,174,416.95","483,206,783.56","493,132,544.67","483,059,112.73","-5,024,208.33","-19,052,208.33","-19,052,208.33","-9,982,208.33",,"-58,450,000.00","-59,245,000.00","-53,570,000.00",,"-44,422,000.00","-44,422,000.00","-44,422,000.00",,"-53,774,000.00","-51,774,000.00","-52,534,165.10","742,261,114.00","654,872,948.90","654,372,948.90","655,133,114.00","-2,279,826.00","-105,152,538.25","-86,352,538.25","-86,302,538.25","-3,799,695.00","-76,616,226.04","-732,180,086.04","-756,383,620.04","72,336,871.49"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,515,484.00","5,515,484.00","5,515,484.00",
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,"10,000,000.00","324,305,000.00","35,000,000.00","441,331,295.07","682,127,891.41","873,474,924.73","276,857,826.01","721,304,435.47","1,034,301,723.37","1,446,123,160.76","401,637,234.13","950,332,356.00","1,318,644,184.34","1,659,911,722.77","369,899,468.71","813,373,071.93","1,168,283,761.76","1,551,410,967.85","397,196,976.15","925,274,305.79","1,390,201,792.68","1,875,871,559.43","520,095,525.59","1,042,607,491.62","398,146,538.79","1,941,564,059.06","439,719,708.89","963,598,453.56","1,693,981,047.10","1,693,981,047.10","30,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"5,000.00","55,021.15",,,"10,000,000.00","436,758,783.51","254,402,846.85","823,820,328.90","1,272,316,360.55","1,752,300,763.77","380,603,757.02","1,003,734,617.92","1,630,127,780.44","2,439,859,011.51","697,675,465.73","1,396,293,911.76","1,790,776,668.70","2,261,142,920.88","427,672,758.03","1,085,303,849.83","1,444,028,196.99","1,832,940,001.12","399,840,281.93","934,327,506.10","1,505,442,618.21","2,766,711,518.03","1,680,960,012.50","2,813,745,649.82","2,677,237,334.36","4,780,910,092.58","1,344,852,013.46","2,188,431,190.70","3,327,248,408.23","3,751,949,165.72","131,272,166.51"
五、现金及现金等价物净增加额,"10,850,772.22","77,386,453.98","53,949,107.12","874,207,211.83","296,816,957.49","407,222,904.93","271,680,389.96","2,970,297.32","-1,648,934.56","23,042,020.78","-7,882,888.28","36,520,572.09","66,460,223.44","-200,359,854.99","-118,617,765.65","13,899,509.34","-2,812,596.66","48,829,845.57","42,718,699.11","-52,503,497.63","186,774,570.48","75,729,013.65","256,450,269.36","449,203,399.52","-222,700,789.90","-212,167,550.75","-111,915,573.43","-27,607,986.46","-253,017,850.08","-92,523,964.23","-129,032,249.34","254,392,261.96","-83,138,632.52","410,073,073.51","380,383,937.55","40,768,358.93"
购建固定资产、无形资产和其他长期资产支付的现金,"47,163,617.90","86,728,942.28","134,327,467.25","63,130,117.67","140,695,558.11","169,969,934.65","214,055,262.15","21,011,353.40","92,045,728.88","129,323,805.86","175,668,958.91","57,422,316.09","95,170,377.77","193,777,371.17","259,274,372.27","58,426,544.74","93,940,802.30","136,048,981.45","183,775,069.24","93,638,190.79","154,860,594.84","221,571,060.00","369,803,327.40","92,753,858.15","169,134,558.61","263,883,378.82","363,144,993.56","120,438,933.48","202,660,534.21","290,520,988.85","463,354,373.93","184,531,402.46","279,072,310.87","393,372,541.28","440,172,866.92","240,313,791.94"
期初现金及现金等价物余额,"36,683,693.98","47,534,466.20","124,920,920.18","178,870,027.30","178,870,027.30","178,870,027.30","178,870,027.30","450,550,417.26","450,550,417.26","450,550,417.26","450,550,417.26","442,667,528.98","442,667,528.98","442,667,528.98","442,667,528.98","324,049,763.33","324,049,763.33","324,049,763.33","324,049,763.33","366,768,462.44","366,768,462.44","366,768,462.44","366,768,462.44","623,218,731.80","623,218,731.80","623,218,731.80","623,218,731.80","511,303,158.37","511,303,158.37","511,303,158.37","511,303,158.37","382,270,909.03","382,270,909.03","382,270,909.03","382,270,909.03","762,654,846.58"
投资支付的现金,,,"8,000,000.00",,,,"139,000,000.00","225,000,000.00","379,000,000.00","616,000,000.00","860,000,000.00","100,000,000.00","280,000,000.00","790,550,000.00","1,102,100,000.00","290,000,000.00","570,000,000.00","620,000,000.00","740,000,000.00",,,,,"250,000,000.00","850,315,276.01","950,653,136.44","1,550,653,136.44","1,050,000,000.00","1,850,000,000.00","2,300,000,000.00","2,850,000,000.00","450,000,000.00","1,100,000,000.00","1,100,000,000.00","1,450,010,000.00",517.08
期末现金及现金等价物余额,"47,534,466.20","124,920,920.18","178,870,027.30","1,053,077,239.13","475,686,984.79","586,092,932.23","450,550,417.26","453,520,714.58","448,901,482.70","473,592,438.04","442,667,528.98","479,188,101.07","509,127,752.42","242,307,673.99","324,049,763.33","337,949,272.67","321,237,166.67","372,879,608.90","366,768,462.44","314,264,964.81","553,543,032.92","442,497,476.09","623,218,731.80","1,072,422,131.32","400,517,941.90","411,051,181.05","511,303,158.37","483,695,171.91","258,285,308.29","418,779,194.14","382,270,909.03","636,663,170.99","299,132,276.51","792,343,982.54","762,654,846.58","803,423,205.51"
