科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月
筹资活动产生的现金流量净额,"540,000.00","1,540,000.00","1,540,000.00","1,540,000.00",,"799,950.00","1,000,000.00","-16,780.00","99,000.00","559,000.00","1,751,000.00","2,130,000.00","90,000.00","187,000.00","187,000.00","187,000.00",,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,"1,497,995.00",,,,"1,920,209.91",,,,"766,297.00",,,,"733,590.87",,,,"167,274.35","175,378.00","214,087.00","214,087.00","1,318,205.67",,"2,367,990.00","2,394,075.00","2,394,075.00","2,084,617.60"
五、现金及现金等价物净增加额,"-325,878.60","259,299.01","259,519.83","-260,294.42","543,494.60","543,842.41","636,043.84","-242,726.34","327,181.10","324,792.23","756,073.26","1,276,177.20","-125,002.00","-49,995.83","-218,674.46","-340,596.45","-242,639.76","-487,925.05","-634,590.16","-425,305.57","652,382.93","972,766.29","1,061,374.73","1,518,445.55","247,415.86","2,221,201.37","1,833,882.20","1,728,346.01","1,905,139.20"
购建固定资产、无形资产和其他长期资产支付的现金,,,,,,,,,,,,"366,482.00",,,,"7,780.00",,,,"2,350.00",,,,"1,350.00",,,,"9,150.00",
期初现金及现金等价物余额,,,"1,946,366.29","1,946,366.29","1,686,071.87","1,686,071.87","1,686,071.87","1,178,967.59","1,443,372.48",,,"936,241.25","2,720,086.65","2,720,086.65","2,720,086.65","2,212,955.42","2,379,758.45","2,379,758.45",,"1,872,546.59","1,836,367.52","1,836,367.52","1,836,367.52","1,447,053.40","3,349,622.75","3,349,622.75","3,349,622.75","2,965,498.95","5,077,968.76"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,,,"2,205,886.12","1,686,071.87","2,229,566.47","2,229,914.28","2,322,115.71","936,241.25","1,770,553.58",,,"2,212,418.45","2,595,084.65","2,670,090.82","2,501,412.19","1,872,358.97","2,137,118.69","1,891,833.40",,"1,447,241.02","2,488,750.45","2,809,133.81","2,897,742.25","2,965,498.95","3,597,038.61","5,570,824.12","5,183,504.95","4,693,844.96","6,983,107.96"
