科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"53,184,526.97","233,075,034.84","43,538,609.40","95,080,154.20","214,388,433.94","20,130,668.02","54,219,098.02","139,247,929.17","303,925,090.27","34,567,176.10","93,078,600.83","185,339,204.01","461,547,806.89","45,351,767.38","106,699,199.39","200,909,209.25","512,374,167.27","48,799,211.86","95,192,064.13","167,383,864.86","340,777,284.19","48,388,137.61","112,461,952.02","188,150,921.25","460,753,865.69","59,022,429.36","147,541,608.53","242,461,288.27","1,259,222,714.94","165,209,170.38","373,905,806.63","576,891,608.21","1,602,943,036.39","137,961,730.79","385,440,093.48","681,157,565.57","1,592,678,788.22","276,078,464.12","555,217,824.18","932,165,136.09"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"190,089.82","5,285,106.53","5,366,920.74","7,800,554.55","11,760,320.51","4,679,564.62","6,124,089.81","7,233,293.65","11,892,047.07",,"1,087,205.42","5,554,380.97","13,744,648.08",,,"4,855,832.41","7,304,278.37","1,254,848.84","14,526,172.82","15,886,968.82","17,231,400.54","1,848,486.94","3,495,896.49","3,495,896.49","5,428,898.71","1,297,427.92","7,990,737.11","14,982,191.76","17,411,467.39","7,379,234.91","7,380,024.65","14,601,659.77","20,090,710.72","729,106.08","7,665,985.55","14,531,485.68","20,526,600.85","5,935,076.99","18,351,828.58","21,334,319.22"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,62.00,,,,,,,,,,,,,"64,340,516.39","64,340,516.39",,,,,,,,,,,
收到其他与经营活动有关的现金,"640,000.00","2,247,967.96","761,169.80","823,200.73","10,634,357.86","5,842,613.12","5,452,312.89","7,387,738.11","8,298,412.85","697,621.97","2,007,171.27","4,501,336.62","8,707,977.24","985,654.32","2,439,748.66","5,840,725.42","22,980,677.81","8,732,721.98","13,222,231.28","21,046,424.14","71,360,267.98","1,509,306.14","1,609,401.75","23,332,194.55","37,561,247.21","7,954,426.19","8,324,679.13","14,686,560.48","54,392,044.94","8,051,730.51","21,857,685.88","43,528,886.21","66,989,833.12","2,990,975.07","25,563,192.63","41,511,393.00","50,781,054.97","13,705,126.14","28,803,889.50","23,316,157.32"
投资活动现金流出小计,"1,302,834.00","3,672,947.90","3,904,542.50","4,428,322.02","5,573,847.16","1,605,252.76","2,852,224.68","8,814,506.68","44,496,986.42","2,185,300.66","6,496,062.02","8,366,984.72","27,106,674.32","3,402,540.80","5,282,050.97","11,496,509.17","31,113,476.73","26,719,043.03","31,215,362.83","36,105,957.49","40,652,565.85","2,147,484.90","2,645,231.90","3,313,016.30","5,716,140.33","2,131,193.98","2,535,495.98","68,326,250.44","71,979,908.55","2,639,831.90","5,118,320.90","58,166,620.20","566,390,972.80","2,175,663.00","592,299,357.54","619,199,244.61","634,191,188.65","3,200,743.67","9,891,459.22","15,526,298.92"
经营活动现金流入小计,"54,014,616.79","240,608,109.33","49,666,699.94","103,703,909.48","236,783,112.31","30,652,845.76","65,795,500.72","153,868,960.93","324,115,550.19","35,264,798.07","96,172,977.52","195,394,921.60","484,000,432.21","46,337,421.70","109,138,948.05","211,605,767.08","542,659,123.45","58,786,782.68","122,940,468.23","204,317,257.82","429,368,952.71","51,745,930.69","117,567,250.26","214,979,012.29","503,744,011.61","68,274,283.47","163,857,024.77","272,130,040.51","1,331,026,227.27","180,640,135.80","403,143,517.16","635,022,154.19","1,690,023,580.23","141,681,811.94","418,669,271.66","737,200,444.25","1,663,986,444.04","295,718,667.25","602,373,542.26","976,815,612.63"
投资活动产生的现金流量净额,"10,097,366.00","7,729,857.30","-3,898,933.50","-4,427,674.82","-5,553,859.73","-1,602,552.76","-2,849,524.68","-8,811,806.68","-44,496,986.42","-2,185,300.66","-6,496,062.02","-8,197,965.22","-26,937,654.82","-3,402,540.80","-5,282,050.97","-11,492,909.17","-31,113,476.73","-26,719,043.03","-31,211,017.83","-36,101,612.49","-40,647,700.85","-2,115,884.90","-2,560,717.90","-3,228,502.30","-5,631,626.33","-2,128,393.98","-2,514,830.98","-68,305,585.44","-71,959,243.55","-2,638,401.90","-5,118,320.90","-58,166,620.20","-566,384,472.80","-2,175,663.00","-592,218,107.54","-619,118,544.61","-634,107,516.13","-3,200,743.67","-9,689,459.22","-15,324,298.92"
购买商品、接受劳务支付的现金,"32,344,148.24","77,264,168.46","33,066,678.70","58,123,546.79","97,925,240.32","21,890,239.45","40,024,649.78","72,128,978.73","116,383,388.07","42,222,890.22","72,882,833.96","107,981,042.52","187,598,305.51","78,509,253.72","120,462,121.94","167,498,125.81","261,195,344.61","34,977,510.80","63,223,832.16","92,767,509.77","120,254,650.44","49,180,924.57","82,185,289.07","117,698,837.71","228,680,872.45","53,774,833.21","114,607,983.99","176,162,438.67","850,857,610.70","224,366,014.26","453,895,879.08","607,252,093.88","1,010,859,921.94","296,603,513.06","490,883,555.34","776,136,643.18","1,162,867,476.07","298,942,409.42","602,313,160.05","933,535,706.19"
吸收投资收到的现金,,,,"192,540,000.00","192,540,000.00",,,"25,000.00","25,000.00","5,000,000.00","5,000,000.00","29,000,000.00","29,000,000.00",,"57,377,391.00","57,377,391.00","57,377,391.00",,,,,,,,,,,,"186,928,674.33",,,,,,,,"1,225,000.00","2,665,881,890.50","2,665,881,890.50","2,665,881,890.50"
