科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"302,297,079.35","416,486,718.99","589,708,930.01","98,226,451.37","321,342,094.70","455,726,127.22","640,978,467.13","114,672,790.09","295,111,929.86","424,819,425.07","582,155,899.33","123,189,188.26","286,792,490.34","434,568,453.50","658,471,282.87","136,676,445.80","307,522,136.58","446,954,723.72","671,503,505.62","155,846,983.18","359,419,499.04","516,945,115.28","702,390,539.02","150,131,009.42","343,979,197.15","545,350,443.13","786,678,992.11","185,920,107.43"
二、营业利润,"47,342,287.82","80,513,501.26","108,955,017.41","11,861,683.01","56,983,989.78","72,658,191.91","107,795,069.89","8,713,268.58","44,774,166.18","51,547,049.17","70,873,910.84","10,355,558.80","44,442,211.57","61,952,156.61","89,019,445.46","11,353,107.92","41,407,781.90","52,450,450.44","76,582,961.16","12,058,083.31","53,440,340.94","63,133,814.76","81,638,043.74","12,120,652.36","45,399,633.60","58,950,014.78","104,989,903.78","17,186,241.77"
减:营业成本,"148,139,182.47","208,510,898.38","315,886,673.15","52,485,759.28","175,014,515.39","245,352,388.62","336,935,506.79","62,114,368.64","155,221,050.55","215,594,327.67","293,015,937.02","62,807,047.27","145,537,631.81","223,278,003.90","346,581,305.97","72,028,698.57","156,167,178.02","225,398,373.99","348,120,904.94","84,019,700.76","187,730,513.96","267,607,175.21","368,528,224.74","78,202,782.71","179,156,583.87","298,318,714.37","419,345,120.77","99,007,301.01"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,235,937.21","3,490,023.77","5,687,549.13","667,986.57","2,285,732.49","3,387,067.01","6,264,478.59","439,429.36","1,875,443.16","3,174,859.29","6,222,889.93","799,160.95","1,459,606.43","2,544,417.92","6,477,818.71","1,958,147.39","2,259,832.34","3,296,713.10","7,361,240.55","442,664.85","1,821,355.71","3,072,908.59","9,929,375.40","2,611,060.44","4,716,369.25","5,982,497.26","14,621,048.60","1,856,249.52"
营业外收入,"1,615,374.14","3,827,781.18","3,446,761.06","26,370.30","1,144,206.55","2,281,775.79","4,922,855.92","2,541,347.77","2,720,917.71","3,760,538.87","4,886,393.17","2,828,596.21","2,969,738.66","3,129,153.99","5,801,174.93","223,144.35","687,527.65","1,551,465.47","5,427,516.46","714,178.08","1,934,674.79","3,133,648.73","9,032,136.74","1,416,160.94","4,622,493.88","5,178,083.73","989,720.14","770,603.89"
销售费用,"65,729,479.10","74,829,613.76","105,772,702.37","19,652,009.70","48,168,492.55","77,549,032.98","118,946,226.99","32,331,795.92","68,430,845.13","102,144,256.39","134,014,744.93","29,436,390.71","61,926,566.18","90,027,250.91","126,693,569.68","27,207,771.43","56,589,994.56","88,661,283.50","129,398,654.14","34,201,609.18","64,058,230.98","98,071,741.24","132,720,485.56","32,168,935.79","62,180,304.61","95,923,559.87","138,634,326.09","39,145,581.60"
减:营业外支出,"711,102.70","678,155.36","1,420,397.00","401,471.73","606,261.23","785,401.79","1,236,926.06","67,766.03","436,372.42","603,032.38","1,013,473.91","91,000.68","220,675.33","2,456,054.28","3,751,077.65","234,944.15","359,830.24","832,799.03","1,202,345.64","93,996.12","429,163.79","588,615.09","907,426.03",42.54,"52,055.27","105,654.72","3,734,297.00","122,611.01"
管理费用,"29,411,645.88","34,467,387.12","40,326,770.34","10,120,897.64","24,332,362.17","39,351,782.43","56,526,914.73","13,321,831.70","25,705,831.15","49,405,497.65","71,199,857.95","15,512,798.24","28,929,510.63","43,702,762.34","79,689,338.33","19,983,730.62","40,792,450.72","60,050,894.94","85,004,455.36","23,648,915.22","47,061,015.25","69,386,647.86","88,661,712.32","21,822,376.59","44,611,074.56","67,421,778.22","86,091,373.96","24,492,997.77"
其中:非流动资产处置净损失,"26,970.90","34,300.00","26,574.05",,"20,687.37","20,687.37","38,279.07",,"3,054.11","3,054.11","16,072.05",,"2,628.25","2,628.25","2,727.00",,,,,,"3,158.79","11,962.18","77,025.17",,,"28,268.40",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"1,349,929.78","1,478,191.80","5,093,218.07","1,742,097.16","4,270,118.94","4,097,643.07","2,183,987.96","-1,344,149.86","-2,132,596.66","-2,909,272.81","-4,546,200.87","-1,608,248.52","-3,012,803.03","-4,147,068.79","-3,643,089.26","-443,084.75","-840,155.13","23,788.60","2,807,428.20","-23,397.61","193,005.41","651,783.57","820,427.29","-133,255.43","94,464.64","268,246.57","17,054.04","-258,294.93"
三、利润总额,"48,246,559.26","83,663,127.08","110,981,381.47","11,486,581.58","57,521,935.10","74,154,565.91","111,480,999.75","11,186,850.32","47,058,711.47","54,704,555.66","74,746,830.10","13,093,154.33","47,191,274.90","62,625,256.32","91,069,542.74","11,341,308.12","41,735,479.31","53,169,116.88","80,808,131.98","12,678,265.27","54,945,851.94","65,678,848.40","89,762,754.45","13,536,770.76","49,970,072.21","64,022,443.79","102,245,326.92","17,834,234.65"
