科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"293,400,539.75","332,336,180.70","163,776,262.99","365,479,555.41","189,311,792.47","312,377,959.21","458,994,518.56","152,523,630.85","322,199,040.71","598,493,818.53","770,378,185.51","148,533,934.22","332,916,922.83","465,249,716.48","601,419,273.54","163,506,295.08","269,464,313.39","392,277,706.52","502,875,826.03","123,463,256.64","313,635,860.19","576,894,259.03","841,921,368.35","178,598,061.79","318,326,342.60","463,012,758.96","604,290,341.75","343,039,584.33","798,404,892.92","1,274,613,516.96","1,611,132,544.74","209,598,063.77","313,119,734.06","478,987,500.77","656,404,863.44","221,934,934.18"
二、营业利润,"40,759,775.23","67,685,880.58","32,299,103.03","78,871,043.26","23,312,969.83","35,285,583.87","42,037,716.46","22,182,796.58","62,542,928.76","201,137,375.55","233,990,770.18","25,226,771.81","77,032,582.59","39,207,623.64","7,925,837.34","-24,945,539.64","-104,593,872.74","-183,338,531.27","-329,934,896.36","-71,348,872.99","-67,923,078.02","-63,984,091.43","-49,475,673.59","-64,548,794.30","-193,119,790.63","-280,907,007.58","-406,639,662.94","83,657,505.79","271,371,084.76","501,349,785.88","565,730,089.87","-16,375,129.01","-140,703,744.45","-206,496,533.37","-318,133,664.80","6,837,185.48"
减:营业成本,"225,487,048.68","221,818,324.92","108,044,266.91","239,653,273.40","139,712,660.35","236,026,019.41","351,251,234.04","112,875,091.65","223,532,765.05","344,309,199.13","460,666,580.17","105,495,601.27","217,631,436.95","367,353,215.21","512,030,033.47","162,962,488.97","324,058,522.35","497,788,643.35","673,957,599.98","169,500,101.61","330,185,098.59","555,129,342.94","764,365,038.65","207,239,145.67","433,091,817.90","622,343,091.09","831,412,604.08","215,678,616.26","448,551,430.35","662,749,992.97","886,976,023.93","181,490,071.55","360,461,016.78","549,522,727.49","737,268,400.23","182,748,482.64"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"86,948.25","137,087.96","66,903.13","135,743.07","89,385.29","137,397.99","189,663.18","61,995.83","131,567.10","200,767.77","257,279.57","64,035.69","144,940.09","198,859.33","234,436.73","15,004.76","32,410.09","46,509.88","68,198.41","39,525.44","121,135.38","209,214.59","304,510.96","75,578.99","147,783.47","205,863.74","271,280.86","66,076.16","148,920.42","231,444.66","2,004,201.63","358,133.26","1,126,376.91","2,002,005.42","2,983,223.93","483,740.57"
营业外收入,"5,424,428.69","7,115,623.68","1,167,800.00","2,242,801.48","3,341,178.39","6,246,993.98","6,724,663.58","596,027.13","991,574.13","1,208,749.73","2,320,464.85","1,164,330.64","3,567,370.91","3,776,118.93","6,783,284.80","2,660,765.11","13,977,637.72","39,258,675.43","44,925,101.97","1,365,237.81","3,330,844.92","37,588,339.43","83,107,396.08","1,077,146.07","1,399,234.76","2,959,269.86","5,717,650.76","903,684.58","2,191,730.48","7,639,440.45","3,092,412.47","20,056,850.41","20,465,870.02","21,905,014.05","16,447,416.43","3,319,743.44"
销售费用,"10,508,002.99","13,054,226.14","8,130,598.77","15,333,885.27","6,902,334.26","10,346,002.22","15,154,530.66","4,318,417.73","9,466,937.35","14,953,481.46","21,485,418.23","4,956,446.98","9,635,489.32","15,148,883.00","20,598,016.37","5,323,702.83","9,576,152.11","15,160,774.03","20,682,486.82","4,356,963.01","10,015,858.09","17,180,729.77","23,749,050.66","6,130,163.72","12,776,719.54","18,581,825.10","25,155,425.65","6,284,991.51","12,910,883.37","21,106,670.72","30,441,081.24","7,336,532.05","13,223,892.74","19,953,879.89","31,516,790.07","4,759,118.10"
减:营业外支出,"671,484.25","3,834,471.79","25,888.64","218,129.15","1,597,362.34","2,041,628.38","950,685.91","558,794.54","693,948.76","1,321,741.01","1,929,039.53","134,764.08","715,171.95","962,961.95","3,933,198.47","2,296,304.85","2,595,067.40","2,915,704.40","4,095,068.26","62,049.50","125,283.50","766,793.65","10,059,516.89","339,870.65","416,948.83","852,368.01","2,549,116.90","1,467,034.55","4,420,052.04","5,193,533.58","8,246,639.77","457,528.28","727,253.12","2,010,501.43","11,279,291.56","146,055.71"
管理费用,"14,522,885.77","21,906,131.73","9,939,249.27","20,689,533.38","13,180,656.54","18,982,069.60","36,018,442.25","10,427,474.69","19,059,997.01","28,861,919.10","45,847,931.19","11,389,384.03","23,574,111.90","34,527,392.46","49,441,942.11","14,177,993.55","25,584,652.96","39,484,538.49","57,743,081.56","11,641,388.16","23,682,829.08","37,740,798.81","61,264,519.41","15,244,152.97","31,585,188.42","46,075,903.97","62,323,414.47","16,132,756.98","36,490,915.06","56,207,869.11","85,211,875.99","25,821,135.04","53,069,385.23","77,309,578.99","108,577,803.47","14,251,045.04"
其中:非流动资产处置净损失,"229,095.28","622,452.44","17,795.16","43,709.27","56,867.91","57,716.09","59,216.11","212,865.54","343,648.76","582,016.71","989,915.53","21,247.19","221,539.80","381,433.66","2,531,793.13","1,300,992.21","1,477,600.12","1,477,600.12","1,527,241.57",49.50,283.20,"2,241.57","8,706,498.53",,"39,868.65","39,868.65","1,257,891.78","994,153.97","3,886,567.46","4,286,437.34","6,337,130.52","124,927.73","172,893.57","1,339,311.35",,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"4,546,218.48","8,040,980.36","4,882,398.84","9,753,853.67","6,265,526.99","11,261,104.29","14,138,807.13","2,584,622.95","6,471,413.23","8,324,906.94","7,581,535.08","682,188.39","3,266,725.86","7,304,284.44","9,712,428.28","4,005,436.39","11,325,783.81","18,313,358.22","26,139,583.05","9,481,643.12","19,236,017.27","31,345,624.58","42,433,758.99","13,667,795.54","26,902,345.81","42,475,825.65","59,549,724.52","11,948,818.99","20,128,461.91","24,271,539.03","27,041,697.30","2,823,655.96","6,758,187.79","10,714,034.26","16,232,876.47","6,651,278.53"
