科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,559,003,604.51","1,769,952,991.17","1,469,739,600.00","2,180,932,094.57","1,251,433,465.09","1,856,106,600.00","2,718,760,482.08","704,301,610.90","1,512,926,234.28","2,118,697,847.48","3,034,770,484.49","763,577,470.08","1,535,194,062.94","2,129,158,216.55","3,363,581,108.19","835,390,423.46","1,956,701,256.90","2,620,708,767.36","3,855,119,811.67","1,090,889,397.01"
二、营业利润,"220,995,770.86","264,502,216.06","229,219,500.00","307,853,541.57","216,998,135.72","247,819,200.00","383,404,324.31","110,554,124.36","220,994,757.20","225,568,728.14","340,513,831.35","122,831,718.12","180,046,390.37","152,675,522.87","343,113,130.90","111,366,575.15","252,934,641.93","323,492,838.19","555,065,582.43","188,891,401.70"
减:营业成本,"556,964,802.45","659,653,427.91","527,045,200.00","785,778,869.21","459,161,348.12","706,092,200.00","1,033,395,605.81","291,226,593.93","648,656,931.27","945,267,295.99","1,348,367,497.07","306,921,089.72","668,404,830.56","941,589,381.06","1,401,235,705.76","336,384,051.99","814,851,483.33","1,075,995,659.62","1,557,154,053.63","438,479,107.73"
加:补贴收入,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"22,172,216.85","23,702,900.17",,"28,476,522.29","17,041,022.90",,"34,837,229.81","9,114,062.96","18,417,987.18","23,305,662.49","36,391,796.48","11,725,928.90","21,150,450.80","27,321,526.99","54,813,455.47","14,163,182.03","33,912,747.39","41,797,758.36","68,530,683.42","19,933,590.31"
营业外收入,"37,914,836.98","33,276,449.34",,"41,627,065.49","8,589,155.26",,"23,998,004.14","1,815,885.69","15,459,013.06","30,141,751.52","62,312,702.15","19,210,400.16","45,042,327.85","49,981,999.04","82,858,057.00","13,788,896.43","11,831,903.55","21,803,825.83","15,378,626.58","329,355.65"
销售费用,"560,324,785.94","600,125,781.28",,"814,672,072.12","430,374,296.94",,"993,386,306.41","224,713,724.90","494,202,301.47","741,815,806.37","1,025,732,816.48","244,419,909.41","505,120,106.32","752,752,019.88","1,171,205,964.58","268,063,178.94","655,474,861.59","866,555,282.33","1,277,048,049.76","345,776,518.10"
减:营业外支出,"2,827,999.44","5,021,672.67",,"2,505,815.91","51,668.34",,"443,076.34",28.02,811.54,"346,420.35","1,720,317.53","87,464.03","1,518,387.95","2,829,058.52","3,639,554.49","272,341.63","2,112,698.67","2,723,350.22","5,722,414.35","11,664.65"
管理费用,"164,153,249.43","176,053,705.60",,"184,611,217.44","109,359,676.28",,"232,968,858.22","63,891,260.00","129,125,637.98","178,921,939.14","289,633,699.12","76,943,224.61","157,588,935.26","247,837,145.25","372,279,276.47","99,550,224.89","207,547,457.25","323,814,734.91","444,249,488.61","125,955,581.30"
其中:非流动资产处置净损失,"6,953.02","266,169.58",,"593,932.44","41,168.34",,"308,282.92",,,"341,276.61","1,375,929.40","84,424.03","90,750.07","537,572.37","1,006,769.23","1,144.87","314,480.26","469,037.86","1,017,374.16",
堪探费用,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,
财务费用,"33,439,388.13","40,812,440.61",,"36,977,342.67","16,192,801.92",,"31,933,938.11","6,623,106.42","1,476,688.90","2,623,720.09","1,356,826.54","1,417,581.61","2,553,215.98","5,893,021.56","7,865,137.83","1,344,434.90","4,940,586.73","7,526,974.98","7,241,595.39","198,123.31"
三、利润总额,"256,082,608.40","292,756,992.73","243,715,900.00","346,974,791.15","225,535,622.64","258,559,200.00","406,959,252.11","112,369,982.03","236,452,958.72","255,364,059.31","401,106,215.97","141,954,654.25","223,570,330.27","199,828,463.39","422,331,633.41","124,883,129.95","262,653,846.81","342,573,313.80","564,721,794.66","189,209,092.70"
资产减值损失,"1,105,090.85","5,312,519.54",,"22,763,779.27","2,533,683.21",,"9,061,719.41","-1,798,761.67","544,915.44","2,157,680.42","1,297,394.33","-401,982.29","1,628,763.79","4,053,653.74","17,670,135.82","6,448,786.52","2,374,975.79","1,341,212.73","5,778,082.37","12,175,731.14"
减:所得税,"57,125,667.68","45,055,444.98",,"64,448,205.35","39,465,982.60",,"75,874,399.31","19,794,149.37","40,760,367.56","41,855,636.38","73,590,480.52","35,025,511.82","38,798,351.68","53,248,678.30","83,091,700.39","16,823,574.12","55,039,963.26","66,856,971.06","94,863,244.89","36,990,800.79"
