科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"96,506,229.05","181,263,972.76","244,181,564.71","122,198,339.16","168,455,641.16","254,447,769.68","43,391,731.06","129,023,085.26","234,396,809.65","315,234,650.37","94,457,755.01","225,484,840.03","335,329,056.34","492,887,920.23","100,319,883.19","219,925,106.16","356,084,296.34","596,902,301.77","93,840,098.50","239,581,810.87","412,084,069.73","877,943,634.63","287,396,242.32","624,072,906.38","999,660,763.87"
取得子公司及其他营业单位支付的现金净额,"4,192,068.39","15,000,000.00",,,,,,,"69,211,701.26","74,969,089.27","4,700,000.00","8,410,000.00","13,350,000.00","21,830,000.00","120,000,000.00","120,800,000.00","120,800,000.00",,"13,000,000.00","66,394,979.69","66,759,979.69","731,927,192.47","21,246,000.00","21,246,000.00","42,746,000.00"
收到的税费返还,"3,359,856.78","9,236,663.16","14,074,786.35","5,732,821.56","5,732,821.56","17,174,020.58","1,071,180.69","6,013,302.67","15,038,916.42","22,268,790.69","1,840,654.06","9,717,230.17","15,664,300.06","23,560,866.81","3,068,306.18","10,480,177.60","15,748,675.27","24,119,667.59","3,330,179.11","6,569,942.19","10,896,850.81","27,491,739.93","7,911,732.49","24,055,078.20","34,600,296.66"
支付其他与投资活动有关的现金,,"3,000,000.00",,,,,,,,,,,,,,,,,,,,,,"5,206,361.02","26,230,139.68"
收到其他与经营活动有关的现金,"12,641,341.99","112,650.68","3,126,903.62","1,154,440.30","8,461,370.25","3,512,980.96","2,643,785.88","3,546,715.36","8,412,219.59","9,160,130.85","5,585,670.31","9,794,709.85","10,580,951.08","16,159,458.68","16,100,478.76","17,141,263.59","17,976,708.30","18,982,531.14","6,062,537.82","868,983.43","8,131,045.97","5,520,655.93","18,352,173.31","9,223,175.76","17,097,800.52"
投资活动现金流出小计,"7,838,891.26","40,123,326.24","33,735,390.26","12,281,614.11","22,338,037.86","96,188,852.52","5,965,253.83","55,629,555.58","339,195,889.66","143,832,663.76","220,602,368.62","458,547,863.10","671,953,238.56","986,190,311.02","328,511,068.87","888,226,615.80","1,493,930,118.40","1,917,795,010.67","236,791,805.40","353,818,454.97","458,833,163.57","1,548,266,172.60","424,706,990.46","996,380,933.83","1,500,886,851.64"
经营活动现金流入小计,"112,507,427.82","190,613,286.60","261,383,254.68","129,085,601.02","182,649,832.97","275,134,771.22","47,106,697.63","138,583,103.29","257,847,945.66","346,663,571.91","101,884,079.38","244,996,780.05","361,574,307.48","532,608,245.72","119,488,668.13","247,546,547.35","389,809,679.91","640,004,500.50","103,232,815.43","247,020,736.49","431,111,966.51","910,956,030.49","313,660,148.12","657,351,160.34","1,051,358,861.05"
投资活动产生的现金流量净额,"-7,838,891.26","-40,123,326.24","-27,391,985.27","-12,281,614.11","-22,338,037.86","-96,188,852.52","-2,804,805.83","-42,456,897.90","-148,664,537.61","-139,820,391.11","-29,925,187.51","-25,021,840.89","-53,534,306.47","-95,530,129.19","-172,372,041.23","-138,960,704.08","-314,673,956.72","-335,423,679.24","71,051,522.84","40,245,348.83","109,101,112.48","-768,547,953.24","-16,937,716.49","-248,767,168.45","-454,564,754.17"
购买商品、接受劳务支付的现金,"54,557,261.47","58,644,077.47","90,765,724.05","56,219,418.36","101,998,715.99","95,318,615.40","33,809,040.92","79,690,816.75","114,647,300.47","109,484,432.73","69,515,242.59","145,246,949.56","196,976,442.81","241,101,631.65","72,411,951.14","143,002,429.78","217,215,536.24","299,505,835.43","83,920,157.01","151,984,263.47","231,006,638.32","308,128,204.94","123,803,500.04","287,512,964.61","494,942,815.30"
吸收投资收到的现金,"31,022,700.00","12,600,000.00",,,"465,000,000.00","433,397,200.00",,,,,,,,"3,900,000.00",,,,,,,,"984,524,490.30","1,700,000.00","1,700,000.00","42,547,490.00"
