科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"349,745,787.97","425,074,892.93","318,236,076.37","421,579,324.23","210,458,944.90","302,736,270.72","412,601,070.79","92,994,029.60","198,156,305.94","299,145,726.37","397,922,948.20","87,514,695.83","212,182,815.44","329,521,282.62","530,559,448.07","329,550,066.01","798,369,316.24","1,305,531,962.16","1,738,141,279.39","412,964,285.10","965,635,568.49","1,515,929,800.54","2,094,991,038.31","478,406,813.13","1,161,049,819.55","1,735,194,558.61","2,280,614,014.38","482,549,584.65"
二、营业利润,"49,634,222.59","70,919,222.60","47,938,765.46","59,041,902.87","31,414,029.24","42,994,241.61","54,843,113.77","4,757,977.54","18,856,909.25","32,602,168.46","41,569,187.93","11,057,780.10","36,880,065.70","58,115,686.13","79,040,891.19","29,312,338.43","85,238,511.96","128,826,074.03","161,227,654.04","33,844,417.59","87,080,626.63","130,388,412.66","122,397,100.58","28,019,975.07","79,380,779.80","132,552,027.16","161,024,854.93","26,882,409.95"
减:营业成本,"205,652,465.43","246,301,071.11","190,361,396.92","254,825,127.52","120,281,057.38","176,084,650.68","244,953,789.21","56,442,922.11","119,205,724.16","182,690,242.99","246,337,117.85","50,067,680.40","115,517,676.64","184,354,902.43","331,532,448.24","253,676,774.15","614,853,796.37","1,032,436,747.66","1,375,567,356.18","327,829,556.95","767,659,537.83","1,215,066,067.53","1,696,162,550.74","392,734,750.42","953,960,932.66","1,417,211,145.79","1,862,501,188.30","395,976,169.94"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"502,531.00","3,130,878.95","2,999,710.93","3,882,042.26","2,186,853.99","2,932,266.79","3,991,560.31","840,250.48","1,875,682.87","2,894,903.12","4,687,270.21","668,026.44","1,384,348.09","2,568,181.71","3,644,850.60","1,659,973.99","3,496,452.24","5,587,026.59","10,126,707.17","2,903,114.54","6,278,687.59","9,588,803.61","12,742,388.16","2,943,978.35","6,856,998.89","10,149,090.01","13,489,874.62","3,599,054.09"
营业外收入,"1,025,032.67","592,260.33","902,781.65","2,808,168.79","1,449,844.74","1,869,684.70","2,582,336.83","289,000.00","1,182,920.99","3,152,335.86","5,158,787.88","120,069.96","219,956.11","507,904.54","1,903,529.73","1,125,303.96","1,298,262.86","8,078,742.95","10,038,851.30","1,439,261.53","145,499.57","225,365.73","342,773.02","148,387.18","292,651.72","824,298.94","280,349.98","82,819.71"
销售费用,"53,009,337.93","53,694,340.62","35,750,067.47","50,861,962.52","25,844,776.99","36,762,626.96","51,125,160.52","12,663,398.43","26,619,567.40","37,750,305.49","51,928,521.30","12,472,162.36","27,438,669.55","39,882,134.52","59,635,634.80","21,353,209.16","44,865,970.03","66,588,156.83","94,592,385.77","21,356,334.49","45,613,486.36","71,735,794.50","104,789,980.79","24,057,203.62","54,101,289.86","80,135,767.31","110,668,015.06","23,955,492.17"
减:营业外支出,"1,381,278.99","860,844.54","12,596.76","72,596.76","3,600.00","31,901.46","101,531.46","3,737.31","100,746.04","95,352.84","363,051.55","266,700.00","515,108.74","755,606.04","1,235,756.04","5,437.22","975,499.91","1,053,331.85","1,267,191.23","1,016,176.30","1,226,044.73","1,526,258.02","2,741,248.51","165,859.30","875,383.68","1,228,947.30","665,664.24","152,271.55"
管理费用,"29,527,144.00","34,889,290.95","24,109,607.78","34,743,047.42","18,568,119.51","27,949,090.52","39,415,447.42","13,488,787.31","23,425,216.03","32,671,488.52","44,265,514.64","9,875,433.72","23,105,213.26","34,566,875.07","49,357,003.08","18,160,832.58","37,578,479.34","56,661,080.15","76,127,190.30","18,808,633.73","39,820,374.97","65,074,512.78","92,107,635.84","23,285,627.15","47,930,817.21","59,873,061.29","80,482,651.58","21,073,166.05"
其中:非流动资产处置净损失,,"1,331,832.14",,0.05,,,,,,,"234,592.67",,,"310,166.04","783,691.04",,"860,412.81","908,132.47","919,486.42","995,576.30","1,064,656.73","1,089,444.99",,,,,,
