科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"821,949,064.96","1,508,700,400.00","943,279,582.63","1,219,124,338.67","1,842,597,177.60","680,782,417.21","1,095,808,864.71","1,479,531,412.91","2,068,036,969.01","777,994,575.82","1,271,525,674.52","1,708,531,297.00","2,549,524,264.52","1,097,674,660.27","1,778,150,156.15","2,440,002,417.20","3,427,286,730.23","1,256,754,727.12","2,065,248,538.99","2,707,315,868.51","3,963,740,431.10","1,592,136,194.22","2,362,748,471.79","3,120,250,746.05","4,529,015,709.47","1,752,146,582.83","2,750,655,860.21","3,818,707,984.66","5,726,707,998.62","2,196,267,790.49","3,683,973,064.61","4,860,953,498.49","7,376,592,369.37","2,717,418,256.74","4,035,859,919.09","5,240,112,778.21","8,116,118,720.77","2,430,155,864.51","3,977,837,903.69","5,380,552,578.23"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,"36,554.49",,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,"50,000,000.00","50,000,000.00",,,,,,,,,,,,,"37,720.55","458,762.39","458,762.39","497,162.39","2,538.82",,,,"219,461.09",,"391,565.89","560,209.74","3,138,500.00",,"3,262,310.32","3,180,325.78","3,399,008.36","106,096.68","186,886.18","382,156.18","4,473,871.16",,,
收到其他与经营活动有关的现金,"2,773,874.33","7,378,500.00","1,437,599.27","8,509,919.29","9,044,528.71","4,061,586.16","9,609,727.78","19,971,472.85","17,909,791.85","6,278,043.84","10,956,319.73","14,930,271.87","7,715,378.59","6,013,117.90","8,114,127.63","9,261,988.41","28,168,986.98","5,710,355.70","8,347,499.25","51,535,054.51","16,843,324.64","8,821,287.82","27,562,071.13","32,692,502.25","26,315,973.32","3,564,559.31","11,258,135.41","14,971,535.67","29,748,987.86","8,763,657.49","18,569,648.30","48,956,099.64","85,350,943.74","14,240,319.22","27,005,075.14","33,135,874.44","66,100,457.24","5,548,299.74","10,918,432.06","19,257,819.11"
投资活动现金流出小计,"140,013,261.59","299,972,300.00","131,296,773.25","203,485,600.97","304,372,323.24","113,709,121.90","280,195,207.47","501,694,261.45","700,954,853.64","172,294,895.38","265,252,283.28","476,831,587.93","817,009,702.38","224,131,642.44","356,933,898.77","1,130,694,498.77","2,379,556,961.46","190,289,159.96","548,140,991.60","730,114,425.21","1,180,727,263.58","484,662,678.57","706,772,178.34","1,127,310,681.60","1,384,114,963.14","213,581,024.43","316,445,667.52","493,849,719.00","798,983,832.98","129,075,567.65","218,913,612.25","291,728,564.41","447,573,112.17","190,406,139.53","301,910,165.04","437,732,911.01","869,392,950.64","199,477,945.01","333,023,123.04","492,343,597.37"
经营活动现金流入小计,"824,722,939.29","1,516,078,900.00","944,717,181.90","1,227,634,257.96","1,851,641,706.31","684,844,003.37","1,105,418,592.49","1,499,502,885.76","2,085,946,760.86","784,272,619.66","1,282,481,994.25","1,723,461,568.87","2,557,239,643.11","1,103,687,778.17","1,786,264,283.78","2,449,264,405.61","3,455,455,717.21","1,262,465,082.82","2,073,632,592.73","2,758,850,923.02","3,980,583,755.74","1,600,957,482.04","2,390,310,542.92","3,152,943,248.30","4,555,331,682.79","1,755,711,142.14","2,761,913,995.62","3,833,679,520.33","5,756,456,986.48","2,205,031,447.98","3,702,542,712.91","4,909,909,598.13","7,461,943,313.11","2,731,658,575.96","4,062,864,994.23","5,273,248,652.65","8,182,219,178.01","2,435,704,164.25","3,988,756,335.75","5,399,810,397.34"
投资活动产生的现金流量净额,"-79,009,241.59","-209,424,500.00","-131,296,773.25","-203,485,600.97","-288,881,323.24","-113,709,121.90","-280,195,207.47","-498,154,861.45","-695,253,253.64","-172,294,895.38","-265,020,430.79","-476,392,333.50","-806,108,355.81","-223,821,462.99","-356,670,693.73","-1,130,597,750.73","-2,379,556,961.46","-190,269,159.96","-544,120,991.60","-716,094,425.21","-1,153,011,963.58","-475,209,936.29","-706,710,322.66","-1,121,310,681.60","-1,354,874,326.29","-213,574,443.34","-299,748,330.54","-398,986,230.50","-666,408,712.46","-124,235,192.75","-203,690,547.35","-257,914,691.44","-383,794,713.18","-147,991,429.94","-142,823,672.34","-269,927,285.56","-683,909,581.72","-199,177,945.01","-332,405,923.04","-481,893,597.37"
购买商品、接受劳务支付的现金,"500,873,779.76","826,973,000.00","573,313,359.17","734,623,959.45","1,195,917,264.51","391,489,068.99","627,996,588.37","868,015,564.35","1,182,098,226.47","463,960,800.00","732,571,926.20","1,002,530,949.25","1,479,709,146.26","891,540,139.49","1,270,266,161.06","1,676,294,646.69","2,444,047,333.47","970,958,217.12","1,433,054,048.70","1,898,811,153.74","2,639,754,886.94","1,249,493,765.09","1,781,092,299.94","2,300,743,589.28","3,356,429,984.49","1,222,925,571.15","1,876,777,019.92","2,668,428,960.35","4,117,779,201.26","1,634,631,812.49","2,532,570,221.22","3,208,921,815.29","5,286,774,096.79","1,988,993,437.91","3,260,195,021.97","4,202,427,180.89","6,504,176,200.73","2,036,086,775.64","3,233,800,975.23","4,392,316,483.74"
吸收投资收到的现金,,,,"1,024,750,000.00","1,024,750,000.00",,,,"15,000,000.00",,,,,,,,,,,,,,,,,,,"994,999,997.55","994,999,997.55",,,"14,500,000.00","49,000,000.00",,"7,500,000.00","7,500,000.00","7,500,000.00",,,
