科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"321,111,531.32","425,096,651.64","92,936,552.87","590,863,324.01","145,253,944.56","315,075,332.38","544,501,453.89","890,202,806.21","248,562,835.02","610,657,065.59","1,018,712,751.66","1,531,773,387.63","377,012,197.09","860,056,797.09","1,440,402,670.33","2,000,743,824.55","551,023,423.05","1,033,207,535.55","1,681,465,740.89","2,458,977,815.13","730,215,183.80","1,399,172,837.86","2,138,391,610.91","3,029,629,538.56","948,194,734.52","1,494,006,097.73","2,285,308,591.11","3,150,706,555.79","1,127,370,658.56","1,919,336,254.31","2,732,689,102.73","4,092,876,412.33","1,202,756,006.73","1,920,834,182.22","3,420,754,155.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"18,239,393.29",,,,,,,,,,,,"318,041,934.05","48,945,116.17","55,945,116.17","78,945,116.17","80,945,116.17",,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,902.65",,,,"45,727.02","50,388.35","73,375.40","73,375.40"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"10,000,000.00","20,390,000.00","47,390,000.00","61,390,000.00","111,030,000.00","48,550,000.00","438,566,368.40","600,259,108.63","760,805,905.63","840,000.00",,"100,109,067.56","114,980,088.51",,"100,887,004.00","349,887,004.00"
收到其他与经营活动有关的现金,"4,261,880.16","8,292,194.45","4,079,026.33","6,930,898.83","1,958,585.21","6,743,591.21","9,363,181.68","11,885,313.67","4,906,232.14","5,273,694.18","9,391,117.63","38,761,778.65","6,852,544.46","22,252,830.17","32,518,505.08","21,301,405.43","23,547,798.81","33,654,696.43","43,981,160.74","37,799,594.31","22,324,548.45","59,322,201.31","49,616,099.56","75,701,901.99","2,722,434.54","12,518,825.16","15,820,932.42","78,488,675.60","30,226,220.50","49,513,850.45","324,412,588.06","460,355,889.08","179,307,716.24","136,281,769.45","92,013,092.33"
投资活动现金流出小计,"9,239,469.71","16,689,851.36","2,021,686.45","13,881,835.73","13,641,681.76","36,722,748.39","53,251,922.69","124,335,159.11","39,349,810.75","81,033,307.14","183,659,700.50","414,234,015.18","277,726,065.94","397,260,701.11","423,848,744.18","435,905,311.59","14,684,867.95","68,865,322.28","90,288,101.60","209,891,506.39","78,141,937.11","116,867,785.92","142,808,855.78","317,470,439.04","296,601,913.69","540,635,174.96","716,304,196.53","1,201,477,228.74","94,815,538.57","131,245,133.96","628,559,508.01","885,494,966.69","214,898,743.27","675,435,895.87","1,540,733,474.20"
经营活动现金流入小计,"325,373,411.48","433,388,846.09","97,015,579.20","597,794,222.84","147,212,529.77","321,818,923.59","553,864,635.57","902,088,119.88","253,469,067.16","615,930,759.77","1,028,103,869.29","1,570,535,166.28","383,864,741.55","882,309,627.26","1,472,921,175.41","2,022,045,229.98","574,571,221.86","1,066,862,231.98","1,725,446,901.63","2,496,777,409.44","752,539,732.25","1,458,495,039.17","2,188,007,710.47","3,105,331,440.55","950,917,169.06","1,506,524,922.89","2,301,129,523.53","3,229,209,134.04","1,157,596,879.06","1,968,850,104.76","3,057,101,690.79","4,553,278,028.43","1,382,114,111.32","2,057,189,327.07","3,512,840,623.65"
投资活动产生的现金流量净额,"-8,512,696.72","-16,487,101.36","-1,931,686.45","-11,613,156.05","-13,587,181.76","-36,603,248.39","-53,099,972.69","-124,169,149.11","-36,164,585.15","-77,702,981.54","-180,161,944.90","-410,730,679.58","-277,586,114.56","-396,843,273.73","-422,416,007.09","-433,363,956.52","-14,675,735.61","-58,559,700.52","-79,659,176.92","-154,630,627.91","-75,980,769.60","-102,806,803.94","-101,629,903.46","-268,397,150.87","-296,509,093.96","-531,215,525.93","-687,896,988.25","-1,138,388,602.00","-94,474,459.82","-127,124,575.90","-622,713,018.56","-758,683,807.07","-211,056,695.31","-471,105,605.91","-1,112,305,873.39"
购买商品、接受劳务支付的现金,"253,734,664.48","304,546,589.09","100,299,733.20","423,036,515.39","113,128,241.77","220,582,584.27","391,745,712.73","701,682,838.08","323,722,528.36","627,532,251.76","1,016,619,809.60","1,348,813,536.32","354,847,941.24","778,282,861.70","1,212,477,381.16","1,611,209,327.15","457,026,193.99","860,267,075.63","1,379,419,828.41","1,743,047,437.15","706,720,034.89","1,222,102,580.70","1,812,511,534.37","2,342,994,420.29","620,760,209.39","1,420,447,510.10","2,366,147,238.22","3,016,398,749.74","1,078,062,322.47","1,790,132,931.64","2,633,225,321.22","3,706,243,825.85","1,443,579,603.29","1,966,894,171.90","3,011,321,039.83"
吸收投资收到的现金,"6,866,700.00","26,566,700.00",,,"30,000.00","1,271,374,773.00","1,271,374,773.00","1,278,114,400.00",,,,,,,,,,,,,,,,,"1,401,990,793.74","1,440,066,327.57","1,426,495,940.24","1,442,496,625.74",,"1,500,000.00","12,000,000.00","12,000,000.00","36,100,000.00","998,599,997.50","1,016,998,064.38"
