科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"230,564,728.20","300,821,275.60","326,821,084.29","97,307,352.75","216,733,133.40","327,271,749.77","431,089,600.87","112,839,514.57","255,619,304.57","377,355,267.38","500,678,638.74","121,994,245.27","274,592,011.19","414,409,589.93","561,515,630.81","142,595,589.17","347,122,736.20","546,422,604.62","750,644,132.95","181,896,585.18","392,168,830.14","631,812,308.92","868,030,520.30","223,460,896.50","501,937,068.29","808,048,988.27","1,110,572,016.89","278,018,027.41","615,740,293.64","985,157,029.22","1,346,098,765.04","399,667,649.42","922,664,334.21","1,435,609,202.62","1,978,567,897.31","543,569,591.32","1,228,028,475.65"
二、营业利润,"27,063,733.94","30,467,396.80","34,051,005.38","12,160,639.72","28,823,286.48","36,007,035.93","40,887,740.44","10,671,249.76","23,646,236.73","24,924,950.00","21,635,583.38","5,115,718.42","14,334,286.43","23,787,768.13","24,772,053.28","5,653,426.83","16,497,132.93","30,081,811.06","41,944,163.24","9,808,531.20","24,144,945.92","43,879,472.79","52,292,944.76","15,066,427.45","37,623,301.45","64,774,154.31","85,907,334.56","31,305,176.37","68,279,339.75","109,969,735.13","136,677,339.50","44,371,725.65","114,010,494.02","168,017,411.44","207,956,604.01","57,586,971.51","149,078,055.45"
减:营业成本,"171,662,078.84","229,341,636.24","250,029,483.24","75,679,258.53","166,536,347.68","255,981,258.65","338,148,410.92","92,622,426.18","206,902,341.27","311,739,926.81","416,286,405.44","102,233,841.57","226,282,545.79","339,865,747.76","461,558,383.34","117,518,088.98","283,588,730.07","441,873,824.49","603,795,103.59","144,862,468.28","311,248,470.20","499,498,101.05","686,711,349.42","178,590,024.68","398,027,119.91","642,224,188.09","876,449,140.04","216,801,016.91","478,502,751.15","765,261,484.58","1,041,655,406.04","307,111,224.96","711,223,265.28","1,119,362,815.28","1,550,647,981.83","433,791,680.16","965,140,875.46"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"101,333.81","794,077.12","769,315.32","144,943.21","240,961.53","448,542.73","791,088.46","219,670.00","1,028,901.95","1,552,885.16","2,058,957.81","1,262,462.29","1,379,596.19","1,552,773.98","2,226,928.69","172,051.95","1,381,237.60","2,044,574.15","3,159,319.86","948,275.52","2,140,328.59","3,474,727.12","4,512,370.16","464,036.81","1,826,099.44","3,563,601.60","7,994,542.01","2,161,230.58","3,904,573.77","5,184,776.19","10,537,850.98","4,121,475.45","6,345,606.95","10,170,876.01","14,768,938.24","2,619,098.76","6,347,688.67"
营业外收入,"2,293,566.13","3,048,359.11","7,422,645.86","1,614,383.94","1,950,433.95","6,406,150.56","7,440,070.34","1,316,564.23","3,461,404.85","3,797,617.37","5,578,625.28","458,862.90","3,454,332.27","5,770,999.88","7,279,168.28","80,899.30","297,249.51","1,277,737.66","1,827,690.38","119,281.54","546,672.59","1,239,129.97","3,227,332.93","206,189.34","653,904.96","1,593,331.11","2,470,776.00","588,240.85","2,011,528.30","3,505,003.84","6,498,013.21","1,145,410.27","3,147,330.71","4,528,970.56","2,676,083.62","463,443.99","585,892.22"
销售费用,"4,311,533.88","5,415,273.63","7,274,979.73","2,188,331.35","3,926,802.83","8,041,210.22","9,968,681.00","1,632,325.97","4,344,223.98","8,643,307.65","13,211,845.53","4,305,307.60","9,481,693.27","14,786,730.05","20,029,472.89","4,596,599.10","10,467,441.83","18,074,348.09","25,198,461.81","6,182,704.84","13,400,295.93","20,752,006.29","28,465,140.22","6,118,900.38","16,136,419.82","24,904,056.40","35,057,395.77","8,306,403.02","19,274,919.48","29,259,852.75","41,399,055.02","9,792,148.31","20,843,020.63","37,718,076.04","54,098,544.99","11,892,188.28","26,531,451.38"
减:营业外支出,"148,026.07","130,509.07","196,175.10","117,944.98","145,863.51","183,664.95","202,423.20","66,000.00","312,602.98","337,056.80","559,402.70","128,236.53","373,270.67","453,168.43","801,948.78","86,391.28","557,885.24","725,476.97","775,589.52","22,881.30","162,881.30","328,041.58","394,122.10","29,304.90","191,703.45","307,759.41","470,759.81","1,866,355.91","1,554,203.78","1,621,864.96","2,410,438.67","29,856.71","1,074,478.96","1,092,890.13","1,082,942.07","9,012.00","222,475.34"
管理费用,"22,369,856.25","29,798,697.68","32,055,129.34","6,550,177.88","16,802,707.01","27,911,322.73","42,546,333.86","9,515,581.03","21,620,401.33","32,914,004.07","47,403,668.68","12,131,030.42","26,736,769.61","39,439,686.85","56,057,340.16","15,420,232.42","33,744,286.09","52,952,871.07","72,044,442.63","21,040,005.59","42,900,353.04","67,601,313.25","94,552,128.10","27,093,408.06","60,916,013.81","91,059,364.27","128,253,695.62","27,692,239.05","57,999,376.33","89,661,164.45","127,580,567.00","32,281,227.82","68,280,134.86","108,952,383.72","147,916,600.22","34,391,284.19","75,526,696.31"
其中:非流动资产处置净损失,"-11,212.81","-2,624.35","-59,640.00",,"-16,703.49","-16,703.49",,,,,"1,628.08","123,822.10","133,445.89","200,614.74","486,766.58","4,659.77","4,659.77","4,659.77","10,544.80",,,"165,160.28","166,583.82",,,"9,582.13","76,951.99","1,753,260.20","1,306,714.33","1,307,319.75","1,323,870.91","4,013.42","34,405.86","34,684.05",,,
