科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"290,496,211.81","318,830,241.67","117,051,301.31","299,036,611.67","420,030,329.54","35,982,739.22","138,722,088.68","238,406,297.72","513,451,656.36","40,495,805.58","267,651,967.80","446,780,283.27","731,113,693.16","133,422,919.28","331,866,649.28","581,912,977.90","885,033,051.41","193,605,187.85","484,235,200.30","707,927,640.21","1,177,319,048.99","143,004,754.69","489,030,675.37","686,201,897.96","1,205,546,302.80","215,614,692.50","974,741,137.89","1,057,819,638.00","1,431,566,411.56","97,476,948.61","1,350,106,101.02","1,520,438,713.87","2,244,782,366.99","144,881,272.67","963,810,214.19","1,487,028,641.35"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"11,608,169.47",,,,,,,,"218,894,138.00",,,,,,,"20,100.00","153,793,061.51",,,,,,,
收到的税费返还,"6,000,000.00","4,658,160.08",,,,,,,,,"395,287.00","784,540.94","1,173,794.88","383,220.50","577,847.47","772,474.85","914,570.85",,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,"9,797,200.00","9,797,200.00",,,,,,,,,,,"-20,100.00",,,,,,,,
收到其他与经营活动有关的现金,"16,543,178.05","13,917,939.85","2,790,454.58","3,245,400.78","5,539,875.27","524,804.82","1,512,264.65","2,097,239.02","17,263,924.89","3,594,328.47","13,688,371.63","14,717,150.09","59,712,796.84","3,289,904.87","26,134,173.75","7,527,833.27","85,387,438.36","5,787,896.96","13,912,499.51","43,473,966.29","145,348,750.04","246,187.56","71,319,696.90","82,005,083.22","263,744,254.59","14,524,111.77","35,471,810.67","83,876,842.58","275,573,782.90","37,898,241.56","98,743,616.19","220,563,486.58","248,358,904.07","66,693,800.45","134,667,728.39","225,501,312.83"
投资活动现金流出小计,"39,990,553.30","20,023,813.76","1,038,708.22","7,320,573.70","8,806,613.91","7,865,520.40","8,889,644.67","28,942,231.98","107,328,175.39","18,745,231.84","108,690,195.70","200,838,376.86","258,318,273.52","30,486,892.85","84,508,958.82","181,700,523.24","328,805,347.70","15,672,481.48","19,687,506.23","30,227,521.94","368,238,988.97","15,988,059.83","148,926,006.18","309,346,232.78","952,581,747.19","253,194,058.91","252,774,836.65","289,143,502.85","455,571,922.97","21,063,007.71","83,643,153.05","770,401,203.70","1,553,430,872.75","255,985,712.43","672,660,276.19","993,311,518.48"
经营活动现金流入小计,"313,039,389.86","337,406,341.60","119,841,755.89","302,282,012.45","425,570,204.81","36,507,544.04","140,234,353.33","240,503,536.74","530,715,581.25","44,090,134.05","281,735,626.43","462,281,974.30","792,000,284.88","137,096,044.65","358,578,670.50","590,213,286.02","971,335,060.62","199,393,084.81","498,147,699.81","751,401,606.50","1,322,667,799.03","143,250,942.25","560,350,372.27","768,206,981.18","1,469,290,557.39","230,138,804.27","1,010,212,948.56","1,141,696,480.58","1,707,140,194.46","135,375,190.17","1,448,849,717.21","1,741,002,200.45","2,493,141,271.06","211,575,073.12","1,098,477,942.58","1,712,529,954.18"
投资活动产生的现金流量净额,"-39,698,053.30","-14,596,985.09","-1,038,068.22","-7,319,933.70","-8,805,973.91","-7,865,520.40","-8,883,671.73","-28,936,259.04","-107,328,175.39","-18,745,231.84","-108,690,195.70","-200,838,376.86","-237,498,634.56","-30,486,892.85","-84,338,958.82","-75,800,465.24","-222,905,289.70","-15,672,481.48","-18,247,265.23","-28,781,825.94","-368,233,533.97","-15,314,087.23","53,666,870.53","-106,753,356.07","-464,701,011.04","-252,369,004.12","-160,779,879.74","-197,140,545.94","-273,567,591.91","-21,062,207.71","-83,642,353.05","-704,675,603.70","-835,306,003.95","61,569,909.47","-24,975,289.91","-142,904,848.92"
购买商品、接受劳务支付的现金,"182,683,945.47","215,600,740.66","120,863,485.51","214,477,739.60","274,939,355.33","49,263,015.54","194,556,047.24","261,890,808.64","375,002,208.51","65,299,283.22","206,545,691.70","350,654,519.38","496,942,779.61","171,300,382.80","352,732,741.11","615,133,285.42","807,380,936.29","229,337,745.94","437,477,491.69","637,401,268.03","959,120,495.54","125,696,157.60","404,303,596.47","597,563,805.12","934,865,716.36","116,003,588.97","613,529,952.42","686,596,438.92","1,077,160,400.46","245,800,882.32","735,443,276.88","1,109,537,126.88","1,507,996,171.47","382,548,758.29","890,745,946.11","1,563,067,888.80"
吸收投资收到的现金,,,,,,"560,000,000.00","560,000,000.00","560,000,000.00","560,000,000.00",,,,,,,,,,,"699,509,995.20","699,509,995.20",,,,,,,,,,,"2,129,684,726.21","2,106,883,221.43",,,
