科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"933,133,969.65","1,044,013,484.13","978,449,559.40","420,166,771.30",,"927,767,848.26","220,268,888.10","544,845,560.10","862,364,785.40","1,261,579,991.55","396,322,273.24"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"2,788,336.52","2,802,919.87","3,141,253.59","1,175,418.01",,"5,122,913.81",,,"4,506,400.00","6,267,920.00","1,745,999.99"
支付其他与投资活动有关的现金,,,,,,,"238,000,000.00",,,,
收到其他与经营活动有关的现金,"865,161.39","760,372.75","1,888,189.66","2,413,445.72",,"3,272,615.27","5,020,940.00","5,613,510.15","7,247,247.69","8,144,934.72","51,200.00"
投资活动现金流出小计,"3,195,450.10","15,664,522.16","60,374,046.42","29,024,049.23",,"70,212,637.88","257,559,936.28","359,858,627.36","602,996,887.33","900,340,756.25","154,251,242.92"
经营活动现金流入小计,"936,787,467.56","1,047,576,776.75","983,479,002.65","423,755,635.03",,"936,163,377.34","225,289,828.10","550,459,070.25","874,118,433.09","1,275,992,846.27","398,119,473.23"
投资活动产生的现金流量净额,"-3,064,015.78","-15,466,418.90","-60,245,897.03","-28,764,944.30","-48,156,100.00","-69,747,149.59","-257,160,614.82","-249,847,670.67","-310,068,779.93","-344,414,842.77","98,060,436.21"
购买商品、接受劳务支付的现金,"762,782,263.38","845,016,549.46","708,828,619.93","299,923,322.70",,"698,661,467.20","205,537,585.37","470,744,796.76","761,536,861.39","1,169,270,370.25","376,602,789.84"
吸收投资收到的现金,,,,,,"442,847,800.00",,,,,
支付给职工以及为职工支付的现金,"32,545,575.62","38,074,889.36","46,236,005.98","28,902,774.50",,"46,993,800.28","17,862,271.82","28,398,994.51","38,431,149.21","48,871,780.82","20,521,179.02"
取得借款收到的现金,"65,000,000.00","75,000,000.00","7,333,840.00","1,067,955.05",,"1,167,955.05",,,,,"20,000,000.00"
支付的各项税费,"43,773,741.14","55,238,758.93","63,102,836.73","31,033,436.26",,"56,481,194.62","4,393,417.77","14,993,306.85","39,057,298.50","57,185,596.17","20,770,658.91"
收到其他与筹资活动有关的现金,,,,,,,,,,,
支付其他与经营活动有关的现金,"24,424,818.42","30,684,578.80","27,727,795.80","14,475,627.70",,"34,487,104.53","4,950,115.01","16,567,700.60","24,086,133.84","32,538,462.17","9,300,958.07"
筹资活动现金流入小计,"65,000,000.00","75,000,000.00","7,333,840.00","1,067,955.05",,"444,015,755.05",,,,,"20,000,000.00"
