科目,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"122,499,547.00","147,618,488.00","215,211,701.00","174,538,142.00",,"187,845,253.00","824,173,412.00","302,583,961.00","316,178,599.00","300,789,990.00","299,774,959.00","216,171,624.00","234,116,792.00","358,655,821.00"
短期借款,"218,146,870.00","317,439,017.00","233,191,281.00","214,000,000.00",,"238,000,000.00","177,887,081.00","50,000,000.00","50,000,000.00",,,,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,,"14,450,000.00","6,554,878.00","13,892,081.00",,"16,402,000.00","12,541,000.00","11,191,000.00","17,320,000.00","19,841,000.00","13,165,000.00","12,604,000.00","16,785,000.00","16,564,793.00"
应付票据,"18,855,131.00","14,943,746.00","21,304,499.00","26,980,904.00",,"6,263,223.00","2,375,336.00",,,,,,,
应收账款,"257,112,316.00","249,979,375.00","259,618,957.00","262,858,414.00",,"241,730,122.00","210,012,281.00","256,979,642.00","223,271,122.00","254,299,288.00","203,676,231.00","234,428,134.00","223,166,527.00","332,364,418.00"
应付账款,"128,410,831.00","86,870,824.00","139,635,886.00","130,017,546.00",,"121,208,993.00","66,776,928.00","95,166,363.00","133,462,731.00","84,923,357.00","88,940,835.00","125,759,773.00","142,159,883.00","158,827,428.00"
预付款项,"19,448,798.00","14,933,100.00","12,854,660.00","17,932,829.00",,"17,813,961.00","14,813,368.00","19,548,203.00","14,282,898.00","18,402,645.00","16,294,303.00","23,344,441.00","21,031,334.00","26,270,140.00"
预收款项,"8,049,306.00","11,674,899.00","13,043,886.00","15,758,190.00",,"13,263,490.00","20,365,822.00","15,133,360.00","11,962,861.00","14,375,992.00","10,647,025.00","14,034,095.00","11,772,299.00","19,491,349.00"
其他应收款,"20,053,835.00","19,532,357.00","16,355,026.00","21,610,331.00",,"15,170,017.00","18,445,077.00","21,463,890.00","21,980,614.00","18,488,386.00","29,452,661.00","23,823,196.00","20,328,100.00","47,474,601.00"
应付职工薪酬,"45,479,761.00","53,361,906.00","60,372,708.00","52,294,092.00",,"58,419,667.00","43,474,585.00","50,697,953.00","56,343,046.00","66,547,223.00","42,380,925.00","67,647,304.00","76,568,098.00","94,214,711.00"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"11,650,640.00","36,158,775.00","38,131,158.00","24,931,799.00",,"23,743,404.00","20,120,327.00","25,976,927.00","24,980,135.00","33,213,073.00","30,469,156.00","39,952,678.00","35,393,763.00","29,642,388.00"
应收利息,,,,,,,,,,,"56,990.00","187,810.00","2,375,461.00","564,906.00"
应付利息,"765,355.00","1,100,103.00","690,404.00","979,512.00",,"519,332.00","343,362.00","56,184.00","56,184.00",,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,"875,000.00",,,,"875,000.00",,,,,,,"225,030.00"
存货,"450,498,269.00","474,889,913.00","472,190,995.00","437,914,019.00",,"469,075,884.00","429,608,402.00","410,903,217.00","448,828,808.00","399,144,772.00","379,644,826.00","380,984,641.00","430,881,257.00","417,800,110.00"
其他应付款,"26,649,671.00","72,166,224.00","53,448,070.00","33,317,517.00",,"38,802,815.00","35,229,607.00","25,694,288.00","27,916,843.00","53,634,027.00","31,125,310.00","31,425,425.00","64,482,746.00","442,056,862.00"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,
一年内到期的非流动负债,"5,760,000.00","5,760,000.00","9,758,000.00","8,158,000.00",,"8,158,000.00","8,158,000.00",,,,,,,
其他流动资产,"22,088,957.00","71,079,641.00","60,579,057.00","75,763,739.00",,"61,884,218.00","21,792,089.00","373,105,615.00","381,880,605.00","313,747,265.00","314,761,104.00","367,966,975.00","378,053,663.00","373,023,587.00"
其他流动负债,,,"2,904,747.00","6,488,571.00",,"10,561,106.00","9,689,539.00","14,423,199.00","15,887,663.00","15,732,202.00","15,688,790.00","16,405,183.00","15,695,768.00","21,600,029.00"
流动资产合计,"891,701,722.00","992,482,874.00","1,043,365,274.00","1,004,509,555.00","1,027,773,500.00","1,009,921,455.00","1,531,385,629.00","1,395,775,528.00","1,423,742,646.00","1,324,713,346.00","1,256,826,074.00","1,259,510,821.00","1,326,738,134.00","1,572,718,376.00"
流动负债合计,"463,767,565.00","599,475,494.00","573,355,639.00","512,926,131.00","546,662,500.00","518,940,030.00","385,295,587.00","277,148,274.00","320,609,463.00","268,425,874.00","219,252,041.00","295,224,458.00","346,072,557.00","766,057,797.00"
可供出售金融资产,,,,,,"6,500,000.00","6,500,000.00","6,500,000.00","6,500,000.00","6,500,000.00","6,500,000.00","6,500,000.00","6,500,000.00","8,900,000.00"
长期借款,"17,440,000.00","11,680,000.00","23,912,833.00","19,833,833.00",,"15,754,833.00","14,555,333.00",,,,,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,"17,069,650.00","17,154,050.00","17,154,050.00"
长期应付款,,,,,,,,,,,,,,"34,083,944.00"
长期股权投资,,,,,,,,,,,,"21,678,399.00","21,114,454.00","17,644,054.00"
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,"4,419,532.00","4,386,219.00","6,496,872.00","6,430,302.00","9,287,889.00","25,152,057.00","24,934,326.00"
预计负债,,,,,,,,,,,,,,
固定资产,"158,846,429.00","154,598,633.00","253,734,153.00","250,255,994.00",,"245,949,379.00","241,941,073.00","243,867,322.00","239,690,668.00","240,964,841.00","304,773,976.00","302,121,502.00","293,639,572.00","290,207,424.00"
递延所得税负债,,,,,,,,,,,,,,
在建工程,"6,521,628.00","69,351,699.00","3,617,922.00","9,663,235.00",,"7,009,684.00","10,151,944.00","12,059,073.00","27,760,796.00","23,842,590.00","107,226,887.00","112,069,282.00","113,545,635.00","91,687,837.00"
其他非流动负债,"1,008,772.00","1,702,100.00","2,198,825.00","2,657,775.00",,"2,037,144.00","2,053,057.00","1,994,113.00","1,998,916.00","1,985,274.00","1,975,591.00","1,951,843.00","1,952,659.00","8,353,498.00"
工程物资,,,,,,,,,,,,,,
非流动负债合计,"18,448,772.00","13,382,100.00","26,111,658.00","22,491,608.00","20,939,900.00","17,791,977.00","16,608,390.00","1,994,113.00","1,998,916.00","1,985,274.00","1,975,591.00","1,951,843.00","1,952,659.00","42,437,442.00"
固定资产清理,,,,,,,,,,,,,,
负债合计,"482,216,337.00","612,857,594.00","599,467,297.00","535,417,739.00","567,602,400.00","536,732,007.00","401,903,977.00","279,142,387.00","322,608,379.00","270,411,148.00","221,227,632.00","297,176,301.00","348,025,216.00","808,495,239.00"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"210,000,000.00","210,000,000.00","210,000,000.00","210,000,000.00",,"210,000,000.00","280,000,000.00","280,000,000.00","280,000,000.00","280,000,000.00","280,000,000.00","392,000,000.00","395,920,000.00","431,654,167.00"
油气资产,,,,,,,,,,,,,,
资本公积,"279,301,797.00","279,301,797.00","279,301,797.00","279,301,797.00",,"279,301,797.00","842,463,597.00","842,463,597.00","842,463,597.00","842,463,597.00","842,463,597.00","730,463,597.00","755,648,422.00","1,108,224,935.00"
无形资产,"13,443,430.00","11,714,271.00","10,352,153.00","11,395,013.00",,"12,019,859.00","12,199,371.00","58,005,328.00","57,815,126.00","65,568,783.00","64,275,386.00","63,245,722.00","62,505,755.00","105,595,929.00"
盈余公积,"11,411,531.00","20,485,264.00","30,886,726.00","30,886,726.00",,"33,065,384.00","33,065,384.00","33,065,384.00","33,065,384.00","35,433,343.00","35,433,343.00","35,433,343.00","35,433,343.00","69,642,766.00"
开发支出,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,"28,504,700.00","28,504,700.00"
商誉,,,,,,,,,,,,,,"622,095,546.00"
未分配利润,"106,689,707.00","171,670,332.00","256,181,183.00","281,110,068.00",,"326,782,065.00","338,310,921.00","314,113,841.00","340,217,337.00","371,692,925.00","404,950,124.00","374,347,819.00","413,189,380.00","427,421,927.00"
长期待摊费用,"8,342,928.00","7,173,995.00","5,833,288.00","4,976,407.00",,"24,846,325.00","21,069,473.00","17,852,602.00","16,162,255.00","22,324,955.00","20,412,193.00","22,148,547.00","28,134,728.00","39,775,039.00"
