科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"1,592,363,881.81","1,571,708,691.04","1,659,076,278.49","814,373,906.66","3,379,336,487.87","675,612,301.33","1,618,066,753.53","2,626,937,572.88","3,868,182,951.17","922,848,375.66","1,758,140,338.77","2,978,289,772.13","4,689,017,122.40","1,389,554,198.72","3,411,314,720.92","5,756,076,130.97","7,085,425,494.59","1,234,112,512.61","3,412,683,277.45","5,748,659,821.06","8,549,597,156.92","2,060,508,465.69","4,149,438,711.59","7,182,389,764.64","9,959,976,314.56","2,445,179,172.30","7,030,932,095.52","10,652,609,349.80","14,119,230,537.30","2,654,249,266.21","4,625,537,847.51","6,748,819,176.83"
取得子公司及其他营业单位支付的现金净额,,"73,757,447.89",,,"592,262,505.44","46,390,061.09",,"-14,546,796.94",,,,,"266,365.60",,"5,926,389.27","25,926,389.27","25,926,389.27",,,,"1,892,780.60",,,,,,,,,,,
收到的税费返还,,,"46,997,039.66",,"5,286,578.56","3,748,775.08","1,482,841.38","5,365,270.28","2,085,260.14",,"855,400.00","855,400.00","1,608,299.13","297,907.03",,,"691,050.00",,"2,273,625.53","6,491,721.80","4,066,556.76",,"6,691.18","42,539.11","486,172.24","2,155,613.50","2,155,613.50","9,566,854.83","2,155,613.50",,,"358,574.26"
支付其他与投资活动有关的现金,,"97,098,601.48",,,,"14,255,207.00",,"621,237,689.47","22,155,657.08",,"266,365.60",,"12,854,111.34","31,260,694.55","27,142,147.88","29,977,765.00","135,163,645.00","13,592,134.00","8,118,578.00","8,979,238.98","198,940,587.22","3,698,818.98","78,555,510.93","84,977,074.82","695,907,516.74","218,551,986.57","247,406,212.29","266,025,341.18","547,900,934.30","369,263,938.40","510,219,214.95","465,190,945.49"
收到其他与经营活动有关的现金,"95,609,384.77","11,914,505.82","74,847,072.49","4,221,526.62","159,664,842.52","4,434,985.31","28,732,945.52","43,928,585.32","92,132,080.40","32,207,144.48","30,601,479.65","96,838,300.38","242,837,460.53","59,810,755.90","45,140,649.08","234,923,109.96","292,617,183.59","8,833,106.74","21,911,831.81","20,979,847.10","466,280,744.85","5,485,798.54","212,679,333.97","222,670,286.06","516,196,340.95","5,564,817.86","169,964,546.31","187,831,964.52","467,639,114.98","564,746,196.47","116,086,884.95","146,601,320.28"
投资活动现金流出小计,"1,605,663,876.86","1,834,564,135.46","1,274,067,771.10","999,125,552.17","2,794,723,932.46","610,314,328.87","1,983,650,288.02","2,563,570,497.66","6,144,543,968.65","159,507,227.09","765,187,044.41","945,268,849.02","1,954,956,169.72","394,126,070.24","1,003,760,764.77","1,273,455,204.94","2,858,010,777.51","456,204,757.62","1,250,158,383.18","1,420,941,739.23","2,370,554,533.66","644,733,464.29","1,523,946,317.72","1,936,612,308.57","3,541,690,605.73","595,208,201.66","1,124,649,899.06","2,409,109,416.49","3,494,463,994.48","1,139,615,047.35","3,378,585,854.39","3,735,839,314.10"
经营活动现金流入小计,"1,687,973,266.58","1,583,623,196.86","1,780,920,390.64","818,595,433.28","3,544,287,908.95","683,796,061.72","1,648,282,540.43","2,676,231,428.48","3,962,400,291.71","955,055,520.14","1,789,597,218.42","3,075,983,472.51","4,933,462,882.06","1,449,662,861.65","3,456,455,370.00","5,990,999,240.93","7,378,733,728.18","1,242,945,619.35","3,436,868,734.79","5,776,131,389.96","9,019,944,458.53","2,065,994,264.23","4,362,124,736.74","7,405,102,589.81","10,476,658,827.75","2,452,899,603.66","7,203,052,255.33","10,850,008,169.15","14,589,025,265.78","3,218,995,462.68","4,741,624,732.46","6,895,779,071.37"
投资活动产生的现金流量净额,"-1,259,586,562.78","36,173,275.51","-929,772,247.07","-844,671,082.71","-2,443,149,862.91","-557,749,328.63","-1,840,620,336.93","-2,403,790,296.07","-4,153,184,900.74","584,526,166.44","38,592,355.40","-89,258,624.67","-428,881,092.16","217,888,766.12","-172,020,464.90","-94,103,916.05","-416,901,398.54","-297,349,848.35","513,940,265.18","503,842,589.82","-72,936,600.95","-8,995,436.63","-625,638,040.55","-898,933,467.55","-1,686,795,542.39","-227,927,247.89","-430,899,093.80","-759,029,684.78","-406,713,504.02","-392,635,292.64","-1,401,020,558.62","-727,376,923.10"
购买商品、接受劳务支付的现金,"323,693,083.74","473,502,593.66","460,807,076.97","183,105,074.61","929,953,749.66","230,562,032.93","535,863,858.20","1,065,614,699.76","1,289,761,458.50","474,566,874.26","689,209,119.24","1,295,845,496.27","2,049,433,998.41","1,054,996,343.63","1,955,117,510.41","3,287,536,141.02","3,827,166,121.02","780,643,080.49","2,208,528,318.72","3,859,392,938.71","6,091,651,979.89","1,458,096,892.68","2,768,299,652.02","4,485,203,937.72","6,450,689,722.44","1,751,740,670.07","5,367,605,033.68","8,044,769,342.68","10,478,914,175.57","1,963,124,846.72","2,937,991,935.12","4,347,640,646.46"
吸收投资收到的现金,"19,392,179.28","1,400,000.00","3,750,000.00",,"2,799,116,000.00",,,,"8,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00",,"202,450,000.00","202,450,000.00","204,900,000.00",,"9,800,000.00","44,850,885.22","64,271,029.57","31,000,000.00","32,600,875.00","67,848,107.00","58,296,800.31","3,597,090,783.11","3,606,890,783.11","3,626,890,783.11","3,606,890,783.11",,"5,000,000.00","5,000,000.00"
