科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"585,221,070.18","709,346,985.31","662,266,315.60","174,882,625.24","475,806,687.27","668,681,027.11","981,347,718.28","227,865,517.41","510,819,226.29","722,265,400.76","1,084,302,484.14","152,047,069.08","400,885,491.44","593,906,107.57","1,060,847,375.36","165,823,978.99","523,757,570.03","823,006,932.28","1,230,127,205.32","233,373,804.55","644,590,132.03","954,305,461.66","1,395,813,416.51","256,118,985.61","506,860,390.58","758,350,119.92","992,899,822.01","145,400,533.72","371,808,829.02","637,302,565.37","909,848,672.45","205,212,683.45","533,200,914.59","1,100,149,230.44"
取得子公司及其他营业单位支付的现金净额,"3,090,187.00",,,,,,,"800,000.00","800,000.00","800,000.00",,,,,"38,701,610.46",,,,,,,,,,,,,,,"16,551,163.28","16,571,780.53",,,
收到的税费返还,"853,735.77","1,655,851.22","1,943,694.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"10,605,881.15","1,570,332.25","1,923,719.83","2,146,897.89","951,929.95","4,353,426.46","13,363,727.29","237,183.21","7,867,009.31","13,242,894.41","14,654,191.68","4,410,983.29","12,145,410.76","22,369,539.16","26,641,098.02","13,398,684.30","8,094,427.74","19,914,532.43","33,683,970.94","18,221,824.59","11,086,102.75","19,341,179.14","29,666,300.53","3,120,673.01","11,090,646.28","8,141,492.35","20,153,208.93","25,280,853.05","25,475,129.06","46,480,829.68","37,010,547.27","16,306,290.18","24,761,646.42","40,919,759.11"
投资活动现金流出小计,"89,921,042.69","83,588,983.67","66,624,742.70","52,289,842.18","106,876,548.53","205,802,653.40","273,387,225.39","90,848,253.11","149,380,168.42","187,495,170.04","169,287,194.24","30,304,243.14","39,251,682.47","66,812,057.83","141,107,937.75","277,996,908.56","292,525,760.15","699,218,023.59","894,798,965.47","112,115,735.73","353,772,957.07","491,336,115.45","645,352,501.99","152,214,163.03","255,992,288.50","275,080,475.99","850,884,186.91","269,090,871.41","474,092,624.09","515,630,006.86","781,316,498.11","34,052,310.61","56,667,347.48","105,257,360.14"
经营活动现金流入小计,"596,680,687.10","712,573,168.78","666,133,729.60","177,029,523.13","476,758,617.22","673,034,453.57","994,711,445.57","228,102,700.62","518,686,235.60","735,508,295.17","1,098,956,675.82","156,458,052.37","413,030,902.20","616,275,646.73","1,087,488,473.38","179,222,663.29","531,851,997.77","842,921,464.71","1,263,811,176.26","251,595,629.14","655,676,234.78","973,646,640.80","1,425,479,717.04","259,239,658.62","517,951,036.86","766,491,612.27","1,013,053,030.94","170,681,386.77","397,283,958.08","683,783,395.05","946,859,219.72","221,518,973.63","557,962,561.01","1,141,068,989.55"
投资活动产生的现金流量净额,"-83,096,625.19","-83,316,662.18","-61,892,434.38","-49,563,842.18","-101,083,934.89","-200,010,039.76","-271,751,481.40","-90,848,253.11","-143,062,149.84","-179,243,706.83","-167,155,511.68","-30,304,243.14","-39,251,682.47","-66,812,057.83","-141,107,937.75","-277,996,908.56","-292,446,260.15","-427,984,605.78","-466,661,706.55","86,827,004.00","4,443,036.08","-40,674,645.04","-18,685,485.41","138,438,343.56","35,499,771.51","18,250,330.60","-29,092,538.41","-42,519,040.93","-30,978,749.16","144,176,993.07","-120,527,996.20","-33,915,310.61","161,650,985.85","114,204,405.49"
购买商品、接受劳务支付的现金,"394,806,690.44","496,447,327.47","451,773,103.49","120,070,704.31","329,098,919.07","495,809,153.82","738,014,352.93","141,939,701.78","348,220,411.75","522,713,250.11","872,994,781.23","83,990,772.95","247,908,080.51","369,163,651.92","680,093,786.34","100,154,480.15","377,824,114.57","624,081,340.62","952,333,922.51","182,625,423.41","414,444,119.20","653,633,253.33","933,449,046.65","193,491,893.59","314,686,595.11","499,512,024.84","610,198,401.87","101,238,923.88","236,792,194.70","421,657,211.58","521,961,604.06","129,817,006.72","316,345,105.44","769,038,092.33"
吸收投资收到的现金,"63,525,000.00",,,,"1,214,899,610.21","1,214,899,610.21","1,223,316,650.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
