科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"2,272,464,688.41","1,487,530,829.74","2,310,118,661.70","2,963,909,058.67","643,683,592.16","1,164,265,280.53","1,678,815,634.36","2,350,694,072.65","1,038,479,170.77","1,666,228,867.64","2,341,227,152.64","3,276,509,353.72","831,613,011.05","1,874,826,161.02","2,969,469,699.31","4,122,272,968.29","957,444,275.73","2,015,618,516.28","2,998,758,542.10","3,981,070,714.46","900,618,109.28","1,820,345,125.22","3,001,986,724.32","4,242,955,010.19","1,060,372,084.45","2,229,161,398.48","3,314,021,481.45","4,239,581,164.03","909,142,609.22","2,135,053,371.86","3,305,613,689.40","4,035,301,986.01","870,290,932.85","1,970,922,791.60","2,801,130,052.25","4,019,396,252.34","1,351,639,951.62","2,667,234,438.95","3,781,562,329.46"
二、营业利润,"186,600,607.52","249,901,019.92","305,262,535.65","244,415,880.45","-840,342.16","-46,008,504.61","-103,922,179.45","-148,435,823.40","10,514,006.53","-37,835,039.89","-65,432,322.88","-19,129,662.48","10,886,208.07","35,662,087.96","74,964,822.90","94,271,588.68","7,256,886.20","8,931,501.52","-27,470,613.42","-112,346,749.73","-22,252,086.20","-67,604,787.17","-94,001,795.00","-83,838,599.36","-16,482,335.59","-57,928,054.21","-109,058,553.40","-197,109,129.87","-47,476,889.20","3,309,398.18","22,090,216.05","26,990,253.92","3,959,896.60","13,778,262.66","13,076,283.66","38,068,289.00","66,663,581.82","36,852,994.04","18,847,082.40"
减:营业成本,"1,857,729,597.22","1,095,557,912.85","1,796,672,015.56","2,451,630,043.69","581,505,965.68","1,095,874,334.50","1,616,160,244.68","2,282,959,539.55","970,156,890.51","1,590,627,868.14","2,250,336,609.54","3,069,545,285.92","755,806,781.57","1,701,076,632.76","2,678,890,702.79","3,736,315,554.31","888,033,031.48","1,867,937,671.80","2,804,379,327.88","3,787,854,773.56","838,813,833.08","1,730,452,911.05","2,859,625,101.30","3,984,055,580.32","983,446,799.99","2,082,959,697.13","3,103,679,175.11","3,997,881,837.19","838,171,643.84","1,904,528,177.59","2,929,354,290.49","3,627,927,164.05","761,010,831.74","1,764,065,200.86","2,613,870,327.76","3,764,777,259.73","1,173,298,243.13","2,394,331,409.40","3,434,964,101.83"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,760,845.89","3,071,184.75","3,469,528.00","3,549,996.39","35,098.14","72,100.79","85,914.77","230,834.87","10,710.09","27,170.24","188,071.71","84,650.92","21,713.67","56,022.68","462,591.31","2,368,013.42","1,382,624.36","3,028,171.54","4,736,881.76","5,367,001.38","825,764.13","1,350,453.87","2,345,258.31","3,719,268.56","1,535,856.69","2,547,541.05","2,704,901.13","2,927,422.27","108,077.66","139,399.73","176,816.21","270,415.42","697,489.87","1,646,114.57","2,231,001.12","16,682,695.23","6,580,289.96","12,317,230.69","16,607,396.78"
营业外收入,"354,001.84","395,822.00","6,482,360.00","8,568,100.01","15,024,800.00","15,166,346.64","15,522,531.74","19,379,216.74","1,803,488.30","2,314,048.30","3,709,431.50","35,191,247.48","330,200.00","2,270,288.69","9,404,313.71","12,092,061.59","763,570.00","2,478,771.81","6,259,821.80","7,780,610.86","1,562,355.92","5,078,297.93","10,201,941.03","100,007,343.99","4,017,218.57","38,468,437.40","42,176,185.92","41,879,484.09","1,585,934.76","4,993,398.96","6,851,596.35","13,609,951.87","2,700,445.08","3,820,598.76","10,190,164.86","14,986,193.26","2,380,615.47","5,486,757.74","10,017,345.97"
销售费用,"69,695,805.29","43,270,098.45","59,918,939.57","74,989,900.66","22,639,085.17","38,026,121.25","53,454,643.37","69,549,742.96","18,568,054.19","36,159,387.33","47,611,511.92","67,510,674.59","20,695,687.16","45,422,223.72","69,324,969.91","90,412,368.83","24,895,628.82","47,201,063.27","71,080,754.86","93,113,567.37","21,567,376.17","42,107,040.56","65,319,229.03","91,891,086.21","27,604,011.65","62,999,079.00","99,182,723.47","122,616,604.67","41,957,798.76","90,287,243.83","131,458,066.68","158,517,555.34","40,143,897.06","82,987,243.89","118,743,508.47","147,868,894.78","49,802,330.12","104,539,983.87","138,391,432.68"
减:营业外支出,"2,894,766.30","584,816.82","1,026,276.82","2,929,619.86","213,704.00","167,532.39","206,729.77","658,940.75","250,445.29","409,841.75","760,094.34","3,430,455.46","63,640.45","1,392,526.73","7,224,686.07","7,002,534.37","17,977.20","29,602.63","317,865.93","7,273,865.62","1,048,481.48","2,793,156.56","3,443,225.43","4,416,580.69","534,429.23","1,358,922.04","3,053,061.44","6,269,385.46","2,100,364.51","2,736,344.63","2,776,203.29","2,782,867.78","1,375,479.30","1,235,031.21","1,415,772.76","9,775,357.04","992,354.18","1,058,410.88","3,210,844.65"
管理费用,"71,543,480.58","48,143,889.04","71,982,722.66","97,391,604.35","22,527,569.17","44,216,237.42","65,170,527.89","88,588,058.08","22,018,837.79","42,049,435.58","61,252,496.41","90,843,475.10","25,815,493.93","53,085,657.89","87,621,501.18","117,909,197.88","28,608,543.98","56,444,543.46","85,183,497.74","115,463,633.53","28,223,129.78","59,080,189.06","87,465,729.64","124,752,359.47","32,158,475.17","70,262,139.76","111,218,933.11","155,721,951.68","38,445,704.43","81,971,579.14","123,088,389.66","167,783,200.52","38,461,418.29","80,120,837.05","121,313,903.80","149,379,901.62","38,510,449.66","80,225,427.98","115,906,922.49"
其中:非流动资产处置净损失,,,,"604,566.06",,,,"9,101.96",,,,"33,619.93",,,,"4,395,460.15","15,500.53","17,040.21","17,040.21","4,508,714.63","58,481.48","233,823.76","233,823.76","233,823.76",,"188,566.80","188,566.80","1,829,372.89","487,392.40","536,326.24","549,778.21","549,778.24",,"5,343.89","5,343.89","8,344,447.18",,,"1,905,773.91"
