科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"344,631,742.83","367,958,343.35","536,253,185.09","288,850,554.00","449,790,869.87","577,944,959.02","175,775,017.48","332,877,119.21","498,770,477.27","675,975,970.22","159,905,648.94","313,439,235.24","479,521,703.07","670,158,447.13","193,096,099.73","402,551,919.16","592,254,122.41","838,250,286.73","253,433,743.13","545,687,988.87","831,954,168.03","1,203,809,133.75","379,479,946.70","805,747,302.89","1,198,143,747.73","1,662,750,797.11","420,406,310.93","905,187,805.11","1,371,087,509.68"
二、营业利润,"34,226,282.56","62,678,454.69","159,819,994.98","93,721,544.98","144,353,204.40","157,328,328.13","44,097,191.68","72,076,899.40","96,155,977.11","111,560,407.66","20,500,520.36","41,668,697.74","71,212,874.54","110,000,766.00","51,640,323.45","117,133,957.54","168,529,180.51","223,222,382.82","49,974,809.34","105,722,425.56","140,063,436.17","124,924,961.17","67,063,114.37","168,246,957.15","255,086,218.77","349,826,987.65","75,932,927.63","183,931,466.38","290,111,244.25"
减:营业成本,"225,203,030.67","223,892,874.33","277,435,528.93","151,604,078.40","235,005,971.79","312,987,804.17","107,551,285.12","205,125,335.74","317,316,185.55","435,546,255.12","112,594,824.36","212,234,861.06","320,129,565.44","433,196,856.05","113,118,877.71","229,395,321.60","337,185,971.01","482,574,702.69","151,081,171.95","326,715,347.51","512,018,617.88","755,657,878.23","239,528,061.37","488,696,007.34","722,771,702.02","980,331,348.74","254,787,100.44","540,378,959.96","805,215,827.92"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,640,422.87","1,493,629.11","5,832,608.37","2,895,717.11","4,138,449.72","4,901,969.84","778,443.21","2,402,942.78","3,912,941.10","5,252,627.43","1,019,568.32","2,698,351.88","3,892,939.25","5,510,039.31","951,571.53","2,039,291.76","2,943,039.09","5,118,982.30","2,288,316.59","3,768,922.58","5,300,327.79","7,083,924.89","3,652,552.26","5,625,379.23","7,920,908.73","15,372,317.79","3,496,237.72","7,029,500.20","10,947,904.71"
营业外收入,"945,391.68","606,471.03","9,653,446.87","997,763.46","2,065,763.46","3,340,471.23","1,507,689.94","3,459,916.60","3,835,249.93","8,771,304.97","87,582.49","2,196,319.78","7,241,470.56","10,689,270.80","242,650.00","3,242,575.08","5,277,218.72","10,139,594.79","982,599.06","3,055,029.97","7,051,419.66","9,930,822.19","632,993.32","3,175,069.85","4,704,345.34","17,127,603.91","3,727,254.10","7,199,262.55","8,743,273.47"
销售费用,"8,718,742.10","6,547,493.13","11,057,426.05","5,283,485.41","8,461,984.30","11,834,470.27","2,606,802.45","5,449,031.53","8,269,868.83","12,232,332.31","2,018,059.39","5,579,096.91","7,958,187.01","11,605,463.40","3,160,031.03","6,151,416.49","9,782,030.14","14,223,329.24","12,013,195.67","23,110,788.11","36,233,125.66","57,003,782.48","19,483,761.25","43,372,429.71","63,589,376.30","98,166,029.59","26,908,111.30","53,898,882.28","81,854,041.44"
减:营业外支出,"505,022.16","3,960,932.27","4,378,564.30","931,682.45","1,061,610.78","2,392,672.08","871,621.61","1,657,419.80","1,724,972.60","2,466,666.64","54,569.56","849,714.82","1,478,235.29","2,101,735.31","33,227.09","890,690.14","989,124.64","2,748,352.09","548,074.60","678,102.24","882,479.66","3,715,904.87","749,057.01","596,423.79","637,890.89","3,842,339.66","707,105.48","1,492,587.32","2,896,529.33"
管理费用,"49,568,473.97","57,329,626.07","68,043,203.05","29,600,625.22","48,567,907.36","83,253,318.27","22,894,506.93","54,159,354.74","82,821,169.51","114,810,566.74","25,693,621.46","51,573,904.39","77,676,980.36","112,585,708.03","28,860,466.61","58,298,526.56","88,689,214.66","131,589,291.25","39,220,974.30","83,892,786.01","127,884,729.01","238,253,468.47","48,980,253.78","100,513,072.07","146,881,608.12","214,608,966.21","54,967,038.37","112,359,148.43","172,432,023.21"
其中:非流动资产处置净损失,"65,584.46","3,821,743.33","1,113,417.80","84,778.54","146,936.08","205,057.30",,"282,385.58","195,996.91","329,072.57","15,719.85","304,558.98",,"872,314.85","8,650.96","99,552.94","160,194.60","1,816,817.72","47,473.92","175,621.82","263,249.69","890,129.12","34,263.50","344,276.75",,"2,280,711.37","127,875.71","223,872.71","891,652.00"
