科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"437,551,497.18","564,280,803.75","594,405,227.13","240,081,151.47","415,121,820.56","650,946,151.48","125,932,681.45","288,308,907.72","425,924,012.11","639,770,909.60","108,218,340.57","280,115,415.33","465,426,496.47","623,317,086.61","115,637,737.48","271,932,946.86","424,694,414.50","591,603,897.66","69,940,611.96","181,832,545.69","411,613,817.60","608,868,355.29","169,097,934.78","375,087,106.87","528,521,569.18","752,828,611.22","204,690,460.10","372,452,007.72","558,183,519.37","832,787,070.66"
二、营业利润,"36,224,278.91","79,727,769.39","51,668,427.05","18,531,920.34","36,487,113.40","43,662,470.53","-10,512,595.92","-7,867,829.15","4,100,510.92","33,802,866.33","-7,441,395.67","233,937.89","12,631,203.89","20,647,946.93","4,069,626.56","2,089,885.90","8,804,236.72","14,659,054.47","-16,250,212.31","-24,110,247.35","9,118,538.73","28,887,862.47","23,862,087.26","49,295,449.43","71,801,836.10","93,814,441.35","30,987,851.62","44,194,153.56","65,055,026.96","63,210,464.93"
减:营业成本,"285,531,439.86","333,947,738.18","383,210,344.94","154,223,863.27","270,493,588.88","442,870,096.17","97,560,635.09","215,330,098.61","299,911,462.79","436,988,935.74","73,035,456.71","193,798,376.21","311,016,461.51","417,018,428.85","78,156,238.47","186,625,924.46","291,265,141.69","402,639,152.96","52,098,216.78","133,795,605.73","281,860,818.95","409,006,414.17","102,960,706.69","238,804,638.05","324,129,133.90","470,371,882.47","130,381,890.11","231,866,347.64","348,662,762.95","544,660,479.41"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,884,832.12","4,848,020.31","4,285,133.53","2,525,762.95","3,749,105.50","5,929,821.62","411,349.64","1,452,570.08","2,438,346.86","4,401,384.87","1,118,440.82","2,602,450.11","4,951,113.86","6,171,603.68","1,536,902.75","3,288,075.36","4,895,860.96","6,033,303.20","515,693.33","1,295,946.74","3,985,701.39","6,761,390.79","1,732,430.33","3,469,658.89","5,333,495.98","11,457,851.57","3,887,786.86","6,171,568.92","10,722,643.67","25,968,752.80"
营业外收入,"1,984,876.53","169,109,008.92","33,291,003.50","7,041,371.14","11,953,660.28","19,988,338.95","2,391,128.40","7,604,321.73","9,947,420.58","11,208,859.34","3,968,723.15","5,971,592.30","10,592,706.22","13,578,383.25","2,394,845.36","4,739,388.67","7,675,974.44","13,150,527.18","2,321,074.70","6,904,861.97","7,956,385.81","11,464,760.37","2,154,041.44","4,226,436.42","6,914,795.68","11,274,040.12","2,750,594.39","534,978.74","750,174.83","8,024,792.55"
销售费用,"30,755,559.36","40,397,049.03","41,228,732.11","16,377,648.58","28,378,532.49","46,297,103.46","10,722,023.63","22,252,046.07","34,868,255.60","48,227,467.97","10,106,349.21","23,006,248.62","43,814,045.40","53,050,076.94","7,759,426.01","20,113,729.22","34,134,898.65","45,747,412.47","9,172,057.11","17,769,409.01","32,229,574.04","47,536,405.03","8,082,994.74","19,679,115.75","31,854,086.19","44,814,895.02","9,169,269.22","19,762,463.19","33,672,051.94","46,281,597.34"
减:营业外支出,"1,042,057.62","123,893,225.85","1,077,936.21","860,394.38","960,394.38","1,435,737.82","22,858.00","884,463.32","969,159.44","1,741,511.12","133,099.26","204,876.59","343,293.50","632,758.02","323,865.00","377,077.00","440,147.19","86,132.41","14,000.00","46,321.59","190,455.73","54,369.99",,,"8,034.53","52,863.01",874.56,"11,398.59","18,340.61","153,083.08"
管理费用,"62,965,156.22","90,719,961.06","91,930,762.54","42,488,555.81","66,070,542.55","91,498,638.11","26,433,632.46","50,137,601.22","74,485,786.70","100,548,256.17","25,012,144.00","49,358,939.47","75,525,324.31","100,951,715.63","22,930,369.04","49,838,661.09","72,209,087.04","97,948,293.19","23,826,634.59","45,552,367.80","69,469,027.70","97,728,775.69","26,265,553.78","51,739,442.18","79,548,663.50","110,724,935.31","23,285,710.28","55,498,562.41","80,803,744.09","110,734,929.57"
其中:非流动资产处置净损失,,,"10,567.12","6,789.90","6,789.90","60,298.69",,"9,890.04","9,890.04","82,777.32",,"10,347.26","15,348.80","31,063.21",,,,"19,115.36",,"9,445.87","11,780.01","20,692.27",,,"8,034.53","34,902.09",,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"13,478,399.50","13,491,673.14","14,251,500.21","6,298,416.86","9,891,506.94","17,088,114.82","2,952,152.48","6,439,963.91","7,754,574.11","10,429,470.88","5,561,695.09","9,759,987.50","15,781,933.52","20,747,829.56","3,568,375.84","7,054,254.00","11,478,978.19","16,126,460.85","3,340,865.15","8,090,699.19","8,706,778.12","10,435,457.93","3,426,785.00","4,708,142.36","6,649,176.96","5,913,431.06","3,177,457.57","6,835,424.37","11,339,057.18","15,849,860.88"
