科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"117,454,856.30","105,911,198.36","177,533,202.58","102,891,408.62","1,105,240,362.33","259,146,140.10","200,755,516.13","66,593,733.90","79,668,104.17","90,916,623.84","153,856,412.48","107,431,652.78","221,071,533.76","293,587,729.11"
短期借款,"106,055,540.79","130,702,116.95","163,672,004.29","221,650,460.50","205,194,096.92","108,084,596.01","66,241,098.47","38,973,643.51","152,543,055.00","184,859,381.44","129,743,947.86","113,831,602.18","353,851,908.60","549,859,632.99"
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,"400,000.00","600,000.00","500,000.00",,,,,"200,000.00","500,000.00",,"1,200,000.00","2,930,000.00","1,200,000.00","2,536,837.09"
应付票据,,,,,,,,,,,,,,
应收账款,"149,639,873.40","231,936,515.52","387,850,834.74","418,765,635.40","534,990,845.03","531,669,835.27","579,055,564.26","605,765,072.17","684,786,242.85","748,308,565.28","790,036,391.64","847,772,507.90","937,793,838.24","1,033,305,470.61"
应付账款,"18,740,730.72","41,579,945.93","35,401,537.71","17,315,638.52","26,495,274.08","58,071,076.45","65,406,242.96","40,560,263.49","46,517,035.03","52,346,896.68","81,334,051.66","71,673,852.20","93,468,374.43","130,841,265.58"
预付款项,"21,694,755.93","24,304,796.99","41,865,817.88","36,188,012.46","31,597,666.08","57,808,226.34","61,546,992.67","77,141,385.44","87,029,320.02","98,737,826.86","81,670,089.33","115,376,046.65","148,952,755.21","142,428,595.64"
预收款项,"25,785,255.42","10,746,339.63","11,631,499.85","8,681,312.46","4,142,753.60","6,804,772.97","4,705,539.76","16,528,114.89","21,080,990.95","16,572,234.87","21,207,670.96","20,141,728.03","19,952,158.42","21,809,933.96"
其他应收款,"4,828,336.78","3,532,841.61","3,216,909.24","10,660,687.88","12,745,997.11","13,757,518.80","14,911,699.88","36,663,836.50","38,527,524.57","18,207,403.08","15,380,179.95","22,044,056.86","20,236,750.41","16,594,683.76"
应付职工薪酬,"15,155,119.44","21,551,747.52","31,039,525.92","14,283,768.20","11,712,192.00","13,021,434.53","38,674,223.23","17,326,337.87","17,031,699.46",,"49,343,955.17","24,151,296.98","20,422,596.21","19,756,665.64"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"16,493,647.96","17,647,308.73","30,231,474.32","24,321,920.45","32,960,383.13","13,752,257.66","28,595,404.90","10,424,665.61","19,162,631.10","17,857,030.62","20,141,040.01","17,539,758.29","40,374,899.40","32,942,479.62"
应收利息,,,,,,,,,,,,,,
应付利息,,,,,,,,,,"14,972,073.98",,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,"134,673,037.43","173,202,226.62","191,359,567.82","225,975,632.19","203,392,368.14","259,830,156.75","266,871,039.61","322,834,927.14","345,672,401.47","362,769,095.37","359,294,312.67","381,845,217.11","408,762,975.33","506,661,112.04"
其他应付款,"2,921,240.16","8,987,527.16","14,399,090.65","15,800,075.94","57,364,090.34","20,486,731.31","23,126,900.80","23,811,728.09","32,631,830.35","43,566,619.39","7,894,866.10","12,865,028.92","7,938,493.07","10,269,233.92"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,,"8,378,073.48","7,632,648.27","7,613,347.57","6,927,125.54","7,355,327.63","7,609,684.69","7,168,560.24","7,713,788.47","7,178,980.86","7,760,244.91","7,096,837.63","6,825,624.68","6,074,415.73"
一年内到期的非流动负债,,,,,,,"63,000,000.00","63,000,000.00","73,000,000.00","73,000,000.00","69,000,000.00","69,000,000.00","29,000,000.00","29,000,000.00"
其他流动资产,,,,,,"635,000,000.00","649,104,205.19","633,000,000.00","622,351,223.15","591,351,223.15","339,670,450.92","239,647,244.90","142,268,971.01","162,877,421.87"
其他流动负债,,,,,,,,,,,"12,537,681.11","11,571,682.91","11,960,407.73","10,496,864.15"
流动资产合计,"428,690,859.84","547,865,652.58","809,958,980.53","802,094,724.12","1,894,894,364.23","1,764,567,204.89","1,779,854,702.43","1,749,367,515.39","1,866,248,604.70","1,917,469,718.44","1,748,868,081.90","1,724,143,563.83","1,887,112,448.64","2,164,066,265.85"
流动负债合计,"185,151,534.49","231,214,985.92","286,375,132.74","302,053,176.07","337,868,790.07","220,220,868.93","289,749,410.12","210,624,753.46","361,967,241.89","403,174,236.98","391,203,212.87","340,774,949.51","576,968,837.86","804,976,075.86"
可供出售金融资产,,,,,,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00"
长期借款,,,"127,000,000.00","127,000,000.00","132,000,000.00","132,000,000.00","69,000,000.00","69,000,000.00","29,000,000.00","29,000,000.00",,,,
持有至到期投资,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,
长期应收款,,"11,339,739.39","9,653,444.66","8,181,495.91","9,781,701.35","12,391,251.91","10,108,271.77","10,919,028.62","10,820,539.19","11,441,031.20","14,163,043.87","10,239,405.52","11,936,031.24","12,061,783.72"
长期应付款,,,,,,,,,,,,,,
长期股权投资,"5,159,482.35","5,778,537.15","8,121,593.24","8,628,655.55","10,677,275.29","27,098,763.81","25,844,499.62","14,862,548.43",,,,,,
专项应付款,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,
固定资产,"184,476,289.97","215,098,638.11","251,552,241.34","250,877,633.48","258,197,404.23","266,754,029.88","282,500,105.47","276,511,478.79","284,880,011.28","293,189,155.49","331,834,189.95","340,877,965.16","354,393,854.99","357,568,088.07"
递延所得税负债,,,"808,061.48","1,052,832.18","1,512,765.49","1,619,723.40","2,152,308.09","2,332,159.62","2,451,917.70","2,593,250.73","11,427,881.13","11,476,307.27","11,739,733.25","11,441,039.34"
在建工程,"3,267,692.81","35,172,303.15","112,027,341.20","141,522,217.95","162,877,180.97","198,205,605.69","234,098,473.77","273,027,307.46","295,571,517.31","351,437,182.96","453,780,514.95","531,487,740.97","601,316,377.20","649,670,387.68"
其他非流动负债,"1,388,333.33","1,318,333.37",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,
非流动负债合计,"1,388,333.33","1,318,333.37","137,896,394.89","138,248,665.60","143,691,098.92","143,989,156.84","81,963,641.54","82,125,993.08","43,458,079.72","43,784,792.27","23,801,922.68","24,332,848.83","24,542,895.31","24,226,701.41"
固定资产清理,,,,,,,,,,,,,,
负债合计,"186,539,867.82","232,533,319.29","424,271,527.63","440,301,841.67","481,559,888.99","364,210,025.77","371,713,051.66","292,750,746.54","405,425,321.61","446,959,029.25","415,005,135.55","365,107,798.34","601,511,733.17","829,202,777.27"
生产性生物资产,,,,,,,,,,,,,,
实收资本(或股本),"148,500,000.00","148,500,000.00","148,500,000.00","148,500,000.00","186,000,000.00","186,000,000.00","186,000,000.00","186,000,000.00","558,000,000.00","558,000,000.00","558,000,000.00","558,000,000.00","558,000,000.00","558,000,000.00"
油气资产,,,,,,,,,,,,,,
资本公积,"10,601,657.94","10,601,657.94","10,601,657.94","10,601,657.94","970,421,657.94","970,421,657.94","970,421,657.94","970,421,657.94","600,943,357.94","600,943,357.94","584,856,405.71","584,856,405.71","563,623,246.79","554,080,570.92"
无形资产,"2,407,013.01","14,026,827.18","13,784,241.87","13,699,065.69","13,613,889.51","18,482,727.38","18,315,113.05","18,530,087.58","49,019,747.16","47,981,905.50","68,495,028.04","66,917,652.18","65,340,276.34","64,422,884.74"
盈余公积,"20,390,649.52","29,329,451.83","40,802,239.40","40,802,239.40","40,802,239.40","40,802,239.40","58,270,105.50","58,270,105.50","58,270,105.50","58,270,105.50","82,513,857.78","82,513,857.78","82,513,857.78","82,513,857.78"
开发支出,,,,,,"1,667,858.06","3,907,247.68","9,170,575.83","12,288,567.83","14,561,306.76","17,237,712.46","21,958,937.37","27,405,585.13","33,108,022.63"
减:库存股,,,,,,,,,,,,,,
商誉,,,,,,,,,,,"4,422,883.47","4,422,883.47","4,422,883.47","4,422,883.47"
未分配利润,"263,486,322.33","416,053,448.04","592,141,593.25","595,996,899.16","683,843,356.40","740,694,419.76","780,467,321.76","849,138,107.60","895,157,380.97","970,950,957.52","1,018,026,326.15","1,112,807,638.16","1,148,337,171.14","1,253,758,758.91"
长期待摊费用,,"745,011.16","1,060,417.09","1,161,658.68","1,079,209.83","1,604,486.88","2,204,096.11","2,053,458.67","3,522,386.14","5,159,136.25","5,482,329.62","5,093,508.95","6,977,169.03","9,893,536.75"
少数股东权益,,,,,,,"5,308,863.88","14,197,714.44","19,780,063.47","25,152,490.34","39,927,587.34","56,566,315.66","63,924,642.70","81,183,376.66"
递延所得税资产,"5,517,159.63","6,991,168.38","10,158,758.29","10,037,186.79","11,506,117.32","11,356,414.37","15,348,490.84","16,336,331.25","15,224,855.88","19,036,503.95","24,045,528.27","24,710,358.20","29,006,025.54","33,525,488.63"
外币报表折算价差,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,
非流动资产合计,"200,827,637.77","289,152,224.52","406,358,037.69","434,107,914.05","467,732,778.50","537,561,137.98","592,326,298.31","621,410,816.63","671,327,624.79","742,806,222.11","949,461,230.63","1,035,708,451.82","1,130,798,202.94","1,194,673,075.69"
所有者权益(或股东权益)合计,"442,978,629.79","604,484,557.81","792,045,490.59","795,900,796.50","1,881,067,253.74","1,937,918,317.10","2,000,467,949.08","2,078,027,585.48","2,132,150,907.88","2,213,316,911.30","2,283,324,176.98","2,394,744,217.31","2,416,398,918.41","2,529,536,564.27"
资产总计,"629,518,497.61","837,017,877.10","1,216,317,018.22","1,236,202,638.17","2,362,627,142.73","2,302,128,342.87","2,372,181,000.74","2,370,778,332.02","2,537,576,229.49","2,660,275,940.55","2,698,329,312.53","2,759,852,015.65","3,017,910,651.58","3,358,739,341.54"
负债和所有者(或股东权益)合计,"629,518,497.61","837,017,877.10","1,216,317,018.22","1,236,202,638.17","2,362,627,142.73","2,302,128,342.87","2,372,181,000.74","2,370,778,332.02","2,537,576,229.49","2,660,275,940.55","2,698,329,312.53","2,759,852,015.65","3,017,910,651.58","3,358,739,341.54"
