科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"2,345,103,083.30","2,917,172,802.59","550,844,278.90","3,194,250,951.01","722,173,681.49","1,765,066,832.90","2,961,266,331.32","4,165,218,540.85","882,758,446.44","2,245,278,511.46","3,741,200,274.37","5,145,148,555.72","961,132,532.19","2,433,741,664.97","4,153,122,559.56","5,844,954,274.46","1,218,568,128.34","2,894,005,766.35","4,692,222,198.46","6,580,197,021.72","1,325,672,758.96","3,284,810,743.54","5,256,886,221.29","7,182,909,898.35","1,263,688,403.30","3,102,748,137.76","4,853,001,103.80","6,701,737,222.84","1,187,671,939.13","2,931,768,922.21","4,783,462,700.84","6,800,417,153.88","1,307,446,298.77","3,396,853,627.99","5,488,116,441.01","7,601,087,322.80","1,578,303,558.19","3,909,831,568.32"
二、营业利润,"101,016,683.30","136,393,737.09","30,938,652.71","156,622,126.92","50,547,875.35","102,546,407.53","144,894,917.93","188,692,673.85","61,461,713.48","123,825,104.50","182,029,623.73","236,758,634.89","69,768,569.50","140,600,002.94","202,039,521.44","272,049,258.31","74,845,813.01","142,653,563.51","189,233,103.61","257,745,728.15","70,040,761.76","151,779,142.53","223,363,525.98","283,041,448.79","74,930,469.51","147,797,586.35","196,092,045.92","236,376,554.82","42,852,456.13","107,996,463.28","140,636,633.41","203,370,977.16","108,011,121.18","160,823,274.94","237,619,880.75","273,176,514.65","76,989,340.27","154,436,470.22"
减:营业成本,"2,132,871,757.60","2,628,149,647.23","483,388,909.64","2,864,578,665.45","623,416,676.28","1,561,417,667.51","2,658,905,081.08","3,745,422,259.88","757,009,981.86","1,984,892,406.83","3,336,193,718.76","4,596,549,050.44","805,861,331.26","2,122,048,925.23","3,671,833,697.77","5,171,995,123.10","1,037,622,932.50","2,538,056,752.51","4,175,163,233.70","5,857,782,525.60","1,140,507,484.77","2,885,957,123.69","4,650,089,544.29","6,356,283,153.06","1,058,673,084.33","2,702,513,500.41","4,266,354,086.80","5,921,867,318.64","1,040,958,173.06","2,598,182,164.16","4,295,143,791.88","6,087,452,492.09","1,132,529,987.26","3,040,567,090.07","4,915,193,887.53","6,804,117,358.68","1,350,831,241.78","3,449,576,361.18"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,502,714.09","4,089,215.32","1,100,126.42","5,315,916.38","1,183,950.29","3,276,713.68","5,274,227.01","7,421,446.80","1,721,256.67","4,506,138.27","7,600,131.02","10,691,589.98","2,063,206.67","5,075,309.70","8,541,085.51","12,253,787.03","2,726,035.65","6,040,178.66","9,580,627.81","14,180,087.13","2,873,122.14","7,204,614.48","11,141,587.99","15,489,338.32","2,741,205.98","6,841,340.14","10,665,147.85","14,641,702.54","2,531,338.18","6,307,563.40","10,286,370.73","22,533,953.22","4,325,091.78","11,421,027.70","18,279,346.60","26,703,806.69","5,008,782.00","13,054,255.18"
营业外收入,"627,912.75","96,977.59",445.00,"2,737,266.00","23,771.46","364,812.98","663,646.13","1,749,770.80","1,061,528.48","7,946,409.94","8,216,216.85","7,540,469.53","166,414.77","718,993.56","728,103.39","1,114,534.65","12,532.91","898,645.88","1,177,325.66","1,549,246.39","61,347.99","723,091.47","1,112,761.08","11,813,325.60","5,290,166.81","6,133,238.99","7,262,728.33","19,061,197.06","1,828,601.57","3,112,362.45","4,091,799.17","4,982,634.19","250,722.69","828,633.77","1,371,169.45","3,236,171.42","1,960,042.13","2,981,481.36"
销售费用,"73,046,188.22","91,972,287.42","21,924,857.42","112,495,414.18","29,933,758.09","61,057,339.74","99,546,199.43","147,960,514.93","39,369,195.33","84,836,655.62","136,350,508.56","195,713,425.02","50,331,201.39","103,331,424.51","171,844,112.54","255,996,760.15","65,700,670.48","133,598,359.30","208,929,516.71","303,254,228.21","69,417,475.04","146,694,431.50","232,789,125.92","336,546,811.33","77,956,757.41","152,576,228.86","234,440,554.07","335,400,667.91","70,721,543.65","145,323,000.89","219,640,768.52","325,616,511.55","76,196,434.30","157,400,095.57","243,818,578.31","361,331,039.54","93,023,509.11","188,723,414.21"
减:营业外支出,"24,208.67","531,541.09","15,955.72","252,601.50","44,387.81","96,816.24","364,686.56","698,395.35","98,150.17","119,636.32","380,050.94","594,230.17","777,184.57","964,726.76","1,158,047.33","1,313,685.41","336,789.36","474,520.63","860,234.31","1,127,778.33","179,648.86","329,713.79","519,079.35","808,413.83","4,899,834.70","5,490,418.61","5,671,271.24","6,125,738.50","195,770.85","1,388,660.49","1,642,021.17","9,860,472.00","153,657.03","338,320.74","1,516,207.83","1,593,377.66","228,393.95","468,393.91"
管理费用,"26,165,800.63","38,874,078.65","9,216,643.77","44,983,207.20","10,357,164.91","22,090,173.53","35,893,986.06","62,060,416.16","16,015,071.64","33,823,152.99","56,777,988.15","80,526,867.77","20,155,676.71","41,950,979.03","66,283,452.66","99,684,438.85","25,675,299.98","51,081,587.13","77,093,432.15","110,465,004.24","25,886,708.71","53,735,802.02","80,611,702.57","118,634,877.62","33,833,451.93","68,217,792.57","100,450,452.23","138,039,665.35","31,041,432.41","68,785,548.96","105,688,938.47","150,460,460.39","39,204,076.51","78,017,337.62","120,287,390.44","173,426,983.16","50,784,049.82","93,737,301.89"
其中:非流动资产处置净损失,,"96,933.26",,"47,814.62",,"39,727.50","63,447.92","124,156.55","30,746.98","32,546.98","63,739.78","159,437.33","95,523.69","171,322.32","173,859.24","220,874.46",671.78,671.78,"161,306.25","235,602.77","18,971.18","71,341.17","112,797.01","194,132.93","4,696,962.67","5,148,189.87","5,218,884.85","5,270,095.50","138,381.33","1,082,088.59","1,089,201.62","9,143,941.16","17,977.75","19,469.66","23,167.49",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
