科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"124,897,577.94","208,879,283.37","193,125,175.92","70,374,988.51","105,045,681.67","162,433,932.74","42,475,158.72","93,896,369.73","136,744,553.78","199,881,287.00","74,323,276.13","169,918,702.20","272,922,959.93","432,109,593.00","101,985,140.80","235,984,699.05","357,987,250.94","503,159,480.18","151,236,457.82","321,820,305.64","502,840,397.16","584,475,484.05","241,040,179.20","536,818,511.94","793,888,197.51","765,719,397.42"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,"30,418,280.00","38,408,280.00",,,,"378,539,144.30","383,578,123.45",,,"32,008,780.20","32,008,780.20"
收到的税费返还,"8,363.43","117,668.76","68,054.63",,"36,781.50","36,781.50",,,,"29,750.70",,,807.03,"37,166.53",,,,"57,795.38",,,"3,944,530.94","4,704,285.03","1,076,491.33","1,373,227.01","1,669,962.69","1,117,319.03"
支付其他与投资活动有关的现金,"45,000,000.00","174,420,000.00","225,000,000.00",,,,"87,005,160.65","368,590,000.00","369,308,303.00",,"63,586.70",,"2,131,736.70","4,900,000.00","1,087,500.00","1,129,500.00","1,778,700.00","8,000,000.00","91,500.00",,"12,925,250.00","1,100,000.00","418,440.70",,"1,160.00","270,300,000.00"
收到其他与经营活动有关的现金,"9,383,429.28","8,794,103.28","12,336,051.85","6,867,075.40","11,133,687.99","13,500,596.85","1,997,392.89","4,108,003.05","10,214,125.01","9,702,456.92","12,559,549.62","16,206,482.67","25,307,154.65","30,953,000.01","10,466,521.84","25,334,253.78","39,892,718.08","30,457,844.34","6,412,639.05","10,176,671.03","33,662,409.45","15,491,759.44","9,973,072.09","33,619,288.43","54,980,248.72","55,967,837.22"
投资活动现金流出小计,"50,476,948.11","207,928,657.35","291,740,552.91","8,318,794.47","12,126,459.77","19,933,023.94","97,992,536.16","388,087,331.16","394,072,032.40","184,233,978.83","22,194,411.91","57,116,982.77","89,354,141.93","167,159,514.77","71,893,528.93","142,301,895.99","213,794,273.30","316,365,303.68","31,761,062.45","92,874,712.73","513,706,137.27","566,352,173.90","19,183,716.69","55,240,534.40","355,067,282.79","384,104,104.73"
经营活动现金流入小计,"134,289,370.65","217,791,055.41","205,529,282.40","77,242,063.91","116,216,151.16","175,971,311.09","44,472,551.61","98,004,372.78","146,958,678.79","209,613,494.62","86,882,825.75","186,125,184.87","298,230,921.61","463,099,759.54","112,451,662.64","261,318,952.83","397,879,969.02","533,675,119.90","157,649,096.87","331,996,976.67","540,447,337.55","604,671,528.52","252,089,742.62","571,811,027.38","850,538,408.92","822,804,553.67"
投资活动产生的现金流量净额,"-15,417,266.86","8,646,134.80","-66,397,984.96","-8,168,010.11","-12,119,459.77","-19,926,023.94","-40,723,991.27","-240,436,923.17","-246,015,224.41","-31,840,269.45","-22,170,293.62","-54,909,677.60","-87,141,023.64","-124,961,153.83","-71,893,528.93","-142,301,895.99","-206,061,389.30","-307,347,459.67","-31,753,588.53","-54,136,839.96","-483,502,353.08","-564,479,906.78","-19,182,166.69","-25,219,894.60","-274,376,402.58","-283,100,560.57"
购买商品、接受劳务支付的现金,"64,226,419.69","87,152,541.21","86,067,748.35","37,042,468.81","68,748,145.17","86,240,094.49","12,753,461.81","40,837,156.05","65,201,353.39","96,245,608.66","37,435,946.97","86,946,370.38","143,739,134.26","195,608,104.88","75,395,253.68","175,843,325.99","246,411,116.92","279,779,059.19","80,494,987.95","170,837,941.86","277,754,865.53","191,608,681.21","158,671,005.62","381,315,417.46","583,595,623.11","396,306,312.41"
吸收投资收到的现金,,"62,500,000.00",,,"588,200,000.00","588,200,000.00",,,,,,,,"6,320,000.00",,,,,"2,050,000.00","3,964,000.00","828,229,971.10","835,028,971.10",,"40,763,973.60","73,620,583.43","65,317,973.60"
支付给职工以及为职工支付的现金,"9,431,720.90","13,890,982.10","20,144,715.10","12,462,423.26","16,367,631.04","24,283,324.42","8,575,269.09","15,441,393.53","22,059,150.18","32,478,670.35","13,273,596.12","26,069,752.19","34,031,410.87","51,646,509.65","22,717,958.82","40,123,192.39","57,941,074.99","86,956,830.47","34,977,173.89","69,147,910.92","100,254,425.10","170,035,386.26","61,385,746.86","109,420,480.19","160,487,900.42","210,285,890.27"
取得借款收到的现金,"6,700,000.00","48,500,000.00","21,400,000.00",,"4,000,000.00","4,000,000.00",,,"100,000.00","100,000.00",,,,,,,,,,"29,000,000.00","29,350,000.00","29,000,000.00",,"10,000,000.00","15,500,000.00","35,500,000.00"
支付的各项税费,"13,743,097.05","32,005,891.98","43,252,633.09","12,146,244.61","22,485,853.07","28,495,733.36","4,029,744.89","8,112,950.59","16,576,752.22","24,232,144.53","10,845,171.27","20,425,361.68","39,576,223.40","53,915,920.81","14,396,252.21","38,605,162.79","50,883,317.55","64,525,851.85","14,507,033.42","37,842,263.21","62,282,413.61","91,845,082.79","30,275,589.11","55,482,591.27","86,364,812.24","113,375,479.72"
