科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"270,756,887.25","142,889,899.27","256,729,359.63","381,237,895.81","347,167,245.85","155,867,534.84","272,092,199.00","197,884,226.57","518,629,235.73","369,758,234.18","347,025,541.87","260,525,818.31","383,579,247.76","395,111,368.04","385,008,218.55","394,990,841.91","346,331,379.56","489,386,839.03","316,053,790.45","295,607,539.50","399,523,377.58","981,344,331.34"
短期借款,"211,500,000.00","263,500,000.00","735,850,000.00","1,023,500,000.00","955,500,000.00","1,050,000,000.00","927,900,000.00","962,000,000.00","880,000,000.00","782,000,000.00","793,500,000.00","885,650,000.00","919,000,000.00","1,014,000,000.00","1,284,000,000.00","1,309,000,000.00","1,400,000,000.00","1,455,000,000.00","1,479,500,000.00","1,564,500,000.00","1,571,500,000.00","1,635,028,942.50"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,
应收票据,"99,943,328.09","119,976,242.10","313,529,302.87","291,752,498.72","332,861,075.88","363,821,938.35","284,584,109.21","249,663,607.86","301,838,005.58","321,066,488.87","376,168,855.87","301,348,288.12","447,430,682.82","353,501,635.23","329,712,559.67","339,431,630.97","385,662,046.15","294,810,394.94","368,560,848.63","337,599,873.92","496,288,230.57","408,082,069.18"
应付票据,"28,875,400.00","80,000,000.00","30,000,000.00","50,300,000.00","149,000,000.00","112,000,000.00","96,450,000.00","41,300,000.00","45,732,837.50","89,600,000.00","108,335,476.90","165,686,357.49","163,548,731.89","160,297,851.30","81,500,000.00","19,500,000.00","45,000,000.00","45,000,000.00","15,527,124.00",,"12,500,000.00",
应收账款,"82,001,100.27","108,882,969.41","130,786,133.50","255,959,622.58","140,250,484.95","187,770,309.94","207,836,188.03","244,117,813.79","178,368,024.83","217,868,254.35","180,304,737.77","189,222,612.07","132,840,915.02","240,071,126.36","168,238,633.40","149,397,382.95","121,060,236.94","201,210,273.16","201,730,059.48","218,537,250.88","121,130,141.16","326,642,421.90"
应付账款,"254,862,319.89","253,632,073.34","276,046,375.77","296,165,457.99","259,774,022.33","280,080,311.14","262,740,083.32","229,710,268.55","241,674,869.55","253,635,340.75","231,471,677.41","239,891,449.84","262,808,834.76","297,179,233.64","269,167,017.76","262,528,214.68","309,425,214.32","350,009,957.83","340,086,592.36",,"332,731,555.67",
预付款项,"85,331,246.39","41,034,724.06","32,414,425.80","46,703,729.21","33,511,136.50","32,532,905.32","20,699,848.09","21,250,444.67","10,207,054.51","25,044,350.09","26,342,611.59","36,541,050.42","11,545,216.74","13,592,174.08","17,334,390.73","16,469,372.41","7,809,372.21","13,634,368.30","77,902,253.72","73,080,640.15","40,940,764.61","70,225,529.48"
预收款项,"22,669,853.69","25,377,631.79","23,578,516.83","23,286,736.37","26,622,870.24","64,274,735.80","43,412,419.25","21,349,122.09","30,148,961.54","18,206,637.00","15,248,490.98","24,132,825.59","83,757,085.77","68,117,805.62","67,805,921.04","48,588,334.36","69,923,038.27","58,031,434.02","49,544,945.15","63,184,898.33","84,441,438.68","64,194,739.63"
其他应收款,"31,229,027.76","26,709,488.98","17,930,183.15","18,192,689.50","18,087,428.55","23,571,954.55","26,373,473.48","28,169,135.34","20,165,810.74","24,275,383.99","22,062,728.37","23,705,349.34","17,022,228.23","19,092,867.35","28,696,102.34","21,547,189.48","13,977,021.31","15,523,915.28","19,363,968.84","27,205,999.78","10,135,119.89","173,361,631.81"
应付职工薪酬,"5,316,873.37","8,457,180.72","9,657,161.35","10,310,862.61","11,106,028.92","12,701,341.81","11,170,162.62","9,946,940.25","9,236,697.64","6,621,980.52","6,156,317.05","6,287,232.61","9,160,941.56","9,351,191.03","7,947,409.10","12,608,445.66","12,823,633.08","6,908,911.69","9,101,442.09","8,942,421.19","11,344,357.56","31,276,644.00"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
