科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月
一、营业收入,"339,496,582.40","708,463,324.80","1,074,476,658.49","1,711,291,459.39","420,473,091.86","973,416,503.30","1,439,877,897.67","1,825,046,114.25","448,662,935.45","905,552,579.72","1,380,148,330.54","1,926,213,019.69","768,491,290.07","1,266,864,798.76","1,893,421,891.48","2,407,686,236.65","567,344,030.22","1,165,226,944.95","1,688,704,808.62","2,569,726,941.66","755,443,490.35","1,525,954,087.27","2,307,847,901.94","3,124,742,574.30","797,641,659.73","1,631,849,256.04","2,416,048,940.14","3,626,429,879.09","1,018,101,534.79","1,889,051,066.50","3,310,026,090.25","4,595,929,940.54","1,787,774,630.96"
二、营业利润,"141,829,815.55","277,264,187.86","470,423,073.91","790,147,153.64","102,674,499.27","328,713,925.31","431,637,425.58","583,565,641.58","117,840,370.33","309,602,000.96","472,297,512.83","607,968,033.46","128,393,567.61","370,716,185.72","555,929,671.60","901,794,949.77","139,642,135.74","349,924,504.80","490,345,730.69","654,710,076.00","193,039,052.52","393,252,913.67","538,723,905.94","783,744,339.33","198,656,382.07","434,343,636.13","559,483,017.34","923,693,247.28","245,689,317.38","774,767,543.69","1,138,936,798.89","1,585,902,237.64","470,230,490.99"
减:营业成本,"194,649,700.00","398,507,340.99","596,353,298.37","1,062,324,346.58","273,794,349.84","638,885,355.87","942,345,315.68","1,128,165,912.81","299,317,382.35","586,107,277.43","864,215,727.09","1,209,080,520.16","569,298,479.64","817,786,657.37","1,181,089,213.56","1,505,030,153.00","374,736,060.61","748,756,257.02","1,051,620,387.60","1,691,894,987.01","514,702,432.86","1,065,462,050.11","1,623,817,725.00","2,209,319,474.73","587,403,929.05","1,224,438,665.25","1,777,973,033.61","2,460,213,965.86","667,680,650.43","1,203,110,446.67","2,043,005,189.16","2,913,065,781.03","1,168,238,831.52"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"9,920,634.22","21,332,011.66","30,746,942.28","44,875,255.46","10,206,972.76","21,888,938.82","32,342,913.08","46,965,016.48","10,254,927.10","21,239,382.16","34,058,402.04","50,371,749.04","32,544,781.38","48,920,824.70","70,016,461.06","88,335,556.34","14,819,707.72","31,452,448.43","46,823,883.75","83,756,925.74","14,835,134.50","28,965,382.55","43,351,309.17","62,255,506.73","13,654,269.31","28,018,185.21","42,324,759.90","87,155,460.30","47,301,158.70","86,067,118.45","182,334,059.34","307,765,522.46","146,635,460.02"
营业外收入,"1,639,312.33","7,079,777.18","8,723,827.59","9,148,420.31","481,883.65","7,706,997.29","8,032,791.58","10,712,073.60","362,508.54","7,129,250.12","7,478,307.58","10,920,476.84","627,098.22","5,514,064.69","6,332,340.95","9,034,246.88","1,677,110.71","2,055,227.75","3,499,508.45","14,569,097.58","432,007.30","1,392,327.69","5,960,623.00","21,978,533.76","3,429,764.53","4,529,617.17","9,110,264.83","84,240,820.26","2,347,677.20","73,895,535.51","219,298,524.40","211,033,593.21","2,949,664.82"
销售费用,"8,778,931.72","11,495,748.89","16,598,218.73","25,804,949.86","4,218,715.09","8,517,504.86","13,221,183.76","18,571,455.14","5,681,818.87","11,074,851.07","14,533,008.26","19,290,890.08","5,295,857.57","12,936,760.05","21,268,729.24","27,648,108.75","9,612,576.40","17,914,741.73","30,079,298.95","45,189,441.19","14,472,140.82","24,306,231.62","29,567,687.82","41,580,396.05","10,161,646.97","20,464,420.20","29,772,269.81","44,054,227.86","10,511,667.36","19,153,558.26","30,115,405.72","36,068,044.36","15,385,826.84"
减:营业外支出,"2,000.00","8,178.60","8,178.60","1,837,921.39","105,496.44","336,607.80","336,807.80","1,459,922.29","10,000.00","11,875.00","11,875.00","732,165.17",500.00,"2,014,203.46","2,251,529.01","7,807,267.98","19,067.20","56,111.71","112,809.32","2,009,575.61",,"34,186.35","245,776.09","2,380,890.88","10,594.43","38,245.23","62,213.62","3,808,603.17","1,000.00","86,384.86","1,857,876.17","10,314,163.23","114,405.57"
管理费用,"33,651,281.42","63,343,846.44","95,419,649.43","158,958,248.05","31,233,768.00","68,489,162.18","104,802,173.80","157,056,386.59","35,824,133.85","63,451,072.02","103,253,501.02","155,875,562.85","36,425,844.90","77,228,709.07","125,808,816.92","200,609,672.71","36,798,756.36","77,079,227.04","128,796,507.27","200,804,276.02","43,302,655.92","80,684,750.28","137,728,429.31","204,273,308.88","45,493,132.44","88,405,882.38","138,067,342.75","221,843,763.03","48,944,747.78","124,595,102.44","195,808,111.21","300,595,518.19","67,779,901.96"
其中:非流动资产处置净损失,,,,,,,,,,,,"639,673.11",,,,"5,780,629.52",,,,"100,617.00",,"34,186.35",,"211,968.51",,,,"3,774,056.00",,,,"8,086,344.33","1,057.67"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"10,621,025.31","20,581,591.51","34,928,915.69","36,771,275.14","11,543,284.74","41,884,656.88","76,409,255.56","69,031,832.13","23,885,358.59","42,339,547.60","55,543,454.95","54,205,109.73","4,513,352.00","12,777,195.50","24,125,345.86","30,016,711.05","11,220,083.15","5,947,275.19","14,063,709.27","23,587,795.23","16,427,747.94","16,733,502.89","47,902,666.48","71,447,784.39","12,931,206.71","25,617,714.86","48,800,531.15","91,174,431.76","-9,339,413.55","-6,089,533.07","30,295,188.56","16,314,224.65","21,526,876.64"
三、利润总额,"143,467,127.88","284,335,786.44","479,138,722.90","797,457,652.56","103,050,886.48","336,084,314.80","439,333,409.36","592,817,792.89","118,192,878.87","316,719,376.08","479,763,945.41","618,156,345.13","129,020,165.83","374,216,046.95","560,010,483.54","903,021,928.67","141,300,179.25","351,923,620.84","493,732,429.82","667,269,597.97","193,471,059.82","394,611,055.01","544,438,752.85","803,341,982.21","202,075,552.17","438,835,008.07","568,531,068.55","1,004,125,464.37","248,035,994.58","848,576,694.34","1,356,377,447.12","1,786,621,667.62","473,065,750.24"
资产减值损失,,"15,026.73","-5,508.79","-601,797.28","4,306.09","-187,993.38","-86,311.83","-1,101,182.93","-19,981.55","1,477,107.38","1,280,569.08","-126,011.90","21,451.38","537,627.30","379,891.16","3,579,702.81","49,764.66","1,107,350.97","1,118,241.14","-277,729.17","38,809.03","764,403.83","697,900.70","364,179.83","32,779.30","1,413,782.63","1,417,311.95","645,766.09","28,133.22","964,134.63","1,839,858.97","26,753,443.10","302,196.09"
减:所得税,"17,760,340.93","40,823,370.48","63,785,725.64","127,689,874.32","13,211,404.05","63,343,658.24","70,819,222.84","102,838,864.66","22,347,255.43","55,822,243.20","88,252,481.55","120,186,393.59","28,368,389.20","76,322,750.73","113,549,058.37","217,725,687.72","38,982,859.81","76,011,998.89","111,045,123.74","159,843,756.03","49,012,286.25","90,066,672.57","128,877,304.02","192,494,896.85","49,248,897.29","118,696,982.05","152,086,435.27","273,325,669.26","70,329,919.09","217,359,623.59","360,033,457.10","470,516,655.49","122,617,177.27"
加:公允价值变动净收益,,,,"3,865,800.00","-3,481,180.00","-4,405,875.00","-5,747,535.00","-6,770,835.00","534,390.00","2,905,035.00","2,905,035.00","2,905,035.00","-43,220.00","-104,765.00","-85,065.00",,"-3,890.00",,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
