科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"40,791,166.41","71,679,614.00","93,901,397.76","47,304,492.44","70,043,242.56","104,030,812.38","24,143,820.87","47,499,949.52","69,499,765.17","109,597,977.96","16,483,856.00","42,151,344.71","64,341,644.21","100,134,457.46","22,088,706.22","48,736,820.14","74,544,613.94","124,715,394.52","23,609,228.27","52,402,611.81","85,077,047.79","142,270,198.75","27,399,602.59","64,972,993.63","92,552,724.82"
取得子公司及其他营业单位支付的现金净额,"420,000.00",,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"417,758.76","853,325.84","2,974,347.61","1,815,169.85","1,817,648.56","4,414,982.28","15,180.40","1,176,383.09","2,239,020.59","2,239,020.59","1,613,862.90","3,866,390.70","3,866,390.70","5,460,588.06","956,907.54","1,443,266.57","3,051,624.16","3,772,397.84","1,310,749.93","1,747,024.11","3,134,031.61","4,889,342.94","928,582.68","1,347,509.51","2,482,729.54"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"3,928,840.15","5,800,850.80","7,404,465.18","6,928,788.81","14,431,114.18","11,377,291.23","1,119,928.55","6,416,738.90","7,350,821.36","17,445,035.03","1,349,463.35","3,841,694.03","6,411,304.79","34,032,421.82","2,386,024.63","3,980,334.44","6,572,726.32","23,100,034.03","1,255,140.98","4,137,732.08","6,009,367.54","18,772,676.81","53,398.58","5,308,001.86","5,584,371.56"
投资活动现金流出小计,"2,650,693.84","9,923,093.55","25,047,700.58","7,942,369.03","8,977,485.93","20,022,669.46","21,459,654.85","37,072,400.19","38,031,333.32","47,408,605.78","3,220,750.21","3,466,761.06","9,977,983.06","18,273,301.96","8,142,841.39","8,731,039.63","11,419,728.61","16,599,850.68","11,519,826.55","20,322,297.32","26,075,033.84","31,566,130.58","3,253,406.86","5,855,085.94","10,948,615.51"
经营活动现金流入小计,"45,137,765.32","78,333,790.64","104,280,210.55","56,048,451.10","86,292,005.30","119,823,085.89","25,278,929.82","55,093,071.51","79,089,607.12","129,282,033.58","19,447,182.25","49,859,429.44","74,619,339.70","139,627,467.34","25,431,638.39","54,160,421.15","84,168,964.42","151,587,826.39","26,175,119.18","58,287,368.00","94,220,446.94","165,932,218.50","28,381,583.85","71,628,505.00","100,619,825.92"
投资活动产生的现金流量净额,"-2,492,066.80","-9,923,093.55","-25,046,700.58","-7,937,769.19","-8,972,886.09","-20,018,069.62","-11,409,983.62","-21,431,360.80","-22,336,915.29","-18,047,080.15","-3,220,750.21","-3,466,761.06","-9,977,983.06","-18,273,301.96","-8,142,841.39","-8,731,039.63","-11,053,528.61","-16,599,850.68","-11,486,326.55","-20,288,797.32","-25,819,233.84","-31,310,320.58","-3,247,881.86","-5,777,495.94","-10,870,090.51"
购买商品、接受劳务支付的现金,"12,805,808.72","17,098,647.79","41,333,207.15","27,600,736.60","38,209,726.48","44,701,231.78","10,068,881.10","22,024,143.83","34,499,400.80","49,461,761.45","9,963,718.74","22,498,306.56","34,483,473.33","52,852,414.33","11,187,263.96","23,664,960.18","37,774,765.21","45,652,611.29","13,809,465.11","24,229,658.85","32,841,973.71","42,423,999.86","11,290,602.19","27,438,465.89","35,470,477.06"
吸收投资收到的现金,"600,000.00","17,274,944.00","75,000.00",,"195,073,625.14","195,073,625.14",,,,,,,,,,,,,,,,,,,
