科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30
递延所得税负债,,,"3,209,136.96","2,906,095.46","2,906,095.46","2,906,095.46","2,906,095.46"
在建工程,"75,308,613.93","85,619,147.69","82,224,033.16","81,538,219.52","118,671,697.89","126,249,278.09","159,301,759.47"
其他非流动负债,,,,,,,
工程物资,,,,,,,
非流动负债合计,"3,872,035.00","3,636,362.00","6,845,498.96","6,542,457.46","6,315,184.46","6,087,911.46","6,087,911.46"
固定资产清理,,"-8,000.00","-8,000.00",,,,
负债合计,"1,370,760,850.17","1,341,356,205.71","1,276,457,518.11","1,261,042,618.83","1,322,061,511.18","1,178,534,684.41","1,289,708,069.41"
生产性生物资产,,,,,,,
实收资本(或股本),"517,965,449.00","517,965,449.00","517,965,449.00","517,965,449.00","517,965,449.00","517,965,449.00","517,965,449.00"
油气资产,,,,,,,
资本公积,"342,826,446.85","358,725,644.30","392,891,345.83","443,706,669.46","437,987,293.36","415,491,014.84","418,456,409.03"
无形资产,"143,266,041.22","141,641,276.29","140,483,754.76","128,791,746.43","125,086,981.50","129,190,502.18","125,485,737.25"
盈余公积,"192,102,876.01","192,102,876.01","192,102,876.01","216,453,496.94","216,453,496.94","216,453,496.94","216,453,496.94"
开发支出,,,,"12,367,620.28","12,831,106.30","10,240,000.00","10,240,000.00"
减:库存股,,,,,,,
商誉,,,,,,,
未分配利润,"1,090,505,080.73","1,065,777,687.87","1,177,989,227.13","1,126,981,725.91","1,278,505,884.20","1,463,261,313.22","1,642,343,748.56"
长期待摊费用,"960,384.10","727,424.50","1,554,828.36","472,619.30","397,995.20","323,371.10","248,747.00"
少数股东权益,"5,073,380.44","35,175,844.46","35,102,812.44","32,285,930.36","31,137,191.57","29,430,612.32","31,137,191.57"
递延所得税资产,"7,445,813.16","7,445,813.16","7,445,813.16","5,998,377.32","6,830,246.39","6,778,481.39","6,775,767.14"
外币报表折算价差,,,,,,,
其他非流动资产,,,,,,,
非正常经营项目收益调整,,,,,,,
非流动资产合计,"2,221,271,517.44","2,153,815,756.74","2,269,270,957.46","2,140,107,858.47","2,300,310,937.18","2,332,997,522.70","2,524,986,481.87"
所有者权益(或股东权益)合计,"2,148,473,233.03","2,169,747,501.64","2,316,051,710.41","2,337,393,271.67","2,482,049,315.07","2,642,601,886.32","2,826,356,295.10"
资产总计,"3,519,234,083.20","3,511,103,707.35","3,592,509,228.52","3,598,435,890.50","3,804,110,826.25","3,821,136,570.73","4,116,064,364.51"
负债和所有者(或股东权益)合计,"3,519,234,083.20","3,511,103,707.35","3,592,509,228.52","3,598,435,890.50","3,804,110,826.25","3,821,136,570.73","4,116,064,364.51"
