科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"900,323,202.37","879,028,155.47","1,071,846,049.92","246,101,604.44","597,230,563.76","947,132,672.01","1,379,109,486.75","405,647,237.31","973,430,085.55","1,556,963,087.84","1,936,617,166.87","391,566,982.99","880,873,234.06","1,282,734,209.44","1,744,356,498.54","434,538,199.76","949,142,699.94","1,449,347,093.70","1,952,470,198.17","449,135,950.18","1,015,246,208.06","1,571,150,984.45","2,038,829,463.73","382,382,918.32","727,789,856.00","1,048,599,455.40","1,343,837,350.22","219,522,015.96","534,261,815.88","890,763,829.75","1,311,389,384.93","410,717,425.09","966,902,299.42","1,414,679,010.97","1,830,606,073.38","471,982,215.07","942,082,644.41","1,385,731,092.94","1,869,256,045.61","451,976,254.78"
二、营业利润,"151,993,815.31","106,854,330.73","121,129,597.03","25,299,471.06","67,219,717.39","106,660,888.67","176,050,300.99","58,158,204.81","152,328,314.82","280,103,541.27","348,139,171.67","50,819,040.94","112,066,106.48","130,840,080.98","156,804,841.36","30,932,620.01","73,538,959.56","119,044,649.70","145,051,854.35","14,651,221.02","50,841,651.37","78,040,607.34","88,606,464.64","-11,685,704.08","-44,124,474.86","-104,407,472.70","-183,575,614.44","-26,163,715.22","-53,605,244.13","-50,859,407.72","-22,294,490.02","3,722,926.73","18,964,733.01","37,186,301.87","67,263,635.34","11,941,222.51","31,681,703.69","52,066,394.90","76,597,157.76","8,866,642.22"
减:营业成本,"660,379,439.82","667,254,401.48","869,408,547.78","193,874,853.54","474,722,938.21","753,315,809.98","1,087,333,019.50","305,332,753.61","729,853,369.44","1,128,816,319.45","1,380,804,131.02","291,189,541.52","664,332,168.25","998,396,137.80","1,371,522,215.41","337,589,462.64","737,900,838.01","1,110,407,324.48","1,490,653,388.31","369,906,239.01","822,922,171.44","1,288,285,817.65","1,653,390,665.11","347,079,107.55","655,297,775.53","964,651,957.10","1,240,895,246.28","223,745,068.65","509,387,864.73","827,275,209.05","1,112,098,732.35","365,038,044.23","848,907,107.72","1,238,472,571.65","1,505,530,473.82","399,733,282.72","786,952,014.05","1,154,810,907.61","1,527,970,019.04","393,597,397.79"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"5,820,247.42","7,246,064.22","4,649,340.36","1,569,352.48","4,322,022.22","6,535,077.93","8,930,937.94","2,925,615.02","5,713,760.70","10,197,720.93","14,357,936.79","1,558,252.26","6,154,230.38","10,003,903.82","12,972,390.18","3,930,235.06","8,608,004.73","10,958,132.21","14,906,212.63","2,253,354.95","6,842,995.09","9,437,833.91","14,139,870.34","2,475,550.93","4,942,684.66","5,146,587.91","7,490,588.64","607,975.33","1,808,822.20","2,558,494.34","10,341,482.40","1,853,430.73","4,916,015.14","7,556,854.16","10,675,419.37","2,419,601.71","5,538,066.25","8,493,709.45","12,666,769.26","2,910,405.96"
营业外收入,"3,932,430.49","2,714,473.77","15,762,664.05","954,105.46","1,748,420.88","2,217,716.59","4,097,555.78","1,820,323.11","2,694,062.04","3,627,342.28","5,041,541.40","1,905,844.91","2,500,582.00","9,416,424.55","15,319,827.00","2,006,057.30","5,148,673.91","8,063,449.71","10,190,869.63","4,404,332.10","6,891,563.22","10,858,311.57","16,242,179.94","5,130,354.88","23,258,711.64","28,685,124.09","36,529,279.56","4,347,745.48","36,119,805.69","70,320,828.20","84,690,147.07","2,871,892.81","1,736,346.69","4,186,201.07","1,095,904.56","254,862.89","218,670.76","447,071.05","554,330.67","8,974.57"
销售费用,"8,969,701.24","7,515,561.70","8,016,999.86","2,778,166.99","5,950,394.55","9,731,501.69","12,669,929.47","4,393,515.18","8,355,372.99","13,165,150.99","17,602,603.68","3,957,522.74","8,397,712.64","12,609,151.21","19,562,634.70","5,366,959.74","10,412,953.87","17,216,055.76","24,228,717.54","4,155,663.76","15,083,971.60","19,990,492.15","28,639,410.03","3,310,777.72","11,429,433.80","19,043,592.54","27,478,131.95","5,007,789.29","11,455,358.23","19,801,459.32","30,221,420.94","4,797,858.88","15,227,888.94","22,790,771.94","32,986,779.88","4,662,839.99","13,329,652.47","19,429,366.06","32,018,604.72","6,372,738.10"
减:营业外支出,"4,192,205.65","1,427,722.44","1,461,621.04","718,001.18","1,235,158.72","1,291,874.24","3,758,931.05","566,239.34","1,109,705.90","2,481,761.04","3,588,948.10","1,281,307.04","7,279,789.70","8,939,334.52","11,675,760.12","2,479,454.88","6,151,373.94","8,516,149.70","11,346,979.21","1,226,785.41","3,735,802.85","7,295,727.46","8,374,463.82","1,093,026.57","2,560,067.07","3,457,661.77","5,659,490.75","244,770.90","333,339.13","717,410.49","1,164,261.68","439,983.66","6,116,677.67","6,044,996.76","9,036,387.47","94,265.04","278,224.62","407,482.32","721,556.61","79,045.40"
管理费用,"41,394,851.80","46,930,540.52","39,447,266.54","12,182,838.64","28,187,015.51","42,929,496.41","66,058,433.95","19,973,793.74","42,314,725.16","68,554,751.04","98,259,723.10","24,567,594.62","52,774,504.59","79,199,019.90","120,830,579.30","34,673,325.04","77,268,600.63","119,645,003.29","180,126,372.01","36,537,112.16","74,426,537.97","111,673,048.25","145,262,634.96","26,746,210.31","65,139,149.44","92,411,399.28","127,307,346.11","28,385,591.87","55,564,239.56","80,614,811.30","114,089,307.08","23,928,601.64","55,208,806.48","85,207,217.94","124,925,083.48","29,547,626.02","64,724,848.82","71,189,763.99","99,523,630.62","20,411,346.37"
其中:非流动资产处置净损失,"1,667,128.22","1,597.25","16,291.85",,,"6,891.52","1,519,683.85",,"439,700.10","607,569.10","1,313,013.38",,,"329,797.99","407,926.65",,"7,250.41","27,968.89","614,406.76",,,"213,377.18","897,029.43",,"476,828.84","913,454.72","2,910,871.72",,,"263,293.91","728,921.34","356,349.57","5,222,093.62","5,212,728.90",,,,,,
