科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"258,054,560.82","387,385,788.10","217,717,236.07","339,570,281.58","458,887,998.95","108,770,883.86","235,583,384.76","407,892,830.78","603,414,409.08","186,438,701.40","394,841,841.06","596,356,458.68","819,968,629.70","263,248,251.91","565,473,129.33","853,758,944.18","1,102,004,884.07","331,970,254.99","712,373,596.59","1,043,061,091.97","1,323,215,434.83","379,967,646.73","802,591,113.13","1,128,225,938.48","1,481,076,884.10","418,499,358.79","882,802,771.94","1,145,768,002.31","1,395,788,575.79","430,746,288.07","884,714,139.38","1,193,495,404.88","1,497,151,217.58","457,397,439.38","933,262,362.19","1,253,453,626.51","1,569,916,033.26","520,891,399.52","906,650,078.41","1,149,929,922.73","1,500,676,455.17","400,081,731.87"
二、营业利润,"39,814,957.12","59,819,857.18","35,789,901.02","57,453,827.51","65,718,265.68","18,785,258.07","45,899,252.79","97,690,453.15","129,238,592.06","41,279,006.35","86,933,901.34","140,151,701.07","182,482,734.17","59,411,265.50","126,296,320.97","200,793,036.82","266,593,494.55","79,460,296.67","179,624,542.80","276,158,653.00","354,008,705.08","93,496,948.60","211,881,441.72","315,820,977.53","409,904,507.65","104,145,806.89","218,142,580.56","290,792,929.04","327,912,235.21","97,418,390.26","221,890,375.38","303,273,287.06","325,103,308.19","110,025,360.60","231,715,351.85","312,718,322.26","332,607,560.28","116,738,167.63","216,627,039.41","282,227,854.29","274,934,073.81","84,258,551.78"
减:营业成本,"45,725,926.32","69,603,509.43","40,304,255.97","60,078,011.03","78,287,759.90","19,997,705.46","41,422,480.98","72,001,634.25","107,534,729.33","32,388,845.18","69,591,303.68","108,064,520.26","149,014,572.62","43,756,215.68","92,058,702.94","136,894,932.78","178,681,352.68","52,770,819.52","112,193,519.49","161,232,178.65","204,365,270.40","60,964,985.52","128,930,107.98","178,326,231.25","230,004,515.20","65,513,749.30","151,178,156.54","198,905,678.00","250,363,688.48","79,407,985.72","158,244,775.99","217,327,855.20","280,735,644.21","84,809,866.63","172,939,825.12","233,474,285.59","291,830,040.21","80,028,033.30","145,610,980.13","191,987,397.30","263,651,083.30","72,932,843.31"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,838,780.69","2,750,714.29","1,587,868.62","2,420,896.03","3,158,376.72","762,326.83","1,543,526.81","2,614,248.33","3,946,793.11","2,050,679.60","3,985,770.00","5,888,486.83","8,101,668.14","2,467,082.31","6,596,935.61","9,515,217.50","12,078,557.27","3,371,624.11","7,411,526.24","10,719,538.62","12,942,655.86","4,185,818.83","8,440,758.05","9,796,800.38","15,167,923.92","4,455,025.19","9,429,681.44","11,224,468.38","14,870,479.11","4,731,218.07","9,704,689.32","12,920,448.14","17,156,060.59","5,314,774.61","10,289,926.46","13,399,429.52","16,849,438.64","5,289,913.00","9,122,023.20","11,053,376.86","14,244,038.07","3,433,148.43"
营业外收入,"11,462,486.96","9,984,413.12",,"13,000.00","14,582,000.00","198,887.99","16,894,687.99","17,271,016.10","18,236,016.11","733,466.04","13,040,854.24","14,481,654.24","16,030,644.65","457,734.40","17,542,928.93","18,502,567.38","19,981,122.38","1,006,594.04","15,626,841.44","16,551,862.13","24,467,698.63","730,420.71","3,138,416.37","6,271,737.08","5,774,884.43","730,420.71","2,565,989.41","6,344,585.52","7,703,381.30","1,548,758.54","3,307,168.96","5,848,356.98","9,444,183.09","1,521,923.51","3,289,846.42","5,227,476.84","428,585.49","725,651.51","833,733.51","872,933.51","850,503.51","113,043.00"
销售费用,"150,354,573.47","224,799,857.59","121,715,527.18","192,159,380.35","262,945,959.97","61,028,000.88","128,063,473.90","209,331,166.00","320,458,322.17","101,888,291.70","211,964,235.57","309,751,687.48","432,400,191.48","139,882,096.04","303,358,730.15","443,079,990.67","569,547,276.00","170,609,335.87","353,756,719.71","512,672,476.55","660,088,693.09","189,590,378.12","395,091,744.56","550,872,424.03","715,557,347.50","206,678,481.44","438,923,301.80","565,759,217.25","681,571,129.38","211,380,878.79","429,113,946.09","567,824,354.18","747,391,563.39","228,036,987.35","447,118,987.47","602,370,612.82","800,575,398.97","283,844,584.00","478,139,769.83","590,972,850.48","773,512,909.51","216,789,788.00"
减:营业外支出,"1,147,668.25","1,361,658.71",,,"65,000.00",,,"8,000.00","176,000.00",,,"100,000.00","300,000.00","100,000.00","100,000.00","100,000.00","400,000.00","50,000.00","1,120,000.00","1,120,000.00","1,340,000.00","150,000.00","150,000.00","150,000.00","840,000.00",,"30,000.00","30,000.00","800,352.21","173,000.00","173,000.00","173,000.00","1,313,659.40","4,560,000.00","4,670,522.66","4,670,522.66","5,596,464.73",,"838,521.36","614,738.92","1,077,402.40","200,000.00"
管理费用,"17,374,682.97","27,209,818.46","16,173,427.24","25,522,878.88","46,513,900.94","8,114,209.61","18,471,070.06","31,281,001.92","54,313,750.18","12,961,347.84","30,365,831.54","46,520,896.07","67,032,413.97","22,804,033.97","47,708,657.08","78,645,829.24","97,977,489.91","31,052,500.72","65,692,837.32","92,526,528.10","112,590,133.44","32,204,042.11","65,770,282.15","88,041,990.84","128,180,486.77","35,683,667.64","73,026,788.93","95,962,009.53","147,071,036.28","33,697,260.35","70,222,118.12","101,619,843.78","136,387,286.64","28,277,741.21","68,930,019.80","96,122,931.92","156,979,332.56","41,055,998.44","67,493,831.43","62,301,378.87","110,002,098.68","20,915,892.89"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,659.40",,522.66,,,,,,,
