科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"224,281,921.81","225,742,423.03","234,538,061.06","121,528,464.74","225,409,016.70","622,529,277.48","494,971,088.43","484,846,389.50","608,423,985.20","694,770,939.71","493,093,385.67","461,116,589.21","729,893,016.97","675,070,622.82","619,568,811.76","656,657,847.47","948,049,423.20","1,679,614,400.28","672,377,454.13","614,378,596.41"
短期借款,"20,000,000.00",,,,,,,,,"41,000,000.00","48,500,000.00","57,561,300.00","65,187,200.00","87,197,800.00","104,359,520.00","177,547,650.00","171,905,750.00","222,806,916.00","190,888,900.00","230,632,275.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,
应收票据,"964,322.50","2,228,002.50","4,956,540.50","4,790,612.01","12,806,491.62","5,697,871.72","28,871,139.06","48,493,556.57","45,083,853.84","31,223,826.98","17,577,189.90","19,562,210.47","52,690,059.34","18,293,546.27","68,317,807.17","17,322,391.92","122,980,510.68","85,075,156.06","114,092,028.18","68,931,230.32"
应付票据,"19,505,490.00","2,921,705.00","14,189,555.00",,"20,763,908.00",,,,"4,416,390.00","1,895,711.72",,,,,,,,,,
应收账款,"61,304,889.68","100,227,706.46","209,975,758.66","250,103,189.82","382,010,458.52","344,743,306.00","295,805,874.53","276,142,002.93","372,644,800.24","387,942,446.49","409,719,989.77","403,936,799.39","552,289,036.28","550,089,538.80","549,033,447.97","571,184,211.35","696,628,225.97","658,904,187.14","627,644,815.36","640,957,997.03"
应付账款,"29,282,514.39","34,656,627.89","51,903,226.17","29,235,024.65","67,719,158.95","33,430,103.52","46,281,224.98","52,231,136.39","76,552,177.34","33,347,397.55","41,402,930.61","49,876,402.22","90,358,368.74","59,252,783.81","67,851,584.36","64,771,569.75","103,541,298.33","72,418,053.67","90,576,371.40","81,056,674.38"
预付款项,"3,508,958.27","9,819,221.45","10,910,754.51","20,466,571.88","15,325,300.28","12,380,953.35","5,290,602.20","22,006,285.62","7,263,176.36","8,819,196.95","7,042,195.05","7,952,755.48","6,027,567.02","9,659,313.79","20,705,443.49","16,455,385.15","17,651,186.96","13,940,117.96","40,437,387.82","31,570,576.84"
预收款项,"12,968,086.45","13,154,534.11","8,170,323.80","18,674,655.52","15,941,673.52","17,245,421.26","29,069,751.46","49,378,366.77","19,542,990.50","23,597,509.17","21,726,220.64","28,734,134.70","19,733,962.11","20,568,366.33","32,552,294.82","39,930,568.99","46,023,099.93","35,334,240.87","31,736,144.23","43,081,841.65"
