科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"624,863,970.17","820,093,672.22","536,590,527.25","589,927,212.22",,"1,507,094,099.02","658,249,117.32","771,988,944.80","799,728,065.67","783,125,827.09","838,962,386.37","882,651,841.27"
短期借款,"238,209,912.87","222,840,807.31","13,228,271.59","17,598,271.32",,"7,574,690.10","11,316,684.54","10,183,128.28","29,793,004.20","27,437,910.71","148,103,678.66","148,392,536.60"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"156,103,493.79","180,835,857.59","139,503,714.20","160,060,940.92",,"126,839,741.26","320,478,571.05","167,280,344.96","139,431,672.80","189,751,501.01","386,543,016.03","180,903,365.47"
应付票据,,,"60,000,000.00",,,,,,,"50,000,000.00","103,739,998.50","25,695,536.00"
应收账款,"401,915,435.44","434,432,837.65","404,822,981.33","489,142,182.40",,"422,791,638.65","500,520,206.80","549,739,069.40","540,010,303.41","418,073,762.26","539,368,362.57","669,074,441.03"
应付账款,"750,155,068.52","668,607,361.88","724,515,329.41","812,126,379.13",,"833,869,728.35","1,083,851,140.25","965,889,282.03","1,051,019,544.47","1,000,846,621.55","1,393,851,049.94","1,159,333,595.48"
预付款项,"50,119,206.85","27,157,324.59","24,786,058.86","37,718,105.91",,"74,118,303.55","53,811,260.53","53,045,305.18","92,723,036.65","131,557,858.82","170,708,092.05","106,284,796.71"
预收款项,"109,302,056.37","67,755,626.90","58,494,154.30","70,990,293.72",,"115,488,493.81","179,711,702.83","121,191,369.59","169,095,293.51","123,745,541.46","215,336,425.53","130,878,882.00"
其他应收款,"99,015,256.24","97,421,177.08","73,403,232.15","84,436,406.08",,"93,103,577.13","114,017,757.78","94,838,423.17","77,623,493.05","84,498,603.53","107,734,518.21","92,887,126.19"
应付职工薪酬,"22,478,117.35","27,049,792.53","26,710,572.88","21,811,944.17",,"32,142,836.68","31,708,138.81","29,912,706.25","32,604,511.98","37,237,371.06","35,549,139.67","37,578,149.57"
应收关联公司款,,,,,,,,,,,,
