科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"98,177,282.46","83,459,402.56","152,176,557.87","151,392,043.57","299,024,199.15","329,073,777.75","340,595,908.22","338,369,832.86","330,519,806.56","272,573,362.30","362,640,733.94"
短期借款,,,,,,,,,,"70,000,000.00","70,000,000.00"
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"596,000.00","6,242,416.19","15,305,125.37","5,781,681.30","9,127,336.02","14,187,493.64","20,800,943.14","18,254,443.14","12,984,963.58","5,599,624.66","3,726,000.00"
应付票据,"38,091,300.86","45,911,288.30","86,637,916.69","131,920,649.96","113,360,014.95","147,265,367.11","239,848,273.12","246,058,910.86","243,701,167.90","141,575,880.92","259,764,401.64"
应收账款,"89,989,199.03","114,683,620.41","105,088,352.59","138,946,256.95","169,989,286.39","167,592,090.55","107,988,393.84","181,298,721.55","148,599,846.10","238,220,600.83","189,512,681.82"
应付账款,"119,735,520.10","145,267,109.11","136,094,445.53","98,135,424.92","116,531,695.34","124,228,612.13","51,282,936.15","94,258,906.40","159,701,499.84","169,142,261.22","62,112,011.25"
预付款项,,,,,,,,"702,754.83","308,813.40","12,060,000.00","14,465,351.00"
预收款项,,,"987,000.00","156,371.00",,,,"2,883,000.00",,,"6,105,098.21"
其他应收款,"5,495,691.55","7,117,621.63","4,917,904.44","8,087,807.67","14,724,714.17","14,710,039.87","14,998,528.28","8,713,793.70","8,289,071.10","8,822,060.21","8,410,696.87"
应付职工薪酬,"6,131,104.51","6,296,767.83","7,315,896.86","3,437,433.26","5,844,760.86","8,363,415.85","2,811,678.89","4,253,478.86","5,529,841.06","6,833,586.37","3,136,755.57"
应收关联公司款,,,,,,,,,,,
应交税费,"12,257,996.13","11,276,135.49","15,337,542.56","9,405,362.22","10,762,521.45","12,107,103.64","5,270,267.19","8,958,729.05","6,466,640.72","9,193,375.88","5,057,440.77"
应收利息,,,,,,,,,,,
应付利息,,,,,,,,,,,
应收股利,,,,,,,,,,,
应付股利,,,,,,,,"10,241,807.84",,,
存货,"146,321,981.67","203,524,532.54","223,462,713.48","217,226,266.53","232,783,802.04","244,565,490.69","295,094,381.15","309,710,597.67","424,670,364.44","426,815,577.45","398,087,878.02"
其他应付款,"457,288.86","228,916.76","299,131.31","303,818.54","17,048,128.39","7,431,992.54","6,853,307.83","6,366,488.21","10,055,994.49","57,348,936.88","68,818,929.55"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,,,,,,"951,508.10","2,906,544.47","2,995,354.17","2,374,043.42","2,249,295.57","2,057,524.06"
其他流动负债,,,,,,,,,,,
