科目,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"83,084,608.70","16,177,410.93","91,722,758.10","99,297,778.62","156,126,869.07","115,538,036.32","164,748,929.17","234,010,790.01","66,391,456.73","166,504,388.70","220,200,855.49","300,090,073.31","50,936,323.00","113,648,087.84","147,982,291.34","231,459,298.09","29,709,903.69","98,244,901.60","124,371,554.19","236,849,779.40","42,539,524.90","119,459,635.63","153,328,963.10","332,546,030.01","43,774,485.57","129,157,626.93","227,195,933.57","391,890,175.34","49,688,745.93","122,806,033.08","188,706,593.89","469,693,746.29","30,790,994.61","138,053,889.30","222,729,084.61","522,835,099.94","59,247,608.97"
二、营业利润,"14,921,356.19","-4,480,464.76","20,497,056.15","26,137,955.68","41,114,938.39","39,880,973.29","50,093,086.31","64,155,063.13","25,471,713.18","59,420,345.78","76,777,231.11","103,644,083.46","26,277,963.52","48,473,094.57","48,431,558.09","77,794,374.26","7,899,989.04","26,795,977.27","20,405,238.53","67,319,342.69","4,668,906.40","5,466,853.95","16,868,505.95","131,348,118.92","3,444,525.25","16,149,077.95","42,683,467.65","119,514,460.66","3,293,853.18","6,222,920.47","-8,193,289.09","108,663,323.73","-21,805,903.47","-20,555,001.09","-25,647,376.03","49,751,243.33","31,965,145.64"
减:营业成本,"46,268,558.28","12,002,394.78","49,910,066.61","59,718,819.00","84,422,072.69","55,483,082.66","82,403,376.73","126,817,489.25","33,084,659.72","80,226,241.68","104,719,262.44","144,240,962.60","21,281,407.31","49,053,079.82","64,200,218.41","109,394,132.01","16,621,954.80","42,527,186.30","55,808,457.23","116,198,165.34","26,386,448.67","75,752,098.95","81,704,837.85","184,411,124.72","21,369,314.78","69,562,257.83","114,637,801.89","216,350,643.19","27,406,263.05","71,475,228.91","118,002,255.78","272,934,166.95","22,169,850.50","89,902,526.47","141,525,074.10","305,392,667.83","32,025,177.17"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"995,596.52","218,463.03","1,211,033.62","732,543.56","883,528.03","943,875.05","1,548,820.04","2,113,529.07","659,174.38","1,560,351.09","2,192,280.85","3,105,091.28","639,098.57","1,535,621.41","1,827,313.97","2,361,310.59","164,044.05","788,714.70","860,472.31","1,607,756.66","15,833.53","976,478.47","1,352,470.39","3,372,429.86","7,500.70","461,117.52","912,784.32","2,276,851.59","88,531.58","187,371.73","612,938.33","3,984,240.16","345,537.24","1,608,779.96","2,323,697.52","6,096,786.04","1,018,197.86"
营业外收入,"8,415,188.56","547,834.38","5,254,705.15","2,997,685.05","6,950,911.80","2,322,982.07","7,361,567.46","9,299,947.10","1,986,756.53","2,489,256.53","2,583,855.44","8,693,132.48","29,907.96","72,112.91","3,125,741.32","3,308,996.26","190,328.85","1,169,165.69","3,872,582.60","11,558,330.91","1,008,974.36","1,014,527.86","1,016,231.79","6,264,392.10","4,823,313.42","4,823,313.42","7,964,042.24","16,083,287.94",,"172,927.42","183,992.42","5,624,598.28","504,469.15","1,486,640.79","2,291,068.22","4,518,691.32","1,133,140.43"
销售费用,"8,177,689.36","3,167,524.18","6,719,164.01","3,593,058.71","10,869,022.43","6,339,874.73","9,423,328.26","13,525,016.62","2,609,399.44","7,166,471.81","10,965,411.98","18,265,662.07","2,864,688.57","7,384,358.48","13,434,896.24","21,304,625.22","3,485,508.97","7,855,111.49","13,947,729.06","24,914,456.32","10,734,322.67","21,387,749.62","32,856,927.12","49,807,001.17","11,554,281.32","25,181,024.82","38,228,118.17","59,017,120.11","10,784,266.45","25,585,985.46","43,601,808.11","66,484,815.29","14,450,395.47","32,517,743.52","53,240,603.08","86,122,005.92","21,517,521.91"
减:营业外支出,,,,521.92,521.92,"8,102.16","9,276.52","9,276.52","1,282.37","1,282.37","1,282.37","1,282.37",,,,,"4,660.25","6,599.93","6,599.93","6,599.93",,,,,,,"23,342.11","23,342.11",,"500,000.00","2,500,000.00","2,500,000.00","6,887.81","1,012,843.58","1,022,843.58","1,241,099.20",
管理费用,"10,470,950.23","6,111,990.49","12,901,030.09","8,869,811.22","18,803,015.56","11,904,130.40","19,030,390.93","25,762,414.56","5,605,102.06","18,974,015.91","25,782,628.50","41,893,517.29","8,184,921.50","16,025,103.92","27,780,717.41","47,488,113.60","11,185,586.92","23,964,436.82","37,253,802.27","55,460,685.68","9,061,610.63","18,482,237.97","28,140,853.62","49,446,826.64","9,992,078.72","20,698,733.70","30,720,944.53","56,758,644.86","10,880,716.97","23,540,031.97","36,012,122.62","60,093,583.24","16,123,472.65","33,887,300.30","48,895,152.24","84,679,840.26","33,222,329.46"
其中:非流动资产处置净损失,,,,,521.92,"8,102.16","9,276.52","9,276.52","1,282.37",,,"1,282.37",,,,,,"6,599.93","6,599.93","6,599.93",,,,,,,"23,342.11","23,342.11",,,,,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-121,648.17","-432,481.58","-669,431.15","-233,273.92","-116,721.80","-214,559.17","-660,681.89","-942,210.64","-1,501,884.45","-5,262,420.10","-7,232,907.05","-21,462,415.97","-9,801,819.82","-13,175,866.02","-15,761,330.90","-34,429,883.37","-9,356,604.68","-12,676,836.15","-15,034,603.48","-29,976,327.37","-8,506,660.03","-9,838,948.29","-12,614,349.45","-28,137,370.40","-5,225,408.25","-7,209,233.61","-9,394,386.73","-20,690,881.94","-4,440,295.50","-5,997,140.36","-6,995,410.66","-17,097,033.68","-1,462,649.76","-2,155,890.73","-3,999,453.34","-5,563,657.48","802,561.96"
三、利润总额,"23,336,544.75","-3,932,630.38","25,751,761.30","29,135,118.81","48,065,328.27","42,195,853.20","57,445,377.25","73,445,733.71","27,457,187.34","61,908,319.94","79,359,804.18","112,335,933.57","26,307,871.48","48,545,207.48","51,557,299.41","81,103,370.52","8,085,657.64","27,958,543.03","24,271,221.20","78,871,073.67","5,677,880.76","6,481,381.81","17,884,737.74","137,612,511.02","8,267,838.67","20,972,391.37","50,624,167.78","135,574,406.49","3,293,853.18","5,895,847.89","-10,509,296.67","111,787,922.01","-21,308,322.13","-20,081,203.88","-24,379,151.39","53,028,835.45","33,098,286.07"
