科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"59,620,941.34","59,634,967.68","55,780,349.44","377,681,857.18","332,365,426.53","328,614,429.93","362,980,908.14","342,853,744.50","369,348,067.52","354,957,890.21","413,206,159.31","392,235,618.80","365,552,291.50","337,956,047.45","388,366,365.43","288,042,174.50","235,282,141.32","209,766,607.03","246,715,527.62","187,733,302.83","141,573,471.79","124,953,837.18","189,837,061.47","144,535,605.87","80,818,687.91","91,588,233.97","160,766,152.79","106,883,959.37","141,809,230.28","986,965,348.01","399,385,362.73","398,770,579.23","307,068,133.31","403,998,530.23","349,442,279.71"
短期借款,"35,000,000.00","35,000,000.00","45,000,000.00","40,000,000.00",,,,,"20,523,482.22","23,822,681.14","23,822,681.14","12,294,755.64",,,"20,000,000.00","2,000,000.00","5,000,000.00","5,000,000.00","10,180,000.00","5,180,000.00","10,000,000.00","20,000,000.00","7,000,000.00",,,"55,000,000.00","90,000,000.00","130,000,000.00","184,500,000.00","15,000,000.00",,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"200,000.00","270,770.00","999,552.00",,,"312,800.00","822,900.00","300,000.00","274,454.00","394,210.00","100,000.00","525,500.00","1,263,780.00","1,200,000.00","5,266,203.80","5,411,077.62","1,489,816.00","2,013,000.00","5,073,310.00","11,140,805.80","11,975,980.01","12,014,947.24","5,044,439.64","4,237,994.64","3,125,994.24","6,166,853.06","8,629,140.50","17,282,804.24","19,450,562.72","18,957,635.72","17,778,727.87","20,903,217.08","13,418,262.02","17,928,303.48","46,529,703.62"
应付票据,,,,,,,,,,,,,"1,500,000.00","4,500,000.00","5,800,000.00","2,800,000.00",,,"500,000.00","2,170,000.00","3,170,000.00","6,164,653.33","1,000,000.00","1,000,000.00","4,140,000.00","4,140,000.00","7,797,232.50","12,540,000.00","20,440,000.00","23,000,000.00","11,983,000.00","8,563,000.00","9,475,431.20","8,705,431.20","18,098,282.20"
应收账款,"79,116,054.52","94,869,358.73","116,300,512.36","132,021,908.36","143,274,464.57","144,430,484.41","133,585,162.41","136,327,299.04","131,344,791.74","140,039,972.60","109,132,063.51","120,781,887.34","136,826,229.50","167,206,361.63","245,393,740.75","252,865,403.14","303,983,675.26","312,262,587.96","308,896,429.19","316,864,183.12","320,225,674.44","389,813,679.75","394,249,872.77","396,068,243.55","461,343,851.45","502,406,585.66","606,961,415.55","634,653,823.09","640,184,075.11","648,557,800.25","612,373,929.53","607,850,944.27","669,211,082.39","697,836,630.78","719,068,346.72"
应付账款,"72,635,904.52","66,386,370.92","61,572,334.86","35,850,081.53","31,773,908.12","32,846,355.99","67,262,988.43","44,220,343.90","48,590,172.81","50,705,559.59","53,066,500.59","41,358,546.40","42,876,042.82","42,558,602.44","63,198,487.59","47,042,226.27","52,580,932.42","58,976,225.35","70,219,763.48","83,680,991.16","112,840,053.21","93,326,391.69","123,103,329.11","86,801,886.75","100,096,936.00","123,093,514.98","168,842,529.06","150,540,844.84","135,339,087.98","136,617,797.13","140,587,764.82","114,994,223.50","127,583,569.21","162,762,062.96","166,806,521.34"
预付款项,"7,773,886.90","793,486.67","912,628.79","1,113,978.70","3,307,017.07","2,233,145.03","3,086,064.74","2,479,885.35","2,742,959.03","2,234,292.90","3,423,701.21","6,114,325.71","4,445,058.61","9,126,934.55","4,913,167.59","10,996,612.27","18,508,993.50","24,034,935.07","4,712,250.48","10,021,045.78","6,855,113.90","11,468,620.41","4,476,574.67","6,303,673.06","7,562,683.77","9,853,723.07","15,799,116.92","23,509,153.24","27,894,832.92","37,901,429.84","18,840,204.01","26,725,615.35","49,239,580.07","34,975,265.19","14,028,078.70"
预收款项,"5,194,396.00","470,870.00","651,043.50","643,360.01","672,283.51","1,938,977.01","2,006,738.46","1,393,492.46","1,967,742.46","2,577,219.01","6,795,599.36","8,960,250.37","1,821,915.85","3,892,168.99","2,153,582.40","7,723,923.19","2,993,537.65","12,873,648.00","3,682,482.30","4,664,266.18","4,532,128.76","6,980,752.17","10,122,063.26","8,634,457.57","8,086,356.34","8,406,670.89","11,282,915.53","10,314,443.85","10,290,526.00","19,551,889.35","17,463,365.67","22,252,252.91","28,968,168.16","12,030,086.14","31,485,675.12"
其他应收款,"2,906,922.23","5,367,073.32","5,094,610.85","4,651,813.16","5,384,359.37","6,346,543.84","4,530,392.19","6,561,852.91","8,248,770.43","8,375,157.88","5,753,234.02","6,642,453.55","9,948,100.67","12,355,253.18","18,649,022.70","34,237,912.89","29,327,737.83","29,941,764.04","23,009,857.29","29,744,005.91","37,242,032.39","39,152,745.79","30,611,241.85","39,811,293.70","49,796,424.42","50,874,564.45","36,653,581.60","57,142,587.81","56,054,502.47","59,257,502.13","44,936,152.57","59,383,292.12","61,186,852.63","72,848,545.45","40,358,863.82"
应付职工薪酬,"1,568,303.53","661,140.11","251,635.53","239,610.53","207,640.53","173,444.53",,,,,"2,091,087.60",,,,"1,634,885.29","-34,660.71",,"198,646.95","5,682,160.44","986,919.55","204,977.49","224,549.61","9,724,795.86","594,608.33","955,615.57","855,003.78","17,037,700.24","-300,822.11","1,056,324.49","1,309,398.53","21,074,441.45","1,184,000.52","926,310.14","784,301.32","22,741,206.23"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,715,012.61","614,922.23","4,733,901.28","4,371,450.44","4,699,079.57","4,600,457.34","4,785,376.69","4,447,678.90","5,848,719.69","4,496,343.92","6,384,948.49","4,932,472.47","5,329,018.13","5,905,877.88","15,890,563.22","4,848,591.77","5,650,899.18","6,086,543.15","14,384,486.80","10,923,905.70","6,893,070.26","10,572,670.11","13,185,756.06","11,394,223.78","14,997,948.75","17,703,412.52","22,760,032.13","8,132,610.27","9,458,617.04","8,734,566.78","16,704,910.90","6,849,517.13","12,036,078.94","7,530,908.36","29,314,113.65"
应收利息,,,,"150,440.28","1,432,862.90","2,708,499.00","4,020,362.90",,"2,083,916.67","3,763,958.34","3,973,510.83","6,433,337.69","4,403,081.69","4,795,687.67","3,609,869.77","4,476,633.82","3,153,075.49","3,847,051.34","1,971,864.34","2,801,048.63","2,884,954.34","1,169,989.34",,"200,218.33",,,,,,"127,649.00","4,093,401.00","6,804,738.00","10,826,613.00","8,923,402.00","13,434,743.00"
