科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"6,595,241,257.57","6,092,245,113.93","4,299,098,097.74","2,578,749,945.16","5,525,261,982.94","1,300,263,262.55","3,059,176,645.07","4,826,613,810.38","5,666,585,204.91","1,148,700,222.15","3,215,931,548.76","5,141,375,258.10","5,910,431,667.63","2,016,293,172.76","4,066,681,765.67","6,038,589,733.12","8,808,339,256.80","1,841,257,253.64","4,424,431,547.91","6,137,126,652.27","10,766,317,046.68","2,436,633,020.10","5,456,028,159.68","7,034,815,646.27","8,106,558,626.68","2,551,801,477.85","5,054,063,013.52","7,825,771,635.30","8,715,648,477.52","2,581,710,192.59","5,470,035,403.88","7,782,725,221.37","11,371,113,229.99","3,022,854,439.93"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"77,943,722.64",,,,,,,,,,,,"111,081,629.40","67,970,000.00","67,970,000.00","67,970,000.00","67,970,000.00","5,000,000.00","5,000,000.00",,,
收到的税费返还,"226,707,280.33","454,509,936.32","226,479,684.20","175,446,679.18","430,528,065.28","129,099,763.41","264,785,791.51","404,712,750.31","675,295,229.58","109,084,407.67","236,356,825.71","399,078,945.17","554,584,423.03","128,438,576.33","333,317,538.91","479,612,112.58","648,763,448.27","180,018,358.71","375,909,410.21","616,844,609.08","847,494,702.71","198,743,749.21","394,950,633.84","573,308,186.03","765,391,928.42","105,173,944.31","232,801,988.35","359,389,142.99","507,970,306.38","193,642,114.69","294,561,535.14","469,613,929.20","682,827,872.18","175,450,085.19"
支付其他与投资活动有关的现金,,,,,,,,,"12,660.00",,,"1,124,898.55",,,,"7,614,485.96","3,103,888.93",,"29,922,400.00","34,852,400.00","48,825,279.86",,,,"56,531.89",,,,"21,445,355.00",,,,,
收到其他与经营活动有关的现金,"539,666,174.65","232,190,429.33","365,113,801.16","49,467,357.82","215,847,003.90","25,487,215.64","82,542,858.10","114,393,323.26","556,474,891.07","29,246,697.42","83,065,523.43","145,497,256.84","137,319,264.32","128,679,993.62","134,226,241.90","171,234,275.94","296,153,284.95","199,421,594.29","129,867,951.53","259,967,483.30","555,476,209.98","132,826,064.92","240,693,826.97","414,625,187.31","431,543,203.30","147,067,384.43","243,095,609.98","318,773,990.31","341,655,883.15","145,915,268.98","162,212,146.33","196,736,789.96","348,066,353.90","393,791,542.80"
投资活动现金流出小计,"461,003,319.71","345,489,192.40","659,747,317.62","271,491,192.40","530,035,418.73","144,162,997.53","528,930,424.20","855,775,644.24","1,310,537,153.38","252,012,019.51","468,900,783.82","620,929,420.23","1,073,727,929.74","310,993,714.20","528,132,097.40","638,013,235.73","1,694,173,852.02","143,406,138.53","358,546,687.71","421,076,510.55","529,439,455.66","395,525,378.34","600,397,427.47","1,838,262,879.79","3,255,824,456.72","1,128,492,231.31","1,380,701,887.55","1,371,293,973.51","2,875,831,552.40","153,994,291.73","441,745,128.65","649,459,733.83","1,986,768,002.99","95,427,795.42"
经营活动现金流入小计,"7,361,614,712.55","6,778,945,479.58","4,890,691,583.10","2,803,663,982.16","6,171,637,052.12","1,454,850,241.60","3,406,505,294.68","5,345,719,883.95","6,898,355,325.56","1,287,031,327.24","3,535,353,897.90","5,685,951,460.11","6,602,335,354.98","2,273,411,742.71","4,534,225,546.48","6,689,436,121.64","9,753,255,990.02","2,220,697,206.64","4,930,208,909.65","7,013,938,744.65","12,169,287,959.37","2,768,202,834.23","6,091,672,620.49","8,022,749,019.61","9,303,493,758.40","2,817,259,068.80","5,587,632,678.63","8,503,934,768.60","9,565,274,667.05","2,986,716,241.22","5,926,809,085.35","8,449,075,940.53","12,402,007,456.07","3,592,096,067.92"
投资活动产生的现金流量净额,"-177,899,644.12","-274,336,069.89","-572,531,612.49","-251,219,836.46","-496,172,098.85","-138,010,331.14","-440,253,670.06","-766,666,800.21","-1,260,446,162.98","-229,913,030.91","-416,235,183.94","-560,555,624.82","-1,012,465,283.09","-273,108,814.37","-417,642,301.56","-503,600,732.10","-1,541,310,969.34","-131,697,588.41","-303,943,458.90","-294,477,189.10","-173,203,689.56","86,128,892.72","59,065,487.06","-858,835,672.94","-1,659,250,024.20","-372,512,097.89","-468,907,486.67","-26,416,357.04","-562,781,620.34","132,371,396.31","366,813,459.97","615,730,364.06","187,160,361.17","37,844,165.11"
购买商品、接受劳务支付的现金,"5,924,405,643.79","5,354,887,393.80","3,272,304,920.58","2,068,851,394.90","4,587,415,505.74","1,235,685,621.96","2,884,117,736.39","4,304,620,659.51","4,495,197,614.24","1,203,167,599.25","3,187,861,756.28","4,554,422,143.77","5,741,036,265.42","1,488,705,358.32","3,441,938,600.97","5,411,839,138.40","8,292,188,155.16","1,592,405,814.72","3,553,252,212.49","5,512,303,678.82","10,457,212,919.23","2,200,779,661.71","4,768,764,088.79","6,049,996,030.67","7,932,825,910.37","2,401,110,015.84","4,478,211,418.55","6,392,163,508.65","8,264,298,911.53","2,456,659,342.16","4,987,954,707.19","6,941,917,865.36","10,682,534,968.52","3,251,496,665.76"
吸收投资收到的现金,"150,430,000.00","605,328,394.21","120,000,000.00","12,100,000.00","2,864,300,000.00","4,900,000.00","4,900,000.00","132,833,800.00","132,833,800.00","7,550,000.00","7,550,000.00","7,550,000.00","7,550,000.00",,,"186,259,880.00","186,259,880.00","36,000,000.00","36,000,000.00","36,000,000.00","63,428,800.00","1,665,999,994.12","1,665,999,994.12","1,674,999,994.12","1,671,811,172.48","203,300,000.00","203,300,000.00","215,000,000.00","27,000,000.00",,"9,000,000.00","9,000,000.00","312,991,980.00",
支付给职工以及为职工支付的现金,"204,201,746.92","228,347,623.46","217,987,906.22","129,834,582.87","267,019,420.98","84,600,737.08","189,256,908.95","277,382,503.15","381,806,332.25","105,077,335.81","216,646,795.94","327,818,581.70","451,576,298.40","126,071,552.78","253,883,927.21","369,453,658.01","524,844,018.91","137,103,605.15","253,782,131.82","374,934,573.36","524,310,712.72","142,543,849.80","295,772,935.47","441,879,956.20","632,729,954.31","142,618,414.81","297,143,052.80","449,899,463.67","636,017,685.64","181,595,898.44","371,798,134.01","564,396,701.79","725,607,651.30","202,040,694.72"
取得借款收到的现金,"751,768,686.74","1,290,688,851.53","1,390,390,651.40","849,000,000.00","1,438,924,431.50","275,500,000.00","780,500,000.00","1,440,537,391.16","2,135,267,615.69","554,249,009.65","1,398,961,901.30","1,843,682,290.61","3,250,780,295.05","1,465,233,993.45","3,218,517,186.54","3,727,698,321.81","6,322,094,600.12","1,433,510,921.74","3,632,339,890.91","5,394,726,093.09","8,569,621,861.82","1,950,520,762.58","4,932,320,857.82","8,854,988,131.58","12,152,817,997.38","3,495,943,629.10","7,089,454,746.59","10,290,868,888.55","16,190,636,312.08","2,178,277,572.95","7,763,968,760.94","9,855,619,490.92","13,523,581,018.60","2,310,115,822.43"
支付的各项税费,"241,614,045.06","341,998,181.96","233,700,921.97","171,866,474.33","343,831,279.14","97,415,447.60","177,170,730.24","254,861,785.28","348,050,311.21","76,381,568.56","186,675,768.80","275,213,899.81","385,292,978.75","112,288,338.55","207,490,097.80","308,675,241.51","409,767,218.45","130,708,613.60","233,089,139.00","298,509,456.33","512,054,226.69","115,745,704.20","207,379,446.72","308,370,858.16","354,316,714.00","186,447,376.65","319,634,777.81","460,918,496.65","391,216,103.68","79,762,449.83","168,613,843.99","288,245,565.57","425,491,700.49","122,181,206.91"
收到其他与筹资活动有关的现金,,"40,374,166.51",,"75,759,966.62","104,965,321.52",,"75,003,980.19",,,"425,193,087.13","652,691,473.47","417,364,698.69","129,833,469.92",,,"109,350,882.73","187,842,178.63",,,,"1,327,322,133.79","835,994,471.13","3,327,487,398.34","6,580,689,936.86","1,619,191,501.68","1,664,820,494.54","2,997,852,460.64","4,128,842,877.81","11,482,655,896.83","3,169,730,927.25","5,487,061,020.37","7,239,272,349.34","12,073,198,809.86","2,784,559,395.80"
支付其他与经营活动有关的现金,"617,069,827.52","644,895,421.83","665,685,078.90","309,014,857.85","800,266,188.79","356,606,922.47","422,692,826.85","633,344,727.38","1,529,879,062.27","371,061,738.33","449,824,547.52","655,899,827.56","663,857,995.28","288,436,141.73","418,069,733.27","623,597,506.25","1,046,497,608.75","335,192,931.93","426,032,144.67","478,942,974.95","1,043,764,256.87","394,568,873.16","590,432,039.41","935,315,586.68","1,841,669,097.98","368,946,449.86","607,290,599.53","1,038,462,877.10","1,016,222,622.56","373,424,536.87","561,269,498.25","758,023,700.45","898,763,218.00","216,067,161.15"
筹资活动现金流入小计,"902,198,686.74","1,936,391,412.25","1,510,390,651.40","936,859,966.62","4,408,189,753.02","280,400,000.00","860,403,980.19","1,573,371,191.16","2,268,101,415.69","986,992,096.78","2,059,203,374.77","4,149,596,989.30","5,269,163,764.97","1,465,233,993.45","3,218,517,186.54","4,023,309,084.54","6,696,196,658.75","1,469,510,921.74","3,668,339,890.91","5,430,726,093.09","9,960,372,795.61","4,452,515,227.83","9,925,808,250.28","17,110,678,062.56","15,443,820,671.54","7,349,364,123.64","12,275,907,207.23","16,620,011,766.36","29,685,592,208.91","5,348,008,500.20","13,260,029,781.31","17,103,891,840.26","25,909,771,808.46","5,094,675,218.23"
经营活动现金流出小计,"6,987,291,263.29","6,570,128,621.05","4,389,678,827.67","2,679,567,309.95","5,998,532,394.65","1,774,308,729.11","3,673,238,202.43","5,470,209,675.32","6,754,933,319.97","1,755,688,241.95","4,041,008,868.54","5,813,354,452.84","7,241,763,537.85","2,015,501,391.38","4,321,382,359.25","6,713,565,544.17","10,273,297,001.27","2,195,410,965.40","4,466,155,627.98","6,664,690,683.46","12,537,342,115.51","2,853,638,088.87","5,862,348,510.39","7,735,562,431.71","10,761,541,676.66","3,099,122,257.16","5,702,279,848.69","8,405,728,136.13","10,458,796,149.77","3,091,442,227.30","6,322,928,381.86","8,766,108,935.75","12,732,397,538.31","3,791,785,728.54"
偿还债务支付的现金,"724,506,281.48","1,184,641,404.73","911,000,965.60","361,102,981.40","869,309,681.58","1,311,886,524.04","1,547,886,524.04","1,547,886,524.04","2,319,886,524.04","590,417,196.52","871,019,974.27","1,788,306,940.11","2,532,232,087.61","892,762,386.40","2,044,940,751.23","2,548,120,618.37","3,642,950,579.46","1,809,635,094.32","3,551,105,366.37","4,793,968,924.63","6,253,837,905.19","2,634,596,864.81","5,060,765,859.29","8,139,454,992.32","10,281,097,174.43","3,613,018,654.78","7,924,080,923.08","10,944,696,536.66","16,733,419,143.98","2,698,124,253.11","6,809,969,640.56","8,372,707,522.20","13,709,906,559.13","2,261,999,896.02"
经营活动产生的现金流量净额,"374,323,449.26","208,816,858.53","501,012,755.43","124,096,672.21","173,104,657.47","-319,458,487.51","-266,732,907.75","-124,489,791.37","143,422,005.59","-468,656,914.71","-505,654,970.64","-127,402,992.73","-639,428,182.87","257,910,351.33","212,843,187.23","-24,129,422.53","-520,041,011.25","25,286,241.24","464,053,281.67","349,248,061.19","-368,054,156.14","-85,435,254.64","229,324,110.10","287,186,587.90","-1,458,047,918.26","-281,863,188.36","-114,647,170.06","98,206,632.47","-893,521,482.72","-104,725,986.08","-396,119,296.51","-317,032,995.22","-330,390,082.24","-199,689,660.62"
分配股利、利润或偿还利息支付的现金,"459,245,354.91","65,273,679.48","165,051,724.34","239,379,434.84","294,156,559.66","12,245,657.17","363,081,171.32","384,007,330.12","396,851,574.64","24,200,162.84","222,795,125.26","259,867,549.90","330,481,837.75","28,041,513.43","220,946,716.06","401,910,819.57","486,869,758.28","36,801,522.24","315,420,233.27","490,386,845.56","641,980,467.80","68,147,702.64","136,813,500.73","632,198,395.75","876,405,029.56","68,757,205.45","141,412,133.41","398,676,780.55","746,764,265.22","190,276,996.40","334,312,086.34","660,406,652.75","691,230,301.93","192,915,843.58"
收回投资收到的现金,"112,593,600.00","46,029,200.00","563,291.44",,,,,,,,,,"284,919.95","26,600,000.00","83,600,000.00","83,602,947.16","52,583,684.93","10,000,000.00","32,000,000.00","24,500,000.00","208,729,341.27","279,000,000.00","426,273,731.61","650,700,000.00","1,270,876,572.42","647,491,685.30","806,059,278.54","1,142,975,780.00","1,887,475,777.97","74,009,571.18","437,183,017.18","801,550,794.49","1,419,467,031.00","131,170,834.76"
