科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
三、利润总额,"338,995,047.26","459,532,265.92","535,690,246.37","261,905,592.89","421,873,135.66","571,804,240.76","168,080,488.07","347,236,020.03","518,139,735.05","656,412,720.48","182,159,494.74","393,824,232.11","567,006,314.43","747,717,640.01","190,010,031.44","428,921,212.19","749,143,590.42","948,095,576.48","250,061,385.74","553,963,001.46","835,901,400.16","1,106,711,516.00","295,080,540.90","627,695,092.83","872,070,301.86","1,241,905,887.94","259,634,576.77","530,925,931.03","788,546,528.98","1,151,187,999.52","242,489,221.09"
资产减值损失,"79,015,424.84","-69,175,958.44","8,260,087.34","-277,562.55","-364,810.17","12,205,686.05",,"648,205.41","628,205.41","5,031,406.66",,"2,465,425.17","2,327,164.54","5,409,945.69",,"-1,546,574.56","-1,546,574.56","46,810,006.30",,"1,086,159.92","1,086,159.92","15,254,619.15","534,962.49","4,513,173.26","4,516,731.67","15,772,880.55","820,208.08","3,601,648.60","3,471,368.63","20,973,234.59","-1,158,221.87"
减:所得税,"51,105,680.58","89,218,948.42","83,106,630.18","36,870,696.01","63,269,243.37","86,301,563.56","24,519,452.86","50,815,313.85","76,421,970.48","72,040,723.66","27,595,957.72","59,560,547.55","82,353,925.49","110,229,359.67","27,544,538.38","60,896,274.86","92,046,454.43","125,866,170.17","37,192,269.45","86,806,785.45","123,348,090.26","157,327,357.18","47,435,327.17","89,697,538.88","127,221,846.02","181,305,267.69","34,464,215.27","73,850,461.48","117,854,087.45","151,917,838.84","38,646,510.07"
加:公允价值变动净收益,"16,890,060.00","-2,507,200.00","13,799,000.00","-17,173,000.00","-16,457,500.00","-10,454,100.00","-2,411,900.00","11,487,100.00","10,317,100.00","5,352,510.96","-2,872,410.96","-14,420,616.45","-7,765,376.72","-9,267,292.44","2,410,008.44","1,454,004.44","860,292.44","2,410,663.67","1,310,958.90","1,715,068.49","3,391,780.82","39,626,559.32","-2,356,712.33","-2,356,712.33","-2,255,013.70","49,328,170.56","29,966,567.89","-30,248,549.87","-106,503,386.65","15,564,671.45","77,609,839.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"-13,703,355.65","11,547,522.79","25,678,600.12","11,514,216.34","12,116,690.80","13,231,690.73","3,195,234.23","6,888,334.24","13,575,571.10","25,700,993.89","7,265,056.40","8,003,480.31","11,874,694.01","21,901,651.11","13,486,750.60","27,737,805.76","142,593,162.75","146,661,029.74","2,757,216.97","11,476,521.96","16,175,136.62","21,333,645.24","6,970,980.91","11,128,889.10","12,493,205.69","19,901,780.81","6,631,602.42","16,690,306.83","-39,836,001.05","-109,229,647.20","-42,423,279.47"
四、净利润,"287,889,366.68","370,313,317.50","452,583,616.19","225,034,896.88","358,603,892.29","485,502,677.20","143,561,035.21","296,420,706.18","441,717,764.57","584,371,996.82","154,563,537.02","334,263,684.56","484,652,388.94","637,488,280.34","162,465,493.06","368,024,937.33","657,097,135.99","822,229,406.31","212,869,116.29","467,156,216.01","712,553,309.90","949,384,158.82","247,645,213.73","537,997,553.95","744,848,455.84","1,060,600,620.25","225,170,361.50","457,075,469.55","670,692,441.53","999,270,160.68","203,842,711.02"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,"151,983.34","402,141.72",,"3,080,754.33","3,146,417.55","-376,105.70",,,"-1,199,807.91",,,,"-2,090,341.63","-556,712.31","-1,021,070.22","-1,493,538.38","-2,737,792.51","-508,955.28"
归属于母公司所有者的净利润,"287,889,366.68","370,328,983.78","440,677,077.13","213,982,848.20","341,986,128.76","461,798,326.02","137,341,485.15","280,910,845.67","417,062,328.51","552,326,718.87","144,800,965.30","318,542,738.30","465,363,521.91","610,358,711.95","158,567,296.83","349,587,777.57","632,810,430.01","770,258,903.54","196,496,383.89","427,056,611.78","653,082,235.59","865,593,757.75","230,875,175.18","501,149,466.75","690,651,673.73","964,550,908.31","210,704,150.20","417,387,056.87","609,803,477.89","919,284,265.12","201,912,327.86"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,"-15,666.28","11,906,539.06","11,052,048.68","16,617,763.53","23,704,351.18","6,219,550.06","15,509,860.51","24,655,436.06","32,045,277.95","9,762,571.72","15,720,946.26","19,288,867.03","27,129,568.39","3,898,196.23","18,437,159.76","24,286,705.98","51,970,502.77","16,372,732.40","40,099,604.23","59,471,074.31","83,790,401.07","16,770,038.55","36,848,087.20","54,196,782.11","96,049,711.94","14,466,211.30","39,688,412.68","60,888,963.64","79,985,895.56","1,930,383.16"
