科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"1,056,628,649.89","1,362,546,083.80","1,443,974,223.30","714,586,210.62","1,638,485,095.92","362,968,597.50","933,647,012.38","1,528,630,642.83","2,150,761,318.31","402,678,079.90","1,010,917,111.11","1,763,436,646.04","2,493,726,293.76","688,418,350.02","1,829,539,713.03","2,666,774,656.49","3,821,738,706.64","703,543,136.29","1,803,947,133.15","3,016,333,059.59","4,187,168,250.54","1,401,043,448.06","2,588,079,223.45"
二、营业利润,"82,576,349.44","107,000,722.25","116,086,317.66","48,668,563.23","106,197,400.96","3,284,277.31","41,552,586.20","50,400,343.31","91,034,781.82","21,644,131.47","47,421,867.88","78,544,105.44","114,177,651.69","28,713,432.44","70,393,708.02","127,559,135.17","183,257,848.18","55,335,202.88","141,764,183.79","202,787,612.59","265,316,425.08","99,777,998.05","187,386,072.86"
减:营业成本,"912,610,814.39","1,174,258,312.41","1,228,747,280.19","599,935,203.54","1,406,432,420.09","320,092,764.07","815,848,272.62","1,345,509,279.91","1,891,112,834.18","349,708,123.66","886,606,821.23","1,555,299,512.49","2,205,319,242.99","594,306,947.33","1,613,712,684.92","2,351,177,578.12","3,397,990,460.59","572,341,679.81","1,490,688,892.41","2,549,208,038.12","3,579,119,341.03","1,200,383,368.15","2,234,464,357.62"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"8,288,545.27","13,295,719.34","7,918,627.01","872,087.02","2,510,958.16","204,144.62","981,687.42","2,834,074.89","3,255,467.69","312,168.55","978,249.08","1,374,490.27","1,611,137.37","532,693.73","2,239,470.36","2,645,990.69","4,148,962.81","1,726,080.78","3,700,795.66","6,422,834.91","9,303,114.40","3,772,687.39","4,137,306.28"
营业外收入,"1,262,729.12","1,580,513.02","7,123,590.48","2,279,291.39","6,335,365.84","877,104.63","4,883,071.68","8,236,789.17","8,819,377.45","231,783.31","2,402,356.54","5,679,236.52","7,277,592.62","6,415,612.00","12,889,859.47","13,916,072.06","14,827,669.48","4,782,936.86","6,875,476.51","17,302,519.83","357,386.94","11,335.60","373,533.40"
销售费用,"14,231,581.05","21,930,146.30","34,648,623.72","25,958,314.21","49,220,646.13","15,728,069.17","26,949,825.09","47,658,560.96","60,136,448.01","22,223,411.13","37,367,493.68","56,631,718.47","76,815,874.46","27,515,634.28","57,371,365.24","81,419,041.50","106,828,536.59","37,682,317.91","72,229,116.70","116,228,256.31","145,398,716.62","45,811,925.57","78,214,504.93"
减:营业外支出,"456,544.49","565,818.56","434,829.05","397,595.10","1,617,789.79","156,122.09","2,318,361.51","4,455,563.79","4,123,974.15","460,829.84","1,016,177.82","1,772,719.15","2,692,807.54","622,263.51","1,395,607.06","1,757,510.64","2,152,156.61","205,262.46","267,598.89","384,539.15","928,991.75","22,000.00","180,563.25"
管理费用,"38,622,500.89","47,094,302.89","56,604,711.69","33,009,536.86","65,222,864.17","19,535,472.91","33,366,006.88","59,224,620.88","77,634,302.67","22,217,343.15","46,317,035.74","74,524,978.59","103,036,931.04","37,017,550.47","73,805,439.18","101,126,530.56","135,216,259.51","33,743,780.69","74,749,176.27","115,508,324.84","150,395,769.15","37,913,843.76","74,233,599.25"
其中:非流动资产处置净损失,,"26,494.60","90,725.96",,"11,620.50",,,,,,,,"13,546.90",,"83,473.76",,"58,428.74",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"162,926.56","1,096,187.30","1,557,841.07","-674,151.89","1,219,405.03","-1,053,982.09","-2,875,702.48","-4,732,589.52","-5,105,620.05","-1,912,390.41","-2,449,745.75","-3,539,665.16","479,352.31","334,990.50","71,450.85","1,234,999.49","4,633.62","-1,588,250.86","166,703.32","3,244,552.84","7,432,980.99","2,526,835.95","4,666,349.12"
三、利润总额,"83,382,534.07","108,015,416.71","122,775,079.09","50,550,259.52","110,914,977.01","4,005,259.85","44,117,296.37","54,181,568.69","95,730,185.12","21,415,084.94","48,808,046.60","82,450,622.81","118,762,436.77","34,506,780.93","81,887,960.43","139,717,696.59","195,933,361.05","59,912,877.28","148,372,061.41","219,705,593.27","264,744,820.27","99,767,333.65","187,579,043.01"
资产减值损失,"135,932.29","-2,129,306.69","-1,589,178.04","6,316,657.65","7,181,401.38","5,177,851.51","17,824,336.65","27,736,352.40","32,716,619.06","-11,514,707.65","-5,030,413.44","1,516,814.17","-6,013,423.76","624,059.33","15,624,504.37","6,400,090.57","-2,618,311.77","6,214,996.59","22,632,765.11","26,380,677.25","53,208,375.93","18,048,895.24","16,338,370.19"
减:所得税,"13,148,970.24","18,444,374.16","28,522,198.44","13,661,331.35","26,949,914.42","1,559,333.50","12,154,644.28","14,242,508.74","24,250,685.25","5,474,912.78","14,166,982.30","23,292,599.58","29,962,057.40","9,578,434.53","19,493,054.24","33,553,453.89","46,497,707.82","5,526,831.73","9,167,747.31","22,008,544.47","24,294,981.59","2,715,062.27","10,950,674.21"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,"-500,000.00","-500,000.00",,,,"23,515.07",,"294,197.31","915,308.23","1,700,472.34","626,958.06","3,678,909.91","4,788,709.61","3,089,682.89","1,912,671.51","1,984,500.11","3,447,237.27","3,757,138.94","-57,152.17","759,852.69"
四、净利润,"70,233,563.83","89,571,042.55","94,252,880.65","36,888,928.17","83,965,062.59","2,445,926.35","31,962,652.09","39,939,059.95","71,479,499.87","15,940,172.16","34,641,064.30","59,158,023.23","88,800,379.37","24,928,346.40","62,394,906.19","106,164,242.70","149,435,653.23","54,386,045.55","139,204,314.10","197,697,048.80","240,449,838.68","97,052,271.38","176,628,368.80"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,"-1,258.02",,,,"495,915.86",,"1,016,587.48","2,431,052.26","2,685,423.75",,"555,984.49"
归属于母公司所有者的净利润,"70,233,563.83","89,570,568.15","94,520,502.65","37,107,082.68","84,088,324.28","2,597,310.04","31,942,574.94","39,735,530.84","70,819,286.34","16,074,222.84","34,711,257.88","59,195,618.27","88,334,018.37","23,650,665.26","59,114,875.83","100,768,716.87","141,554,051.32","53,210,522.27","135,297,184.60","189,828,722.76","231,088,681.77","97,204,659.38","174,093,216.61"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,474.40,"-267,622.00","-218,154.51","-123,261.69","-151,383.69","20,077.15","203,529.11","660,213.53","-134,050.68","-70,193.58","-37,595.04","466,361.00","1,277,681.14","3,280,030.36","5,395,525.83","7,881,601.91","1,175,523.28","3,907,129.50","7,868,326.04","9,361,156.91","-152,388.00","2,535,152.19"
