科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
应交税费,"-1,256,846.56","-732,844.71","-6,156,982.97","-6,997,361.34","-8,621,226.10","-8,021,829.56","-8,628,920.28","-9,153,352.05","-8,323,060.96","-7,835,456.46","-8,033,333.43","-9,426,413.72","-8,466,737.34","-7,597,749.31","-8,221,879.67","-10,216,577.06","-9,595,525.13","-12,833,314.48","-6,616,392.86","-9,934,475.34","-24,642,735.33","-22,249,630.59","-25,065,874.71","-27,367,090.28","-31,165,901.76","-30,698,286.80","-33,392,018.45","-31,647,836.23","-4,390,398.86","-4,418,140.71","-7,154,790.53","-5,995,283.17","1,099,664.25","1,371,217.39","780,931.95","935,054.01","954,042.60","1,437,525.87","1,884,259.71","1,765,590.51"
应收利息,,,,,,,,,,"50,025.00",,,,,,,,,,,,,"6,925,041.66","6,925,041.66",,,"1,644,588.05","2,152,765.87","17,264,539.64","1,707,776.20","133,585.88","110,813.37","1,966.26",,"443,659.49","132,490.05","222,822.82","116,136.12",,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"135,284,511.53","141,263,676.97","170,440,764.95","169,396,455.26","157,439,554.58","158,932,012.37","150,941,462.51","158,424,441.20","155,284,320.67","173,398,013.78","163,257,381.22","161,905,098.42","158,767,999.72","209,360,462.36","219,693,693.77","212,224,444.14","213,549,486.41","242,770,652.47","256,101,974.68","252,544,454.36","216,469,553.64","244,783,144.20","251,905,655.22","241,358,229.91","198,304,504.01","192,204,313.81","210,141,628.72","227,461,541.28","236,945,695.31","258,613,340.27","224,639,774.02","187,548,814.12","178,346,578.61","224,187,757.53","260,604,526.59","284,592,621.19","246,298,278.88","286,168,199.43","262,164,990.17","231,656,983.39"
其他应付款,"3,422,314.15","4,026,576.82","6,564,656.02","1,562,667.79","4,207,362.13","4,272,874.40","4,129,957.64","4,179,463.93","3,038,847.40","4,657,897.30","2,161,414.20","2,393,381.89","2,697,306.21","4,881,775.60","20,828,983.06","2,875,291.90","2,643,046.16","2,655,933.48","2,627,478.40","2,688,607.44","2,830,949.70","2,734,990.98","2,695,283.63","2,673,147.62","6,428,146.58","155,190,474.90","3,199,203.23","3,354,262.79","8,871,465.43","7,503,836.65","7,897,101.26","7,742,256.74","6,395,013.19","9,946,163.13","10,431,164.82","10,987,808.20","11,476,049.93","14,090,175.46","311,005,729.53","440,884,391.06"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,"10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","9,000,000.00","9,000,000.00","8,000,000.00","10,000,000.00","6,000,000.00",,,,,,"2,700,000.00","2,700,000.00","2,700,000.00","2,700,000.00",,,,,,,,,,,,,"57,800,000.00",,,"131,400,000.00","173,200,000.00","164,200,000.00","124,200,000.00","4,700,000.00"
其他流动资产,,"76,806.00","51,204.00",,,,"8,680.00","8,770.01","7,360.01",910.01,"629,595.00","1,202,050.69","420,753.33","13,638.57",,,,,,,,,,,,"300,000,000.00","300,000,000.00","300,000,000.00","326,888,613.76","277,803,195.85","227,485,080.30","26,437,648.75","28,187,853.98","27,476,866.09","32,784,423.18","31,025,769.33","30,776,455.56","27,083,200.67","25,442,064.45","26,731,458.46"
其他流动负债,,,,,,,,,,,,,"4,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"232,984,286.94","231,868,909.49","545,838,639.39","553,288,604.27","529,309,509.64","501,535,102.21","490,827,454.79","518,388,814.76","474,405,942.63","439,238,189.23","466,669,846.90","464,711,471.16","431,781,323.29","458,338,176.61","516,525,302.64","576,781,065.17","1,395,274,372.63","1,285,858,297.25","1,302,793,750.61","1,280,690,003.46","1,186,315,529.57","1,167,774,014.94","1,090,831,966.04","1,022,734,628.34","828,925,172.39","1,257,259,572.76","1,087,286,772.96","993,530,401.39","1,009,519,048.71","897,942,854.00","788,373,353.23","570,067,707.47","503,977,776.79","693,342,086.23","795,407,705.56","757,245,594.57","671,692,524.18","682,653,618.46","648,770,191.18","580,154,789.45"
流动负债合计,"317,909,951.51","289,720,866.47","341,763,457.80","345,376,337.07","379,420,152.64","373,499,472.27","397,598,009.80","421,908,670.49","442,440,849.42","439,226,013.93","491,626,278.46","471,718,768.15","468,963,399.77","462,328,128.12","495,783,356.91","451,583,195.54","508,260,154.26","387,126,199.79","559,369,243.79","621,526,259.74","683,939,256.07","701,592,998.40","690,269,989.78","727,203,059.55","677,395,776.95","1,128,277,988.56","903,860,842.47","862,845,232.65","915,267,338.39","870,588,585.87","856,037,436.90","722,839,092.03","683,402,763.55","557,828,943.16","604,390,340.69","641,775,690.78","738,142,195.45","874,623,929.87","936,089,201.23","1,032,670,493.32"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,"30,000,000.00","35,932,836.71","20,400,000.00","15,000,000.00","10,000,000.00","10,000,000.00","6,000,000.00","6,000,000.00","2,000,000.00",,,,,,,,,,,,,,,,,"58,000,000.00","58,000,000.00","58,000,000.00","57,800,000.00","57,800,000.00","57,800,000.00","76,800,000.00","174,000,000.00","452,000,000.00","450,700,000.00","319,400,000.00","326,000,000.00","301,000,000.00","298,900,000.00","328,400,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"5,350,667.15","5,350,667.15","5,350,667.15","5,350,667.15","5,400,000.00","5,400,000.00","5,400,000.00","5,400,000.00","5,400,000.00","5,400,000.00","5,400,000.00","5,400,000.00","5,400,000.00","5,400,000.00","5,400,000.00","5,400,000.00",,,,,,,,,,,,,,,,,,,,,,,,
