科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"316,534,454.09","447,623,206.24","553,260,749.49","101,102,091.21","245,882,283.72","401,999,902.18","561,086,247.36","110,265,857.77","300,231,719.78","483,364,566.45","662,806,957.86","111,717,304.06","302,883,681.92","503,385,945.03","690,217,874.27","131,262,286.30","349,046,970.39","569,352,607.27","799,809,505.95","157,773,292.84","430,923,280.86","702,224,550.32","987,038,772.01","215,646,732.89","606,449,516.58","962,897,426.12","1,366,513,724.51","286,721,733.34"
二、营业利润,"50,974,756.12","74,279,371.11","72,463,195.30","16,293,100.79","38,620,178.01","66,161,820.69","83,452,297.12","15,878,345.97","46,222,926.81","83,751,629.13","105,173,278.24","13,813,311.96","47,178,317.14","84,703,720.16","108,255,806.26","17,630,761.58","57,783,062.34","101,701,710.23","128,043,758.80","20,723,150.22","69,714,780.46","115,880,782.50","153,473,670.87","23,652,449.02","85,866,647.65","138,449,643.99","177,192,777.43","22,393,899.77"
减:营业成本,"214,668,975.90","301,543,330.72","375,401,620.52","66,409,415.78","161,393,080.88","262,242,189.48","363,029,757.29","70,227,923.96","191,260,664.17","308,716,662.78","422,345,327.65","73,971,706.06","196,435,750.36","325,159,488.39","444,316,155.57","86,093,484.22","228,325,203.19","368,600,326.17","520,799,984.53","96,299,565.82","272,451,315.44","446,760,960.43","637,623,232.68","145,829,887.86","397,921,786.22","640,395,448.63","908,733,880.77","201,160,314.55"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"660,019.25","944,246.39","2,972,543.51","721,503.93","1,746,960.52","3,628,136.70","4,614,785.72","937,522.12","2,521,903.74","3,959,641.01","5,137,444.19","680,017.67","2,221,538.20","3,655,716.04","5,094,978.43","1,093,959.19","2,566,949.63","3,905,828.25","5,402,024.01","1,320,946.57","2,881,948.65","4,628,228.38","10,633,288.90","1,841,797.70","5,651,156.94","7,639,543.83","12,975,060.84","1,573,662.87"
营业外收入,"1,522,614.06","1,502,446.50","1,824,929.23","249,000.81","272,749.44","999,518.00","7,642,157.85","2,261,640.40","2,620,501.01","3,862,220.58","5,266,427.76","473,108.77","671,262.61","884,044.61","2,351,830.89","1,539,583.20","2,694,357.24","3,161,667.80","7,196,612.42","14,651,265.26","16,236,106.00","16,922,026.26","20,364,160.58","142,222.00","3,238,537.30","3,940,948.66","18,724,466.31","2,105,825.77"
销售费用,"24,650,906.70","32,369,336.05","40,989,291.82","7,375,340.35","18,776,839.28","31,294,080.31","44,202,888.42","11,230,019.39","26,890,841.40","39,070,527.62","55,322,139.75","9,736,001.79","25,197,246.91","39,679,342.55","55,037,280.53","13,121,835.10","28,124,038.38","43,720,611.81","59,393,864.98","17,191,722.59","32,796,764.26","52,161,528.22","72,805,076.35","18,123,774.28","44,148,363.23","65,365,853.23","87,230,838.02","18,418,624.33"
减:营业外支出,"200,302.63","389,102.09","227,101.34","99,985.00","102,635.00","159,762.91","464,602.68","89,738.04","218,577.45","247,841.26","422,880.03","138,440.53","286,895.28","338,892.52","350,699.73","67,398.78","88,982.59","102,762.44","254,467.17","52,689.39","253,991.79","378,951.26","529,394.38","37,712.50","49,112.50","306,116.39","1,753,751.48","82,694.00"
管理费用,"19,348,569.41","29,358,271.16","47,793,450.17","8,048,952.21","19,758,365.95","30,513,772.06","53,162,961.25","10,142,052.06","26,617,241.44","43,514,178.02","66,737,148.55","13,137,873.35","30,384,253.51","47,081,454.97","70,151,549.92","15,974,560.38","33,672,032.52","54,168,174.31","85,535,901.28","20,478,911.33","46,740,057.71","72,256,648.54","100,945,469.98","26,585,201.09","62,082,910.09","94,042,872.43","153,175,146.70","39,110,919.59"
其中:非流动资产处置净损失,,,,,,,"234,830.28",,,,"126,109.19",,,,"91,039.29",371.30,371.30,"2,851.15","26,884.02",,"145,152.08","145,152.08","145,765.97",,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"5,283,041.30","7,690,923.32","10,904,572.81","2,253,778.15","5,586,859.08","8,159,902.94","7,569,167.99","1,849,994.27","3,335,346.13","2,021,424.64","2,122,756.59","378,393.23","614,296.04","2,103,670.87","3,812,065.11","1,840,642.73","3,150,543.35","4,379,313.31","7,075,160.94","2,857,895.40","4,905,637.02","7,438,608.84","8,486,364.61","1,990,136.91","5,735,069.01","9,932,155.34","16,384,565.00","8,547,258.92"
