科目,2009年度,2010年度,2011年度,2012年1-6月,2012年度,2013年度,2014年度,2015年1-6月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"966,534,743.67","1,633,392,216.42","2,291,217,078.80","1,327,265,015.34","2,884,665,874.50","2,733,626,542.19","2,896,674,669.48","1,188,264,416.90","2,358,974,020.45","590,762,194.48","1,140,553,137.08","1,698,097,416.21","2,452,825,449.50","562,356,568.99","1,458,007,026.99","2,412,384,236.29","3,062,268,297.58","643,072,583.56","1,502,254,276.29"
取得子公司及其他营业单位支付的现金净额,,,"76,566,500.00",,,,,,,,,,,,,,,,
收到的税费返还,,,,,,"288,736.94","771,951.03","253,376.55","1,084,185.70","155,807.12","155,807.12","598,947.94","664,194.80","2,573.88","2,573.88","9,104.81","452,465.56",,"453,411.53"
支付其他与投资活动有关的现金,,,"31,534,889.88",,,,,,,,,,"100,000,000.00",,,,,,
收到其他与经营活动有关的现金,"42,089,096.40","62,755,869.66","30,073,522.69","45,250,425.95","25,803,176.80","35,145,652.11","13,844,202.90","8,038,592.44","19,090,934.25","2,398,985.17","2,788,038.92","2,892,493.09","29,122,330.24","1,511,778.73","2,758,509.84","3,977,647.94","32,705,533.18","1,231,060.59","3,617,988.67"
投资活动现金流出小计,"366,002,518.08","588,576,910.90","626,278,015.47","341,801,227.11","634,689,074.64","610,457,146.96","241,891,139.31","59,467,847.24","142,588,796.21","32,523,399.33","38,158,221.34","177,606,468.03","322,668,513.91","137,028,705.94","360,822,845.98","480,737,771.49","890,162,930.41","56,206,516.65","216,687,413.70"
经营活动现金流入小计,"1,008,623,840.07","1,696,148,086.08","2,321,290,601.49","1,372,515,441.29","2,910,469,051.30","2,769,060,931.24","2,911,290,823.41","1,196,556,385.89","2,379,149,140.40","593,316,986.77","1,143,496,983.12","1,701,588,857.24","2,482,611,974.54","563,870,921.60","1,460,768,110.71","2,416,370,989.04","3,095,426,296.32","644,303,644.15","1,506,325,676.49"
投资活动产生的现金流量净额,"-341,344,809.32","-588,432,347.00","-626,150,891.40","-341,660,200.75","-634,512,920.78","-607,571,414.84","-241,222,765.57","-58,795,784.99","-141,681,441.46","-32,501,396.57","-38,054,407.18","-177,445,604.87","-321,458,857.97","-35,560,039.27","-57,723,823.23","-76,913,673.26","-395,227,902.67","-5,611,950.21","-166,063,297.26"
购买商品、接受劳务支付的现金,"637,709,322.92","947,870,229.85","1,475,587,998.36","759,296,240.91","1,548,669,057.69","1,509,251,350.22","1,653,648,004.67","665,989,129.99","1,125,820,428.29","320,268,456.44","655,972,722.93","885,408,069.18","1,150,384,790.41","342,455,382.08","941,877,183.65","1,591,729,569.96","1,719,795,103.48","377,569,834.65","1,001,577,266.71"
吸收投资收到的现金,"120,000,000.00","178,843,000.00","132,592,800.00","6,000,000.00","6,000,000.00",,,,"301,100,000.00",,,,,,,,,,
支付给职工以及为职工支付的现金,"112,284,858.11","154,204,662.73","196,829,201.00","105,502,004.82","234,091,920.52","251,732,499.23","268,148,328.78","129,812,181.40","270,495,841.48","75,501,306.72","122,980,864.39","206,997,532.86","282,717,471.96","78,245,057.03","140,517,627.58","212,454,485.86","303,521,871.93","80,865,447.14","150,954,528.78"
取得借款收到的现金,"977,760,000.00","583,500,000.00","1,105,850,000.00","724,000,000.00","1,512,150,000.00","1,625,500,000.00","1,448,000,000.00","1,084,000,000.00","1,589,000,000.00","40,000,000.00","465,000,000.00","845,000,000.00","1,394,000,000.00","180,000,000.00","745,000,000.00","1,015,000,000.00","1,480,000,000.00","495,000,000.00","1,019,500,000.00"
支付的各项税费,"105,318,519.87","169,096,822.91","212,259,529.99","138,453,399.38","252,531,635.66","255,837,205.88","244,061,211.34","122,032,018.30","248,242,377.02","63,815,546.53","127,489,624.91","177,888,713.80","221,105,190.47","47,870,666.82","105,540,683.44","170,997,335.60","223,437,363.65","48,018,692.13","119,624,785.04"
收到其他与筹资活动有关的现金,"200,000,000.00","72,000,000.00",,,,,"100,000,000.00",,,,,,,,,,,,
支付其他与经营活动有关的现金,"182,444,737.95","188,820,528.05","301,772,221.37","119,702,319.14","273,239,010.29","259,035,302.93","323,976,304.55","130,280,294.35","234,772,260.15","68,044,189.05","107,459,176.50","156,660,050.43","239,235,479.38","53,026,459.39","105,810,278.28","141,390,725.49","275,050,801.20","65,601,116.27","98,370,334.41"
筹资活动现金流入小计,"1,297,760,000.00","834,343,000.00","1,238,442,800.00","730,000,000.00","1,518,150,000.00","1,823,700,000.00","1,845,300,000.00","1,084,000,000.00","1,890,100,000.00","40,000,000.00","465,000,000.00","845,000,000.00","1,394,000,000.00","180,000,000.00","745,000,000.00","1,015,000,000.00","1,480,000,000.00","495,000,000.00","1,019,500,000.00"
经营活动现金流出小计,"1,037,757,438.85","1,459,991,243.54","2,186,448,950.72","1,122,953,964.25","2,308,531,624.16","2,275,856,358.26","2,489,833,849.34","1,048,113,624.04","1,879,330,906.94","527,629,498.74","1,013,902,388.73","1,426,954,366.27","1,893,442,932.22","521,597,565.32","1,293,745,772.95","2,116,572,116.91","2,521,805,140.26","572,055,090.19","1,370,526,914.94"
偿还债务支付的现金,"692,088,000.00","521,112,000.00","512,612,000.00","491,906,000.00","1,284,612,000.00","1,462,112,000.00","1,760,212,000.00","1,129,956,000.00","1,711,012,000.00","208,726,400.38","647,500,000.00","1,115,350,000.00","1,652,000,000.00","163,000,000.00","775,000,000.00","1,064,800,000.00","1,531,000,000.00","400,000,000.00","929,000,000.00"
经营活动产生的现金流量净额,"-29,133,598.78","236,156,842.54","134,841,650.77","249,561,477.04","601,937,427.14","493,204,572.98","421,456,974.07","148,442,761.85","499,818,233.46","65,687,488.03","129,594,594.39","274,634,490.97","589,169,042.32","42,273,356.28","167,022,337.76","299,798,872.13","573,621,156.06","72,248,553.96","135,798,761.55"
分配股利、利润或偿还利息支付的现金,"86,912,320.14","69,947,082.52","135,067,299.01","72,116,940.11","186,740,173.49","167,957,280.07","194,819,852.76","87,015,480.49","143,813,074.57","18,953,923.28","82,564,547.31","97,499,890.77","135,757,319.97","18,565,989.02","78,869,531.92","122,973,257.74","110,148,536.40","20,583,173.34","95,133,636.74"
收回投资收到的现金,,,,,,,,,,,,,,"100,000,000.00","300,000,000.00","400,000,000.00","480,000,000.00","50,000,000.00","50,000,000.00"
支付其他与筹资活动有关的现金,"20,000,000.00","30,000,000.00",,,,"220,000,000.00","8,740,527.31","11,383,468.80","23,254,177.88","6,101,597.26","12,274,926.43","18,520,830.80","24,840,163.58","6,393,624.44","12,862,413.92","19,407,252.11","26,029,033.05","6,699,628.26","13,478,019.02"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,"3,907,249.93","585,616.44",
筹资活动现金流出小计,"799,000,320.14","621,059,083.52","647,679,299.01","564,022,940.11","1,471,352,173.49","1,850,069,280.07","1,963,772,380.07","1,228,354,949.29","1,878,079,252.45","233,781,920.92","742,339,473.74","1,231,370,721.57","1,812,597,483.55","187,959,613.46","866,731,945.84","1,207,180,509.85","1,667,177,569.45","427,282,801.60","1,037,611,655.76"
处置固定资产、无形资产和其他长期资产收回的现金净额,"629,389.92","144,563.90","127,124.07","141,026.36","176,153.86","2,885,732.12","668,373.74","672,062.25","907,354.75","22,002.76","103,814.16","160,863.16","1,209,655.94","3,500.00","154,130.00","160,075.50","11,027,777.81","8,950.00","38,500.00"
筹资活动产生的现金流量净额,"498,759,679.86","213,283,916.48","590,763,500.99","165,977,059.89","46,797,826.51","-26,369,280.07","-118,472,380.07","-144,354,949.29","12,020,747.55","-193,781,920.92","-277,339,473.74","-386,370,721.57","-418,597,483.55","-7,959,613.46","-121,731,945.84","-192,180,509.85","-187,177,569.45","67,717,198.40","-18,111,655.76"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,"-283,191.59",,,,"-1,463,552.14",,"-5,735.42"
收到其他与投资活动有关的现金,"24,028,318.84",,,,,,,,,,,,,"1,465,166.67","2,944,892.75","3,664,022.73",,,"585,616.44"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"24,657,708.76","144,563.90","127,124.07","141,026.36","176,153.86","2,885,732.12","668,373.74","672,062.25","907,354.75","22,002.76","103,814.16","160,863.16","1,209,655.94","101,468,666.67","303,099,022.75","403,824,098.23","494,935,027.74","50,594,566.44","50,624,116.44"
五、现金及现金等价物净增加额,"128,281,271.76","-138,991,587.98","99,454,260.36","73,878,336.18","14,222,332.87","-140,736,121.93","61,761,828.43","-54,707,972.43","370,157,539.55","-160,595,829.46","-185,799,286.53","-289,181,835.47","-151,170,490.79","-1,246,296.45","-12,433,431.31","30,704,689.02","-10,247,868.20","134,353,802.15","-48,381,926.89"
购建固定资产、无形资产和其他长期资产支付的现金,"366,002,518.08","588,576,910.90","518,176,625.59","341,801,227.11","634,689,074.64","610,457,146.96","241,891,139.31","59,467,847.24","142,588,796.21","32,523,399.33","38,158,221.34","77,606,468.03","222,668,513.91","37,028,705.94","60,822,845.98","180,737,771.49","460,162,930.41","56,206,516.65","216,687,413.70"
期初现金及现金等价物余额,"113,600,215.49","241,881,487.25","102,889,899.27","202,344,159.63","202,344,159.63","216,566,492.50","75,830,370.57","137,592,199.00","137,592,199.00","507,749,738.55","507,749,738.55","507,749,738.55","507,749,738.55","356,579,247.76","356,579,247.76","356,579,247.76","356,579,247.76","346,331,379.56","346,331,379.56"
投资支付的现金,,,,,,,,,,,,"100,000,000.00",,"100,000,000.00","300,000,000.00","300,000,000.00","430,000,000.00",,
期末现金及现金等价物余额,"241,881,487.25","102,889,899.27","202,344,159.63","276,222,495.81","216,566,492.50","75,830,370.57","137,592,199.00","82,884,226.57","507,749,738.55","347,153,909.09","321,950,452.02","218,567,903.08","356,579,247.76","355,332,951.31","344,145,816.45","387,283,936.78","346,331,379.56","480,685,181.71","297,949,452.67"
