科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"895,002,444.10","788,917,451.57","752,052,232.13","135,526,227.11","323,439,413.36","597,230,719.63","930,455,793.74","210,139,864.03"
取得子公司及其他营业单位支付的现金净额,,,,,,,,
收到的税费返还,"9,623,859.23","3,402,946.64","5,121,033.31","539,782.41","4,227,099.86","4,557,362.02","5,162,604.86","1,841,935.64"
支付其他与投资活动有关的现金,,,,,,"50,000,000.00",,
收到其他与经营活动有关的现金,"9,414,825.53","9,714,213.30","8,434,275.42","1,157,167.22","8,413,429.57","8,835,179.65","8,337,607.15","421,828.91"
投资活动现金流出小计,"98,693,102.42","53,210,623.71","31,375,407.44","1,587,248.73","4,451,882.66","57,251,845.50","65,428,528.16","36,292,388.38"
经营活动现金流入小计,"914,041,128.86","802,034,611.51","765,607,540.86","137,223,176.74","336,079,942.79","610,623,261.30","943,956,005.75","212,403,628.58"
投资活动产生的现金流量净额,"-97,741,940.95","-50,703,054.30","-30,360,622.17","-1,321,099.73","-3,639,704.55","-56,004,081.04","-63,158,411.22","14,316,722.86"
购买商品、接受劳务支付的现金,"624,447,315.19","513,345,770.65","488,020,031.03","97,821,641.94","262,542,852.36","454,096,260.04","684,660,058.47","177,899,485.84"
吸收投资收到的现金,,,,"166,500,000.00","166,500,000.00","166,500,000.00","187,500,000.00",
支付给职工以及为职工支付的现金,"140,723,200.31","135,300,491.46","135,443,912.71","39,687,678.72","75,938,251.42","111,200,764.92","148,522,801.43","45,652,470.05"
取得借款收到的现金,"418,183,926.82","393,583,950.50","297,797,103.68","61,000,000.00","166,000,000.00","253,357,052.23","305,670,236.91","30,000,000.00"
支付的各项税费,"38,627,642.79","32,796,015.18","29,064,127.32","12,819,921.46","26,519,197.43","42,912,873.04","56,730,266.85","9,461,534.53"
收到其他与筹资活动有关的现金,"28,483,500.00","24,200,000.00","42,010,803.15",,"167,081.24","167,081.24","4,766,500.00",
支付其他与经营活动有关的现金,"31,489,098.42","23,401,854.47","19,382,407.23","9,423,898.01","13,797,557.10","27,722,572.80","22,121,171.75","4,434,765.03"
筹资活动现金流入小计,"446,667,426.82","417,783,950.50","339,807,906.83","227,500,000.00","332,667,081.24","420,024,133.47","497,936,736.91","30,000,000.00"
经营活动现金流出小计,"835,287,256.71","704,844,131.76","671,910,478.29","159,753,140.13","378,797,858.31","635,932,470.80","912,034,298.50","237,448,255.45"
偿还债务支付的现金,"456,948,007.79","408,583,950.50","328,000,000.00","52,318,135.08","169,000,000.00","269,700,000.00","339,794,013.16","40,000,000.00"
经营活动产生的现金流量净额,"78,753,872.15","97,190,479.75","93,697,062.57","-22,529,963.39","-42,717,915.52","-25,309,209.50","31,921,707.25","-25,044,626.87"
分配股利、利润或偿还利息支付的现金,"27,719,024.58","25,515,219.83","19,248,144.08","3,842,847.04","7,307,890.34","10,659,096.54","14,066,912.48","2,780,012.08"
收回投资收到的现金,,"154,462.00",,,,,,"50,000,000.00"
支付其他与筹资活动有关的现金,"5,939,808.66","18,633,813.08","54,305,207.08","554,266.45","12,815,006.89","13,954,706.89","50,875,961.48","1,139,700.00"
取得投资收益收到的现金,,,,,,,"306,125.61",
筹资活动现金流出小计,"490,606,841.03","452,732,983.41","401,553,351.16","56,715,248.57","189,122,897.23","294,313,803.43","404,736,887.12","43,919,712.08"
处置固定资产、无形资产和其他长期资产收回的现金净额,"181,622.82","1,667,429.65","799,577.72","266,149.00","315,589.00","411,739.00","836,005.19","1,500.00"
筹资活动产生的现金流量净额,"-43,939,414.21","-34,949,032.91","-61,745,444.33","170,784,751.43","143,544,184.01","125,710,330.04","93,199,849.79","-13,919,712.08"
处置子公司及其他营业单位收到的现金净额,,,,,,,,
四、汇率变动对现金的影响,"261,299.93","1,676,439.35","18,789.15","-93,203.65","-145,178.27","-426,615.11","-413,555.55","-671,730.31"
收到其他与投资活动有关的现金,"769,538.65","685,677.76","215,207.55",,"496,589.11","836,025.46","1,127,986.14","607,611.24"
四(2)、其他原因对现金的影响,,,,,,,,
投资活动现金流入小计,"951,161.47","2,507,569.41","1,014,785.27","266,149.00","812,178.11","1,247,764.46","2,270,116.94","50,609,111.24"
五、现金及现金等价物净增加额,"-62,666,183.08","13,214,831.89","1,609,785.22","146,840,484.66","97,041,385.67","43,970,424.39","61,549,590.27","-25,319,346.40"
购建固定资产、无形资产和其他长期资产支付的现金,"69,141,315.05","52,262,411.08","31,375,407.44","1,587,248.73","4,451,882.66","7,251,845.50","15,428,528.16","1,292,388.38"
期初现金及现金等价物余额,"78,232,721.59","15,566,538.51","28,781,370.40","30,389,457.57","30,391,155.62","30,391,155.62","30,391,155.62","91,940,745.89"
投资支付的现金,"29,551,787.37","948,212.63",,,,,"50,000,000.00","35,000,000.00"
期末现金及现金等价物余额,"15,566,538.51","28,781,370.40","30,391,155.62","177,229,942.23","127,432,541.29","74,361,580.01","91,940,745.89","66,621,399.49"
