科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"19,454,537.82","34,712,927.12","169,986,431.05","38,545,682.09","62,431,514.69","126,743,435.82","190,158,490.91","29,096,212.89","86,480,041.94","115,613,225.85","198,292,915.00","36,384,493.89","98,566,105.61","200,166,504.82","343,751,196.01","31,600,737.67","110,143,631.70","221,689,158.46","424,434,370.03","78,968,035.20","288,563,152.49","446,205,653.70","674,122,083.53","111,384,980.34","271,423,164.53","492,323,243.49","883,150,632.61","109,705,067.94","328,165,030.54","598,219,908.78","954,493,478.08","139,660,594.93","296,760,825.14","456,852,714.98","798,562,732.69","164,853,328.44","304,075,973.22","681,386,606.67","1,030,483,242.17","128,198,145.83","318,592,264.55","527,833,636.47","861,875,319.96","151,163,570.95","329,531,541.43","535,125,147.53","812,097,881.54","104,052,018.32"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,"7,464,876.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"11,140,774.70",,"466,667.20","3,030,420.13","5,591,256.39","886,844.33","2,942,920.03","3,975,421.21","6,808,930.67",,"3,570,004.08","5,696,256.51","7,187,710.10","1,715,001.96","3,893,754.45","4,439,171.74","6,720,007.68","1,639,168.54","2,224,561.96","3,802,480.43","5,804,868.32","1,536,525.22","2,472,776.29","3,316,253.79","7,120,923.48","1,414,508.85","2,120,673.74","3,836,041.23","6,188,226.16","1,896,713.61","1,924,712.11","1,955,419.34","3,622,274.00","442,921.55","487,360.58","3,296,340.74","3,670,552.02","214,573.85","699,177.23","1,477,444.10","3,214,924.98","5,972,513.86","9,576,868.04","14,758,600.78","15,752,594.50","1,985,017.02"
支付其他与投资活动有关的现金,,"12,454.15",,,,,,,,,"5,000,000.00","11,120,000.00",,,,,,,,,,,,,,,,,,,,,,,"51,236,894.63","750,000.00","750,000.00","305,750,000.00","120,000,000.00","365,000,000.00","365,000,000.00","399,700,000.00","80,298,984.00","628,000,000.00","1,162,000,000.00","2,187,513,148.79",,
收到其他与经营活动有关的现金,"1,900,261.23","2,367,398.14","2,562,531.66","1,941,159.79","2,954,084.32","6,300,690.06","23,027,480.88","2,133,998.57","3,147,204.56","6,072,619.06","5,584,298.61","3,153,447.86","3,468,692.85","6,783,132.25","14,610,904.98","13,020,290.12","10,630,795.25","31,147,521.76","12,305,696.65","11,447,812.87","19,161,895.02","54,822,504.92","15,246,467.69","14,010,008.93","53,969,715.91","57,003,962.63","16,220,640.00","4,957,232.61","4,434,210.08","2,969,912.17","2,499,473.24","25,468,808.92","62,090,944.03","62,457,091.91","32,117,422.84","9,899,227.95","18,718,554.72","31,477,987.59","39,444,246.67","2,181,914.49","8,022,793.61","8,725,297.45","18,228,785.15","9,375,948.03","2,128,490.38","5,241,883.81","58,823,154.57","9,916,818.85"
投资活动现金流出小计,"4,937,421.29","13,267,786.44","20,259,208.35","631,844.91","1,963,165.11","3,168,592.31","11,696,677.36","7,056,716.78","43,437,805.35","46,120,311.37","162,067,354.58","15,239,309.53","41,754,401.20","63,487,024.45","115,486,011.89","27,970,580.99","77,222,831.66","121,137,855.95","321,359,404.72","68,386,634.03","158,754,699.29","241,355,464.50","300,247,446.99","25,578,194.33","54,239,334.93","73,768,405.85","98,516,427.61","24,505,808.37","27,529,838.27","57,085,572.22","69,342,260.06","7,408,791.68","20,747,343.20","122,133,728.08","190,298,798.34","6,392,428.44","10,022,396.09","338,792,909.90","160,855,361.46","371,428,010.19","385,867,444.47","429,522,218.77","148,126,188.14","662,585,756.25","1,208,112,573.52","2,235,750,261.42","1,251,851,122.20","594,576,793.51"
经营活动现金流入小计,"21,354,799.05","37,080,325.26","183,689,737.41","40,486,841.88","65,852,266.21","136,074,546.01","218,777,228.18","32,117,055.79","92,570,166.53","125,661,266.12","210,686,144.28","39,537,941.75","105,604,802.54","212,645,893.58","365,549,811.09","46,336,029.75","124,668,181.40","257,275,851.96","443,460,074.36","92,055,016.61","309,949,609.47","504,830,639.05","695,173,419.54","126,931,514.49","327,865,656.73","552,643,459.91","906,492,196.09","116,076,809.40","334,719,914.36","605,025,862.18","963,181,177.48","167,026,117.46","360,776,481.28","521,265,226.23","834,302,429.53","175,195,477.94","323,281,888.52","716,160,935.00","1,073,598,040.86","130,594,634.17","327,314,235.39","538,036,378.02","883,319,030.09","166,512,032.84","341,236,899.85","555,125,632.12","886,673,630.61","115,953,854.19"
投资活动产生的现金流量净额,"-4,937,421.29","-3,557,440.24","-5,288,002.85","-631,844.91","-1,946,165.11","-3,151,592.31","-11,637,677.36","-7,056,716.78","-43,433,740.99","-45,596,904.55","-149,290,653.50","-7,611,578.56","-22,651,005.10","-44,381,428.35","-63,636,085.82","-26,041,398.81","-13,813,649.48","-57,722,703.77","-250,826,345.69","-31,386,634.03","-109,254,699.29","-91,845,412.52","-153,247,446.99","-25,575,694.33","-50,403,734.93","-69,913,705.85","-89,504,033.64","-24,175,808.37","-27,199,668.27","-56,735,067.27","-64,076,964.75","-6,221,351.12","-14,953,902.64","-116,309,786.16","-49,122,396.58","-6,288,761.44","-9,684,125.26","-338,154,297.19","-111,832,224.22","-370,914,204.86","-380,537,212.34","-413,587,885.73","29,200,138.23","-32,576,316.68","-36,032,267.93","-533,204,615.22","-43,503,385.34","-141,982,903.79"
购买商品、接受劳务支付的现金,"13,536,926.08","40,486,492.05","87,107,047.86","21,434,638.35","39,258,677.45","77,589,710.09","101,655,444.29","24,309,447.35","53,380,724.79","76,435,604.22","110,973,288.35","36,895,800.43","88,769,950.60","145,665,028.24","194,711,260.03","53,482,412.97","106,649,463.60","158,739,462.80","260,705,030.08","82,337,457.67","187,585,537.34","260,221,812.63","383,517,752.65","110,640,345.31","249,206,277.73","329,033,899.70","514,082,014.96","93,335,946.92","226,642,529.76","447,337,808.88","644,958,816.50","142,950,351.29","282,826,429.06","367,703,214.40","443,428,034.17","130,995,855.89","261,885,451.81","410,652,979.26","578,782,481.48","110,222,610.43","223,398,611.42","361,282,975.38","510,802,855.55","112,988,845.06","209,301,552.28","326,240,920.62","433,087,857.02","125,261,474.60"
吸收投资收到的现金,,,,,"266,600,000.00","266,600,000.00","266,600,000.00",,,,,,"15,590,468.51","15,590,468.51","18,590,468.51",,,"264,793,986.13","262,890,563.20",,,,,,,,,,,,,,,,,"200,000.00","200,000.00","763,799,980.80","763,599,980.80","24,400,000.00","24,400,000.00","24,400,000.00","23,622,681.00",,,,,
