科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30
货币资金,"20,893,456.33","18,520,925.77","26,907,088.84","25,608,457.53","15,156,820.51","16,248,921.30","17,858,748.85","34,054,479.67","62,052,112.93","50,185,640.22","46,205,745.95"
短期借款,"117,100,000.00","112,400,000.00","120,000,000.00","110,700,000.00","110,700,000.00","120,200,000.00","133,200,000.00","173,900,000.00","181,400,000.00","146,000,000.00","158,000,000.00"
交易性金融资产,"7,222,934.43",,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,"10,910,657.54","16,147,556.73","21,154,951.43","17,123,098.04","21,922,835.46","26,241,425.78","26,971,253.08","22,119,766.07","19,041,891.80","29,130,907.36","34,035,965.39"
应付票据,,,,,,,,,,,
应收账款,"124,628,791.85","123,975,768.51","130,437,305.80","101,956,358.16","96,299,227.65","100,198,752.91","99,376,275.24","68,253,289.60","100,442,433.49","95,351,722.78","86,814,564.70"
应付账款,"44,612,270.33","37,428,309.71","48,457,178.19","44,656,624.96","32,766,169.59","33,372,998.55","28,313,624.49","41,684,188.47","40,884,786.88","28,285,280.08","11,077,031.37"
预付款项,"9,089,534.99","4,575,517.11","11,652,805.66","17,023,981.04","2,273,305.71","5,107,990.32","4,220,646.25","10,736,323.92","11,817,057.95","14,051,710.92","7,766,446.12"
预收款项,"23,234,285.01","20,609,678.62","32,041,628.03","38,123,049.68","31,418,216.38","35,455,544.87","34,948,911.50","28,548,144.28","18,139,343.06","17,113,869.93","13,730,625.01"
其他应收款,"49,329,628.56","34,604,831.21","18,809,496.05","22,595,802.49","30,991,336.24","14,747,128.62","19,324,558.25","31,004,629.84","15,627,523.21","24,121,615.14","12,764,889.86"
应付职工薪酬,"8,732,448.99","9,609,702.19","9,098,045.89","4,805,737.96","8,319,380.86","4,264,935.21","4,352,255.24","3,620,833.93","3,604,439.11","2,847,738.25","2,156,757.20"
应收关联公司款,,,,,,,,,,,
应交税费,"3,854,423.80","3,927,743.52","4,151,784.46","4,660,439.99","5,576,529.23","7,662,255.54","8,213,262.67","2,943,659.82","9,153,601.34","10,583,854.58","8,788,044.54"
应收利息,,,,,,,,,,,
应付利息,,,,,,,,,,,
应收股利,,,,,,,,,,,
应付股利,,,,"1,512,157.51","1,512,157.51","1,512,157.51","1,512,157.51","1,512,157.51","1,512,157.51","1,512,157.51","1,512,157.51"
存货,"62,724,875.96","61,702,283.29","73,343,367.22","90,014,668.83","95,702,480.58","91,150,666.66","85,828,667.42","83,221,862.74","72,288,551.23","66,483,293.10","60,957,400.05"
其他应付款,"118,813,355.96","91,171,775.42","82,575,206.29","145,013,722.31","132,389,630.09","120,659,839.36","116,733,272.91","48,141,460.62","65,354,233.26","96,576,961.75","67,402,695.09"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,
其他流动资产,"165,082.85","171,201.65","136,113.28",,"119,766.43","76,549.48","69,624.81",,"33,374.69",,"37,944.33"
其他流动负债,"1,900,855.85","903,951.88","869,124.72",,"2,620,500.32","3,683,277.60","2,553,643.84",,"-375,918.01",,"9,734.49"
流动资产合计,"284,964,962.51","259,698,084.27","282,441,128.28","274,322,366.09","262,465,772.58","253,771,435.07","253,649,773.90","249,390,351.84","281,302,945.30","279,324,889.52","248,582,956.40"
流动负债合计,"318,247,639.94","276,051,161.34","297,192,967.58","349,471,732.41","325,302,583.98","326,811,008.64","329,827,128.16","300,350,444.63","319,672,643.15","302,919,862.10","262,677,045.21"
可供出售金融资产,,,,"243,601,343.57","222,228,060.78","137,680,593.46","134,033,962.96","93,407,891.98","161,582,532.08","175,924,405.76","154,249,714.40"
长期借款,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00"
持有至到期投资,"17,600.00","17,600.00","17,600.00",,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,"102,826,843.59","77,139,133.80","77,139,133.80","27,574,026.11","27,574,026.11","27,574,026.11","27,574,026.11","27,574,357.11","27,574,357.11","27,574,469.73","27,574,469.73"
专项应付款,"295,499.51","1,883,633.35","1,581,902.85",,,,,,,,
投资性房地产,,,,"11,737,158.23","11,615,883.50","10,997,876.82","11,373,334.04","58,464,651.54","58,343,376.81","57,357,620.58","56,804,479.53"
预计负债,"36,090,815.46","47,594,159.54","47,594,159.54","11,875,000.00","11,986,719.93","11,986,719.93","11,986,719.93",,,,
