科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"27,225,486.73","21,512,399.06","63,370,537.86","57,115,667.06","708,757,594.35","696,727,248.52","727,619,791.28","671,909,209.93","684,176,051.04","664,872,260.60","670,390,727.10","637,868,401.78","619,675,567.79","627,358,724.58","647,912,037.24","584,238,518.58","579,655,844.82","548,454,605.51","526,036,383.86","493,094,842.83","485,607,908.41","329,455,015.99","291,654,709.99","212,825,644.63","97,609,475.33","98,080,310.36","182,179,798.10","116,456,801.56","162,267,066.76","177,908,254.71","266,001,966.74","219,367,894.82","184,143,562.68","168,541,634.94","289,083,014.89","211,377,167.45","174,508,576.72"
短期借款,"6,000,000.00",,,,,,,,,,,,,,,,"41,915,965.30",,,,,,,,"4,623,657.00","24,568,913.18","33,238,463.18","40,029,839.18","28,690,608.55","25,305,513.00","26,964,397.00","20,173,021.00","35,081,954.00","35,825,861.80","34,495,636.80","34,495,636.80","19,586,703.80"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"200,000.00",,,,,,,,,,,,,"6,647,915.50","6,518,603.50","15,985,919.80","12,123,078.20","5,339,642.40","7,520,470.00","7,616,444.00","2,833,713.00","285,600.00","854,800.00","888,000.00","825,549.00","12,681,232.20","11,518,269.00","10,623,429.00","10,823,429.00","1,904,362.00","5,390,712.00","5,371,250.00","546,250.00","5,360,000.00","127,750.00","174,950.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,"12,795,000.00","16,693,670.00","11,234,230.00","12,125,112.00","14,038,312.00","30,390,570.80","44,185,726.80","29,249,474.40","31,996,802.40","33,677,810.00","15,184,793.80","27,748,916.81"
应收账款,"15,234,259.60","24,135,892.31","21,381,616.79","24,764,391.81","25,305,316.78","41,234,593.56","41,734,995.64","42,380,424.09","34,896,358.25","44,910,074.60","71,226,205.39","78,580,629.16","102,082,705.12","116,922,870.47","132,470,725.01","148,817,642.08","142,719,851.69","147,363,030.51","130,916,032.61","135,656,844.13","168,474,265.35","161,160,208.16","124,459,361.13","113,143,072.88","147,454,282.57","188,515,394.13","138,944,750.70","147,919,859.85","138,069,405.29","144,552,892.41","165,580,954.04","192,540,865.25","243,234,373.53","263,142,731.64","244,141,285.83","272,389,590.35","270,717,966.01"
应付账款,"36,051.00","2,354,055.49","1,499,707.06","1,035,513.68","3,373,320.32","2,800,573.43","2,511,867.03","5,527,184.36","7,655,959.95","7,050,152.45","9,477,558.37","10,454,017.08","19,051,207.48","12,232,396.64","18,476,954.71","15,124,907.57","26,511,384.16","23,742,826.16","23,275,908.37","16,122,608.58","25,982,403.36","21,728,126.70","13,537,460.96","13,478,905.59","34,619,374.26","41,819,687.01","26,448,913.81","21,909,395.16","26,290,698.85","28,268,483.33","48,670,103.88","60,364,240.89","60,542,480.57","56,132,478.35","84,572,663.11","76,785,770.20","81,163,336.74"
预付款项,"3,003,293.66","2,840,698.98","1,800,483.85","1,561,274.98","4,191,608.96","3,771,526.95","2,158,551.25","9,930,308.17","16,631,719.12","18,259,544.95","17,268,509.91","25,529,054.05","30,897,298.56","24,828,775.37","20,961,160.33","38,418,246.55","79,451,769.34","70,598,396.80","14,042,878.66","12,722,209.24","6,868,351.65","15,656,064.10","27,593,830.26","21,727,082.78","32,189,957.74","36,382,670.41","15,554,777.95","20,707,315.20","7,486,640.90","13,125,456.79","8,454,676.00","17,408,793.83","4,460,947.15","11,442,654.25","827,753.31","1,282,208.92","3,801,145.41"
预收款项,"9,412,755.31","3,108,297.32","2,741,128.67","1,684,166.13","1,970,632.53","2,843,926.72","2,825,643.46","7,495,296.22","1,705,085.72","1,827,101.72","2,187,537.72","3,501,226.80","3,856,134.80","3,126,080.63","5,940,620.92","4,512,083.16","6,657,426.26","7,407,713.26","7,636,523.84","5,967,720.41","2,808,411.39","3,512,344.20","7,701,551.50","6,620,708.44","3,778,288.71","1,846,407.04","18,111,293.36","18,655,236.38","27,697,774.10","22,928,423.95","18,054,925.44","21,885,377.09","42,471,849.01","49,418,986.41","84,535,518.65","74,332,845.57","69,923,974.94"
其他应收款,"2,461,988.00","5,929,154.02","9,208,328.42","6,749,941.00","4,203,299.69","5,279,113.58","7,383,686.75","9,136,641.84","12,067,883.68","16,271,272.92","19,503,319.46","16,503,131.81","19,356,710.52","14,011,956.58","36,463,480.63","43,245,422.54","39,765,453.90","24,409,002.69","14,564,405.81","12,502,985.42","19,862,154.88","29,663,318.29","11,593,241.50","18,147,343.69","74,267,323.45","88,030,689.13","111,918,033.44","114,614,050.13","80,787,882.21","76,002,242.76","67,251,582.45","65,249,749.92","62,997,177.33","68,504,220.43","61,615,501.00","62,910,498.77","56,106,257.94"
应付职工薪酬,"213,914.54","160,273.49","158,540.31",946.70,"37,254.72","70,648.76","826,793.05","161,530.11","-46,024.69","65,950.05","416,477.59","7,692.50","-26,056.01","28,540.19","136,167.15","121,155.75","174,966.59","528,097.73","280,118.35","324,347.56","191,743.69","148,914.83","145,775.62",,,,,,,,,,,,"1,251,961.91",,
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"4,329,103.01","6,057,783.50","3,162,139.00","1,052,337.50","1,133,013.97","3,605,209.12","7,060,928.27","1,580,836.07","150,680.05","701,495.73","10,714,097.04","-315,074.49","116,182.77","1,344,067.17","15,663,829.64","4,644,873.60","6,914,350.26","-3,014,828.47","9,958,142.84","7,634,351.27","6,970,632.60","4,626,088.87","8,666,839.28","5,557,862.63","1,160,122.54","-921,938.59","3,967,046.44","6,763,840.78","1,667,857.30","3,987,996.16","11,450,217.29","8,750,672.70","1,460,160.52","3,337,790.84","12,462,963.87","4,678,097.09","491,011.51"
应收利息,,,,,"2,044,919.32","5,056,568.90","7,281,250.00","10,093,750.00","1,893,775.04","2,836,960.60","7,429,119.79","11,776,539.42","15,436,461.32","2,550,969.74","6,791,830.68","11,241,143.28","13,952,599.31","566,970.79","3,038,538.26","1,602,463.44","2,071,844.20","168,544.44","618,566.67",,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,"4,729,566.35",,,,,,,,,,,,,,,,"292,913.77","291,218.64","227,835.41","227,835.41","227,835.41"
存货,"12,837,555.12","14,996,564.82","11,572,401.20","14,434,639.48","19,792,331.08","24,816,232.55","21,089,742.78","23,579,233.27","22,666,617.14","32,564,476.64","34,336,552.11","39,318,857.45","46,808,978.83","45,600,144.74","49,468,236.68","50,033,526.23","48,174,283.08","50,918,609.52","55,812,700.80","57,879,595.66","73,005,424.89","80,151,389.41","81,373,762.98","88,714,414.33","85,290,883.92","82,753,218.93","74,519,058.99","90,277,015.32","109,043,035.71","103,012,419.36","106,440,471.49","136,849,029.77","149,819,750.31","162,598,494.70","160,097,099.58","173,588,116.95","210,746,740.80"
其他应付款,"676,393.97","88,787.99","283,309.86","255,342.96","357,048.25","355,952.14","139,738.64","68,604.71","179,912.82","633,179.84","1,357,134.76","749,137.85","2,746,096.57","1,289,039.85","940,082.52","898,778.13","1,010,160.88","1,177,073.89","879,863.82","879,388.19","816,355.48","1,920,433.61","13,143,445.22","12,332,352.23","9,259,220.07","45,803,225.29","68,114,970.67","36,105,143.09","36,415,953.69","75,995,079.32","34,412,579.26","62,781,882.14","62,360,090.95","61,308,868.35","40,103,887.50","39,787,747.79","41,070,537.42"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,640,832.58","20,131,216.68","21,565,630.85","21,846,350.38","45,387,486.00","51,894,239.56","53,187,362.57","57,696,686.48","71,495,771.13","71,489,517.61","72,653,825.02"
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,"13,689,335.98","11,471,188.67","10,561,951.57","12,653,038.30","13,748,204.83","11,690,557.76","11,495,543.58","10,286,270.99","10,705,055.51","16,060,622.01","16,727,395.78","22,115,277.86","21,250,064.59","29,144,597.56","27,584,100.74","28,317,771.79","25,377,396.90","23,941,720.43","25,725,993.85"
