科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"64,598,285.06","116,647,763.31","98,750,111.57","70,330,204.15","123,587,208.42","56,780,459.34","51,108,231.93","84,545,993.77","132,831,991.25","52,472,571.80","76,651,828.99","105,731,170.43","133,558,164.89","77,089,746.88","189,853,558.77","312,010,418.24","575,480,158.32","190,838,174.19"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"248,478,247.55",
收到的税费返还,,,,,,,,,,,,,,,,,"4,080,239.50",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"368,251.41","1,483,796.79","3,188,472.32","3,872,358.95","5,443,098.77","6,076,055.13","463,023.97","603,395.68","1,045,535.45","9,905,695.00","669,632.38","709,559.58","998,303.09","570,577.53","859,530.77","4,416,457.95","20,029,909.56","4,335,651.23"
投资活动现金流出小计,"9,930,596.11","7,421,466.97","1,653,398.64","1,427,761.74","2,943,291.21","1,180,739.33","3,661,857.02","7,134,185.39","12,417,441.93","1,402,492.25","13,931,189.42","16,365,529.69","30,160,725.82","802,600.11","256,788,729.81","274,281,895.33","310,995,990.98","9,362,703.58"
经营活动现金流入小计,"64,966,536.47","118,131,560.10","101,938,583.89","74,202,563.10","129,030,307.19","62,856,514.47","51,571,255.90","85,149,389.45","133,877,526.70","62,378,266.80","77,321,461.37","106,440,730.01","134,556,467.98","77,660,324.41","190,713,089.54","316,426,876.19","599,590,307.38","195,173,825.42"
投资活动产生的现金流量净额,"-5,961,939.89","-7,421,466.97","-1,653,398.64","-1,427,761.74","-2,943,291.21","-1,180,739.33","-3,661,857.02","-7,125,638.38","-12,402,264.92","-1,402,492.25","-13,931,189.42","-16,365,529.69","-30,159,725.82","-802,600.11","-256,788,729.81","-274,281,895.33","-310,220,902.22","-9,050,939.74"
购买商品、接受劳务支付的现金,"67,403,174.94","81,914,962.81","78,059,156.31","47,559,107.70","76,806,352.41","41,902,109.43","51,896,159.63","111,089,913.86","145,423,480.59","63,325,866.91","98,624,898.89","126,430,307.55","186,796,108.12","57,966,579.30","203,824,097.00","351,454,703.03","519,015,930.39","124,762,551.78"
吸收投资收到的现金,"37,534,500.00",,,,,"227,071,300.00","240,800,000.00","240,800,000.00","240,800,000.00",,"1,470,000.00","1,470,000.00","1,470,000.00",,"880,957,982.10","880,957,982.10","864,441,344.32",
支付给职工以及为职工支付的现金,"14,185,251.81","20,631,299.37","25,103,171.74","19,605,134.11","26,347,338.85","8,593,478.80","16,369,999.20","21,935,302.42","38,028,623.24","15,174,909.21","21,581,705.51","34,557,433.74","62,805,889.20","18,689,084.34","36,552,993.23","62,099,449.68","90,062,125.83","32,982,019.49"
取得借款收到的现金,"29,350,000.00","98,412,000.00","137,860,000.00","123,150,000.00","171,650,000.00","17,000,000.00","17,000,000.00","47,000,000.00","82,000,000.00","120,000,000.00","180,000,000.00","234,900,000.00","413,600,000.00","200,000,000.00","485,554,466.70","610,711,628.48","822,225,201.04","160,959,202.01"
支付的各项税费,"13,544,468.72","17,555,750.75","13,284,181.75","14,415,927.63","17,354,492.98","6,656,347.98","10,750,390.24","15,473,867.22","22,414,389.54","9,392,494.54","19,895,579.51","25,214,665.99","39,107,852.03","18,554,300.64","30,296,489.26","44,585,778.10","76,198,233.74","11,180,271.31"
收到其他与筹资活动有关的现金,,,,,,"13,728,700.00",,,,,,,"11,641,466.67",,,,"71,930,931.94",
支付其他与经营活动有关的现金,"18,193,873.18","25,425,875.34","26,794,185.13","20,303,376.11","25,064,064.18","15,786,547.33","17,841,961.56","20,451,732.38","44,600,002.28","13,484,574.72","49,716,152.89","56,077,393.22","82,147,737.14","16,159,474.99","44,536,280.12","95,768,369.56","115,313,241.73","29,104,373.92"
筹资活动现金流入小计,"66,884,500.00","98,412,000.00","137,860,000.00","123,150,000.00","171,650,000.00","257,800,000.00","257,800,000.00","287,800,000.00","322,800,000.00","120,000,000.00","181,470,000.00","236,370,000.00","426,711,466.67","200,000,000.00","1,366,512,448.80","1,491,669,610.58","1,758,597,477.30","160,959,202.01"
经营活动现金流出小计,"113,326,768.65","145,527,888.27","143,240,694.93","101,883,545.55","145,572,248.42","72,938,483.54","96,858,510.63","168,950,815.88","250,466,495.65","101,377,845.38","189,818,336.80","242,279,800.50","370,857,586.49","111,369,439.27","315,209,859.61","553,908,300.37","800,589,531.69","198,029,216.50"
偿还债务支付的现金,"21,592,500.00","58,857,500.00","92,412,000.00","87,010,000.00","135,510,000.00","11,500,000.00","120,000,000.00","120,000,000.00","140,000,000.00","17,000,000.00","47,000,000.00","47,200,000.00","82,300,000.00","161,800,000.00","254,300,000.00","299,700,000.00","666,734,027.48","198,000,000.00"
