科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"31,382,376.33","73,716,594.00","61,681,143.85","48,363,450.13","370,315,366.61","341,507,683.91","336,724,601.97","288,931,625.71","208,130,579.26","177,023,614.18","168,853,949.95","182,875,074.34","152,593,139.78","106,002,352.29","136,358,559.73","155,438,079.30","165,709,507.32","165,827,249.65","197,579,491.45","170,810,301.51","270,885,215.75","235,758,972.18","240,023,749.00","215,339,088.67","221,708,606.17","262,990,772.07","253,878,026.44","575,016,994.33","223,252,812.76","143,290,469.93","338,839,946.06","323,726,648.35"
短期借款,,"23,442,295.00","13,372,512.00","13,315,354.00","19,171,225.00","15,111,250.00","15,000,000.00","15,000,000.00","5,179,842.75","26,918,946.00","36,827,986.00","43,555,260.00","49,555,260.00","46,241,725.00","84,640,300.00","90,618,475.99","103,832,163.37","116,505,015.37","111,522,706.69","80,522,706.69","105,522,706.69","91,017,691.32","69,615,500.00","74,848,017.95","119,417,923.18","148,595,623.18","112,802,423.18","71,302,423.18","107,827,941.48","132,127,941.48","129,827,941.48","128,785,710.37"
交易性金融资产,,,,,,,,,,,,"3,000,000.00","3,000,000.00","8,500,000.00",,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,"12,653,731.51",,,,"6,647,871.73","2,195,000.00","11,192,558.44","5,674,214.25","19,270,160.89","1,442,256.42","15,102,308.55","10,790.66","56,045,574.65","20,053,224.04","38,040,397.19","33,430,965.82","21,906,547.10","17,001,412.00","15,409,816.99","21,872,698.11","23,448,469.90","29,961,007.06","19,942,384.25","11,260,225.89","11,435,220.13","18,058,277.66","25,106,913.99","41,465,135.20","48,553,453.80","55,668,643.06"
应付票据,"5,788,549.39","2,647,208.90",,"2,418,000.00","1,960,000.00","625,000.00",,,,,,,,,,,,,,,,,,"9,694,997.50","9,285,336.50","11,974,010.00","15,360,722.94","18,034,103.95","20,632,952.00",,"549,800.00",
应收账款,"40,864,972.54","45,627,959.96","55,652,327.92","65,720,068.69","87,393,076.97","77,439,448.83","75,785,061.95","75,981,453.73","99,680,476.64","132,776,637.33","119,501,753.75","108,692,047.85","112,969,474.74","174,719,676.55","164,218,163.03","158,859,747.71","144,865,978.89","133,776,835.16","157,372,226.95","140,057,063.04","159,906,040.03","165,949,874.65","195,930,830.55","198,962,149.98","192,560,599.29","215,133,214.23","245,207,971.47","221,754,147.51","257,435,938.35","332,566,347.84","351,264,265.14","330,688,681.74"
应付账款,"28,521,059.29","28,884,420.43","38,635,643.99","43,157,390.13","42,782,563.47","47,536,817.30","43,377,354.99","36,529,163.04","51,690,408.48","57,155,421.69","56,490,052.42","52,721,390.25","70,639,112.51","69,756,734.49","88,084,379.87","78,061,123.44","96,142,962.97","70,281,106.81","76,039,479.00","75,449,416.44","102,311,116.00","100,282,801.77","124,363,450.70","117,359,483.45","146,100,013.05","132,998,476.42","183,656,945.02","153,106,393.25","173,317,319.02",,"272,003,844.90",
预付款项,"1,372,397.54","20,277,178.45","7,346,707.99","13,947,757.91","14,334,102.90","14,332,406.95","23,786,971.60","36,259,420.96","43,609,650.49","55,391,593.78","9,027,007.53","8,359,106.35","12,995,446.90","18,031,945.39","13,281,861.92","16,172,628.69","17,415,330.35","16,199,795.55","10,825,648.15","13,964,428.54","9,040,951.63","8,587,390.55","5,975,599.83","11,537,163.75","14,269,807.76","14,932,877.80","9,195,281.99","14,721,354.42","15,315,355.69","15,440,806.70","11,091,724.75","13,600,170.54"
预收款项,"310,697.62","498,401.58","1,422,972.90","1,347,978.51","1,207,630.33","1,245,512.40","4,514,196.81","3,353,382.99","3,332,111.09","4,239,355.94","2,055,678.65","1,448,960.38","1,771,635.64","2,068,218.06","1,749,127.06","1,122,411.99","6,723,986.82","4,190,263.83","1,284,005.83","1,712,070.93","3,299,142.92","5,958,286.81","2,775,046.53","4,232,901.77","6,514,909.33","8,016,347.40","6,656,699.13","6,446,339.97","9,229,289.06","11,003,313.72","14,021,733.01","10,404,301.74"
其他应收款,"38,707,913.82","1,845,205.33","3,443,772.24","4,678,106.53","1,321,368.90","1,701,417.79","1,501,850.05","1,466,603.17","1,368,437.63","1,678,045.98","2,498,294.23","1,585,784.12","1,740,230.38","1,568,206.80","1,559,330.78","1,394,382.72","1,985,110.20","1,791,186.16","1,360,713.39","1,958,726.73","2,125,668.23","2,907,751.67","6,335,616.53","3,709,445.75","4,639,472.21","3,781,132.09","5,322,052.22","5,490,375.40","6,603,588.15","8,233,209.78","14,004,812.40","3,540,758.75"
应付职工薪酬,"2,988,791.56","3,663,291.52","4,341,812.97","4,588,150.70","4,866,840.37","4,648,079.01","4,493,674.85","6,307,097.57","6,345,585.72","7,144,877.10","6,990,402.09","6,708,927.22","8,662,660.37","8,516,927.26","8,917,072.68","9,224,933.41","10,669,670.70","9,730,633.21","10,565,760.86","9,081,325.63","10,546,518.92","9,921,061.47","13,009,340.81","9,371,079.07","11,675,146.41","11,097,747.55","15,031,565.30","12,858,862.63","15,275,947.50","18,237,504.24","20,377,765.53","17,482,857.34"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
