科目,2010-12-31,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
现金及存放同业款项,,,,,,,,,,,,
短期借款,,,,,,,,,,,,
货币资金,"6,607,439,163.41","4,091,706,179.60","9,170,182,269.87","14,200,755,062.51","13,149,655,194.57",,"10,772,740,912.84","11,441,715,962.60","11,862,900,683.03","10,740,962,838.68","8,480,764,657.31","10,480,792,394.86"
其中：质押借款,,,,,,,,,,,,
其中：客户资金存款,"4,896,756,747.17","3,352,024,923.99","6,799,748,705.45","11,380,351,729.39","11,339,416,023.49",,"8,466,656,263.44",,,,,"7,851,219,437.43"
拆入资金,,"490,000,000.00","600,000,000.00","200,000,000.00","300,000,000.00",,,,,"500,000,000.00",,
存放中央银行款项,,,,,,,,,,,,
交易性金融负债,,,,,,,"4,747,979,462.22","4,982,580,698.35","4,980,264,734.10","5,310,981,777.09","3,885,297,004.76","4,407,890,089.34"
结算备付金,"1,052,220,495.15","1,344,164,824.96","2,675,756,279.50","4,612,103,833.40","2,367,899,549.64",,"2,679,663,045.58","2,791,583,168.13","2,768,474,884.49","2,780,575,242.82","2,700,329,487.88","2,990,228,541.95"
衍生金融负债,,,,,,,,,,,"92,170.00",
其中：客户备付金,"1,036,196,050.61",,,,,,"2,352,667,274.26","2,459,519,125.10","2,402,371,367.35","2,387,857,336.01","2,348,379,465.25","2,625,591,717.54"
卖出回购金融资产款,"740,100,000.00","505,257,550.00","4,431,688,178.00","5,428,986,990.60","3,450,994,775.75",,"2,584,435,280.00","5,005,025,338.21","8,307,573,698.92","7,153,421,058.58","6,657,587,134.24","11,473,043,869.43"
贵金属,,,,,,,,,,,,
吸收存款,,,,,,,,,,,,
拆出资金,,,,"200,000,000.00",,,,,,,,
代理买卖证券款,"5,920,389,756.99","4,573,443,620.58","9,150,497,007.68","15,621,091,366.70","13,454,585,684.36",,"10,819,306,523.44","10,599,776,993.07","10,628,575,678.85","10,073,579,175.51","9,481,329,176.18","10,476,749,165.60"
交易性金融资产,"2,033,150,070.81","2,211,104,461.74","3,749,784,182.12","7,953,071,947.55","7,272,713,713.45",,"7,845,570,142.70","9,427,593,183.56","11,884,118,830.02","11,074,802,289.30","9,479,840,481.42","14,918,846,346.88"
代理承销证券款,,,,,,,,,,,,
衍生金融资产,,,,,"38,224.00",,,,,,,"724,145.00"
应付帐款,,,,,,,,,,,,
