科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"616,550,973.49","752,500,020.04","940,829,519.60","426,290,732.10","669,882,060.23","958,294,613.38","173,542,637.00","429,423,360.62","699,669,982.90","1,084,243,772.52","271,873,227.07","513,336,959.47","839,454,675.82","1,379,012,625.00","357,123,729.95","732,531,022.80","1,137,721,845.13","1,703,747,736.02","452,386,917.87","906,153,600.36","1,430,753,560.27","2,277,310,643.68","495,323,065.78","1,212,121,865.13","2,005,710,053.94","3,385,802,099.46","899,849,716.97","2,037,769,003.57"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,"378,481,497.59",,,,"193,000,000.00",,,,"56,338,100.00","-16,882,224.83","-16,882,224.83"
收到的税费返还,"161,345.98","4,355,157.56","1,080,239.07","2,555,002.23","6,324,576.96","6,598,681.74","3,937,867.73","5,671,837.57","9,596,246.33","7,933,105.36","4,881,641.36","13,198,094.98","19,047,607.53","24,532,473.08","2,803,654.92","4,988,260.26","5,536,847.09","11,440,245.21","4,900,244.05","10,360,489.17","19,699,636.94","19,355,550.19","8,674,532.88","11,971,134.64","14,388,140.30","18,848,976.83","23,492,701.72","47,243,790.05"
支付其他与投资活动有关的现金,,"1,450,000.00","576,797.83",,"6,608,000.00","385,000,000.00",,,,"14,700,000.00","20,000,000.00","20,000,000.00","20,000,000.00","23,693,860.00",,,,"1,200,000.00",,,,"337,193,075.85",,"60,000,000.00","60,000,000.00","380,000,000.00","16,000,000.00","114,557,500.00"
收到其他与经营活动有关的现金,"3,645,825.58","9,526,778.56","3,401,368.11","12,141,333.67","7,619,002.90","11,805,399.72","4,121,252.76","33,535,234.61","18,906,117.00","3,523,792.65","4,000,460.38","38,090,129.93","65,937,368.05","12,463,336.75","6,716,893.11","49,775,784.51","161,544,354.26","12,489,585.24","7,936,787.09","62,606,672.25","219,605,865.18","34,457,029.17","53,591,547.79","106,507,097.35","148,087,800.88","50,823,385.89","61,369,405.16","90,987,575.83"
投资活动现金流出小计,"20,658,519.43","37,050,312.89","48,243,167.19","24,752,187.55","115,354,882.64","539,312,746.92","111,589,493.18","178,545,546.38","319,437,455.71","459,680,194.91","72,614,458.19","151,065,114.88","205,949,135.01","336,801,110.46","49,448,314.01","363,995,403.45","473,049,419.07","608,290,864.59","207,354,380.58","304,189,572.69","352,291,551.50","766,080,519.79","80,196,736.82","284,026,776.62","419,588,441.57","1,064,398,919.39","96,908,756.00","322,596,469.26"
经营活动现金流入小计,"620,358,145.05","766,381,956.16","945,311,126.78","440,987,068.00","683,825,640.09","976,698,694.84","181,601,757.49","468,630,432.80","728,172,346.23","1,095,700,670.53","280,755,328.81","564,625,184.38","924,439,651.40","1,416,008,434.83","366,644,277.98","787,295,067.57","1,304,803,046.48","1,727,677,566.47","465,223,949.01","979,120,761.78","1,670,059,062.39","2,331,123,223.04","557,589,146.45","1,330,600,097.12","2,168,185,995.12","3,455,474,462.18","984,711,823.85","2,176,000,369.45"
投资活动产生的现金流量净额,"111,187,204.35","-35,100,998.40","-47,168,819.92","-22,885,471.15","-99,586,860.92","-531,935,570.85","-35,384,755.23","-102,231,265.98","-85,573,901.89","-221,095,266.32","19,368,688.67","-58,830,838.77","-113,714,858.90","-271,461,431.95","-39,242,677.02","-335,229,947.37","-396,468,785.15","-503,907,337.18","-207,020,942.20","-302,819,573.69","-349,972,341.21","-748,442,957.28","-50,176,736.82","-253,183,223.83","-380,122,823.78","-668,527,418.28","66,082,140.99","-72,571,469.26"
购买商品、接受劳务支付的现金,"298,625,679.77","431,013,146.05","583,120,214.89","304,756,111.78","442,038,312.90","559,943,498.58","150,728,815.08","258,660,873.75","399,680,362.05","607,086,046.32","195,673,802.01","345,918,645.07","552,478,367.86","811,984,683.08","181,722,661.70","480,220,991.88","776,420,155.71","820,332,174.13","298,864,974.21","563,518,211.70","982,210,220.59","1,242,609,630.27","468,832,249.15","996,500,975.17","1,499,076,831.32","2,048,124,019.49","679,145,006.83","1,440,297,389.29"
吸收投资收到的现金,,"37,500,000.00",,,"616,250,000.00","603,810,997.10",,,,"1,000,000.00",,,,,,"500,000.00","500,000.00",,,,"929,999,994.42","921,218,662.36","122,618,000.00","142,618,000.00","142,618,000.00","142,368,000.00","5,122,000.00","5,122,000.00"
支付给职工以及为职工支付的现金,"52,895,799.60","82,061,529.32","113,343,104.25","54,042,800.09","82,373,195.43","116,864,746.26","28,195,447.31","57,499,172.25","97,061,128.11","147,655,749.38","49,798,031.76","87,430,465.12","135,782,661.20","228,705,147.81","61,537,134.34","111,212,399.41","163,632,826.58","242,108,303.53","75,246,838.53","144,347,646.92","222,081,070.01","316,858,668.67","113,858,066.36","209,415,025.87","318,023,929.49","475,124,130.20","125,889,096.91","274,704,470.28"
取得借款收到的现金,"544,900,000.00","200,000,000.00","370,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,"90,000,000.00","240,500,000.00","398,981,692.77","169,151,853.36","270,837,161.41","587,754,096.84","641,002,292.48","33,878,608.40","461,272,752.91","859,302,972.61","774,015,637.43","1,026,894,164.69","1,180,199,909.91","1,621,059,640.77","1,252,525,029.61","502,128,503.53","865,128,503.53","1,312,628,503.53","1,748,870,494.49","405,000,000.00","1,189,372,483.48"
支付的各项税费,"43,732,969.41","63,408,408.01","40,200,192.98","17,213,122.02","27,150,313.55","41,637,010.29","16,093,041.60","34,865,183.17","48,180,951.65","59,976,106.56","16,688,486.82","39,443,442.41","58,963,999.93","64,373,227.73","23,651,065.10","50,958,953.88","81,015,000.81","103,075,095.40","34,984,491.19","58,285,694.68","115,163,474.90","132,043,178.30","41,592,607.19","86,131,891.83","157,811,000.98","167,353,538.37","104,347,119.83","151,251,827.14"
收到其他与筹资活动有关的现金,"94,747,894.44",,,,,,,,,,,,,"198,300,000.00",,,,"310,110,000.00",,,,"773,900,000.00",,,,"159,900,000.00",,
支付其他与经营活动有关的现金,"112,179,449.31","120,338,682.73","115,480,249.07","98,732,669.62","94,810,903.72","123,024,078.18","45,091,026.02","122,406,287.46","125,996,402.28","181,932,390.11","86,712,179.94","125,955,821.34","205,056,125.58","270,574,432.68","45,933,459.89","106,752,528.20","266,887,180.57","275,582,753.37","40,580,423.11","159,408,408.74","264,018,490.45","360,469,865.84","65,517,670.81","164,080,755.80","285,685,347.90","542,422,606.16","263,956,207.85","532,768,060.67"
筹资活动现金流入小计,"639,647,894.44","237,500,000.00","370,000,000.00","20,000,000.00","636,250,000.00","623,810,997.10",,"90,000,000.00","240,500,000.00","399,981,692.77","169,151,853.36","270,837,161.41","587,754,096.84","839,302,292.48","33,878,608.40","461,772,752.91","859,802,972.61","1,084,125,637.43","1,026,894,164.69","1,180,199,909.91","2,551,059,635.19","2,947,643,691.97","624,746,503.53","1,007,746,503.53","1,455,246,503.53","2,051,138,494.49","410,122,000.00","1,194,494,483.48"
经营活动现金流出小计,"507,433,898.09","696,821,766.11","852,143,761.19","474,744,703.51","646,372,725.60","841,469,333.31","240,108,330.01","473,431,516.63","670,918,844.09","996,650,292.37","348,872,500.53","598,748,373.94","952,281,154.57","1,375,637,491.30","312,844,321.03","749,144,873.37","1,287,955,163.67","1,441,098,326.43","449,676,727.04","925,559,962.04","1,583,473,255.95","2,051,981,343.08","689,800,593.51","1,456,128,648.67","2,260,597,109.69","3,233,024,294.22","1,173,337,431.42","2,399,021,747.38"
