科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"106,725,502.11","114,907,658.44","165,458,081.02","42,755,686.17","50,059,463.74","324,892,540.93","172,788,474.46","57,302,456.33","65,657,833.64","199,060,594.89","87,147,205.24","105,711,593.79","72,407,914.70","212,791,227.23","77,434,015.05"
短期借款,"70,000,000.00","69,900,000.00","43,100,000.00","115,900,000.00","115,900,000.00","30,000,000.00","30,000,000.00",,"39,000,000.00","89,000,000.00","89,000,000.00","130,000,000.00","131,000,000.00","74,900,000.00","94,900,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"5,590,000.00","2,662,900.00","8,456,874.52","1,146,600.00","800,000.00","3,340,000.00","7,788,580.00","3,253,680.00","150,000.00","207,100.00","540,000.00","642,000.00","3,633,750.00","1,588,500.00","4,426,907.80"
应付票据,"19,195,172.99","29,588,000.00","27,800,000.00","16,398,631.80","41,354,215.85","45,623,384.05",,"10,900,000.00",,"22,000,000.00","17,967,600.00","8,900,000.00",,"31,836,900.80",
应收账款,"239,469,207.40","249,432,483.95","283,210,305.93","399,052,036.53","406,807,012.53","360,373,837.70","326,391,261.11","395,559,798.20","455,987,123.45","470,241,881.02","451,318,746.61","474,133,543.35","532,801,551.32","543,485,671.68","529,702,971.96"
应付账款,"91,965,606.34","107,255,353.72","160,877,836.41","150,109,309.97","124,312,250.60","154,608,715.08","108,058,524.62","106,646,598.65","121,439,559.69","155,326,690.20","124,335,167.03","145,821,128.87",,"236,662,130.88",
预付款项,"3,904,387.01","4,474,007.30","3,566,324.97","6,325,597.55","10,654,487.54","15,395,543.65","23,456,770.78","51,306,990.05","22,487,202.09","9,151,478.45","16,915,462.13","32,939,558.38","56,896,603.22","24,895,909.97","58,139,752.35"
预收款项,"7,032,841.04","30,118,098.95","44,657,401.23","36,141,768.73","43,930,200.45","65,430,048.72","65,237,664.98","25,779,303.81","28,559,234.37","24,558,856.52","24,241,769.81","27,379,749.54","33,387,839.10","35,213,254.64","46,728,601.47"
其他应收款,"7,697,550.47","13,165,119.42","12,636,608.52","16,654,902.44","24,176,684.19","17,406,496.96","25,991,022.89","22,309,572.51","29,416,991.49","17,822,985.01","30,082,451.66","23,744,285.92","23,114,273.06","18,106,656.92","33,437,496.70"
