科目,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"136,514,025.33","187,604,271.97","54,336,692.56","64,193,725.19","95,242,001.84","119,719,190.04","275,693,922.94","212,218,679.72","311,117,629.33","272,602,661.49","265,903,259.00","186,355,134.16","132,763,425.50","264,251,942.84","287,131,222.10"
短期借款,"92,000,000.00","170,000,000.00","244,000,000.00","60,000,000.00","80,000,000.00","100,000,000.00","70,000,000.00","60,000,000.00","100,000,000.00","170,000,000.00","220,000,000.00","220,000,000.00","270,000,000.00","436,400,000.00","456,400,000.00"
交易性金融资产,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,
应收票据,"2,650,000.00","10,276,000.00","152,090,242.82","43,941,802.21","192,787,942.10","145,380,845.00","194,304,305.00","194,532,888.00","261,080,236.00","257,598,000.00","191,072,689.00","195,926,783.02","661,089,414.00","436,142,942.00","680,723,412.57"
应付票据,,"3,680,000.00","40,349,774.40","34,456,647.35","42,013,210.40","95,440,671.33","112,429,077.43","202,744,536.09","210,211,049.20","231,166,729.47","214,067,059.48","107,858,733.89","97,362,908.22","141,482,963.56","154,199,448.19"
应收账款,"204,556,642.61","425,202,722.15","642,221,485.69","575,911,981.06","546,629,851.44","551,070,825.53","514,105,855.40","502,162,929.77","739,551,217.78","733,256,382.63","861,925,463.88","848,106,474.47","770,068,594.03","749,267,737.41","936,273,586.27"
应付账款,"77,293,771.01","226,879,441.66","276,231,408.31","260,203,801.49","261,090,794.21","181,795,967.91","179,758,734.58","202,052,662.51","311,667,699.47","272,980,276.35","313,526,617.90","327,091,264.92","321,141,531.61","260,634,088.47","313,946,069.12"
预付款项,"147,542,626.01","25,290,506.71","30,628,382.08","38,225,946.89","38,479,660.61","76,776,972.19","91,886,165.01","76,822,064.18","53,389,328.48","79,293,594.50","57,279,443.46","44,982,489.46","60,494,083.89","68,442,538.79","32,635,533.89"
预收款项,"165,855,825.04","11,379,056.60","11,463,381.60","14,050,010.89","22,585,761.82","28,773,383.04","17,476,080.35","28,268,023.65","25,039,185.78","26,804,558.03","26,585,776.82","111,574,827.61","84,878,886.99","77,117,120.08","296,419,173.26"
