科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"24,090,568,258.00","35,191,329,089.00","53,774,389,327.00","26,775,075,172.00","40,821,606,062.00","55,455,144,934.00","15,308,238,648.00","28,780,288,192.00","42,016,518,059.00","57,796,679,494.00","16,025,518,774.00","29,582,909,106.00","45,112,664,077.00","63,985,283,179.00","16,591,395,013.00","31,035,533,313.00","46,509,717,127.00","60,314,525,830.00","13,713,721,350.00","26,916,483,523.00","39,844,753,079.00","56,374,978,176.00","14,060,743,812.00","28,725,468,470.00","44,689,219,975.00","66,009,401,206.00","15,816,727,479.00","32,926,868,622.00","50,842,327,921.00"
二、营业利润,"789,015,323.00","1,358,707,843.00","1,682,089,214.00","514,801,117.00","969,025,393.00","918,848,550.00","259,702,433.00","449,541,286.00","-113,528,329.00","-569,467,136.00","321,791,688.00","593,294,020.00","740,087,777.00","536,833,783.00","114,392,661.00","94,860,743.00","158,749,262.00","282,952,398.00","85,310,236.00","47,101,559.00","64,083,964.00","251,013,877.00","28,439,591.00","183,465,390.00","353,366,133.00","531,187,293.00","210,839,960.00","402,307,555.00","427,264,794.00"
减:营业成本,"21,570,882,186.00","31,499,861,747.00","47,965,938,701.00","23,991,947,485.00","36,458,600,869.00","49,096,878,980.00","13,839,443,274.00","25,397,836,420.00","37,375,520,986.00","51,698,497,036.00","14,342,778,884.00","25,873,955,036.00","39,655,211,129.00","56,926,110,338.00","15,049,674,009.00","27,896,322,039.00","41,953,366,198.00","54,077,846,814.00","12,238,212,898.00","24,081,185,853.00","35,709,626,525.00","50,792,497,614.00","12,720,066,278.00","25,866,025,143.00","40,240,997,548.00","59,590,394,461.00","14,197,884,930.00","29,676,792,288.00","46,008,920,827.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"46,913,335.00","55,877,681.00","70,283,043.00","53,967,332.00","81,726,314.00","117,321,322.00","25,019,601.00","63,785,624.00","91,626,076.00","132,499,536.00","36,468,611.00","85,198,270.00","130,621,459.00","175,900,437.00","26,702,753.00","68,549,971.00","100,633,641.00","170,162,603.00","35,839,276.00","72,798,955.00","115,157,213.00","157,662,370.00","28,566,516.00","49,981,930.00","76,329,227.00","220,830,767.00","64,605,107.00","134,419,505.00","221,002,454.00"
营业外收入,"66,214,514.00","64,851,088.00","68,210,076.00","84,533,720.00","88,632,217.00","140,072,190.00","15,076,938.00","67,291,116.00","107,177,310.00","200,024,025.00","26,262,645.00","61,611,753.00","90,280,889.00","341,318,648.00","20,957,297.00","98,857,491.00","104,681,335.00","258,155,111.00","21,965,483.00","177,767,018.00","230,259,825.00","310,705,180.00","38,274,246.00","82,723,060.00","133,828,876.00","285,224,894.00","17,706,991.00","120,782,565.00","165,427,190.00"
销售费用,"936,454,020.00","1,411,982,112.00","2,148,313,565.00","1,174,886,227.00","1,699,292,709.00","2,566,072,154.00","626,073,987.00","1,341,674,382.00","2,088,506,064.00","2,756,820,770.00","505,843,152.00","1,165,055,702.00","1,787,296,627.00","2,621,018,012.00","567,104,408.00","1,252,660,536.00","1,924,366,493.00","2,503,967,046.00","545,204,721.00","1,054,270,601.00","1,471,171,240.00","1,991,671,583.00","518,508,590.00","963,529,079.00","1,477,842,617.00","2,190,742,018.00","546,463,944.00","1,105,865,889.00","1,469,230,413.00"
减:营业外支出,"14,976,083.00","15,764,383.00","18,400,386.00","14,482,353.00","18,925,322.00","30,045,542.00","6,932,201.00","15,906,188.00","35,322,772.00","77,212,039.00","16,458,080.00","38,135,700.00","71,321,598.00","88,739,259.00","23,632,857.00","33,537,454.00","53,007,058.00","74,001,694.00","13,132,397.00","38,925,416.00","60,845,260.00","83,978,347.00","10,563,755.00","20,489,940.00","41,654,460.00","66,763,140.00","11,202,637.00","25,785,749.00","35,189,997.00"
管理费用,"474,787,305.00","668,006,455.00","1,081,732,323.00","770,343,789.00","1,105,503,280.00","1,539,895,447.00","381,561,677.00","929,936,859.00","1,456,440,412.00","1,998,851,590.00","492,211,023.00","1,036,445,029.00","1,613,388,432.00","2,147,608,391.00","567,998,527.00","1,129,345,340.00","1,778,287,645.00","2,222,955,081.00","548,290,507.00","1,063,914,769.00","1,617,127,411.00","2,015,234,442.00","507,830,532.00","967,578,849.00","1,537,388,423.00","1,967,917,736.00","460,711,970.00","958,060,521.00","1,597,613,411.00"
其中:非流动资产处置净损失,"8,102,372.00","7,895,614.00","4,924,901.00","5,782,892.00","8,454,699.00","16,859,056.00","1,741,626.00","4,980,978.00","12,147,131.00","43,722,892.00","10,506,273.00","23,589,775.00","35,648,750.00","41,908,483.00","7,744,591.00","13,152,323.00","19,430,047.00","25,144,992.00","6,100,645.00","16,946,907.00","23,438,561.00","31,135,908.00","4,026,489.00","7,500,522.00","19,940,709.00","27,643,987.00","6,887,346.00","7,032,829.00","8,550,623.00"
