科目,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"108,255,752.75","122,629,675.55","123,878,108.54","125,845,226.32","706,131,134.19","492,259,553.79","465,855,949.73","412,400,145.14","435,300,207.72","572,735,428.77"
短期借款,,,,,,,,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"31,217,996.06","42,656,170.25","43,018,377.73","37,915,024.84","36,930,681.13","52,060,644.42","59,830,912.59","59,894,907.85","52,901,742.29","59,216,551.09"
应付票据,,,,,,"8,713,500.00","8,713,500.00",,,
应收账款,"52,640,523.06","55,167,558.93","63,640,598.80","89,877,994.93","99,849,189.83","111,369,140.41","109,149,086.54","111,030,153.62","133,376,758.79","140,934,332.50"
应付账款,"14,157,364.29","16,954,492.89","21,682,724.72","37,889,858.69","130,722,207.37","50,561,171.94","87,815,307.61","87,458,418.45","54,952,362.19","58,209,846.03"
预付款项,"1,013,210.75","747,573.40","476,991.51","1,449,310.92","5,975,496.21","3,883,008.69","2,210,375.41","1,682,598.06","6,506,942.49","5,136,940.40"
预收款项,"382,053.91","393,008.17","270,046.81","360,868.28","621,293.70","323,155.51","719,355.19","480,984.07","885,212.96","1,046,078.92"
其他应收款,"14,000.00","375,400.00","371,000.00","1,517,970.74","1,846,351.19","1,499,997.00","1,607,998.37","661,429.38","1,191,577.76","668,061.50"
应付职工薪酬,"6,342,842.71","8,774,519.36","8,294,852.68","16,899,808.90","7,997,431.57","11,161,754.27","15,255,803.63","21,355,602.17","10,770,567.13","14,757,274.21"
应收关联公司款,,,,,,,,,,
应交税费,"5,482,242.31","5,449,474.03","6,043,538.59","8,541,221.36","6,704,993.27","10,584,595.69","16,186,504.05","12,353,882.65","12,493,928.49","13,545,415.70"
应收利息,,,,,,,,,,
应付利息,,,,,,,,,,
应收股利,,,,,,,,,,
应付股利,,,,,,,,,,
存货,"41,505,411.07","43,866,316.60","44,436,608.68","53,764,232.02","57,638,258.67","59,026,487.69","68,399,249.08","74,942,902.10","79,813,278.69","85,477,809.44"
其他应付款,"50,000.00","50,000.00","50,000.00","50,000.00","72,946.99","71,884.15","145,827.92","20,000.00","36,396,930.63","35,911,376.12"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,
其他流动资产,,,"62,949.17","198,078.38","1,544,912.06","166,883,363.71","210,194,496.82","240,513,357.91","206,108,593.97","49,383,408.84"
其他流动负债,"2,360,905.23","1,371,331.29","772,930.19","398,252.96","398,252.96","398,252.96","394,092.50","2,106,306.44","2,101,522.37","2,095,839.12"
流动资产合计,"234,646,893.69","265,442,694.73","275,884,634.43","310,567,838.15","909,916,023.28","886,982,195.71","917,248,068.54","901,125,494.06","915,199,101.71","913,552,532.54"
流动负债合计,"28,775,408.45","32,992,825.74","37,114,092.99","64,140,010.19","146,517,125.86","81,814,314.52","129,230,390.90","123,775,193.78","117,600,523.77","125,565,830.10"
可供出售金融资产,,,,,,,,,,
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,,,,,,,,,,
长期应付款,,,,,,,,,,
长期股权投资,,,,,,,,,,
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,,,,,,,,,,
固定资产,"110,192,939.47","103,873,452.57","117,076,135.22","148,798,409.24","142,952,655.32","141,477,581.02","255,653,592.95","389,973,587.28","387,579,483.50","373,278,269.40"
递延所得税负债,,,"35,216.38","24,883.59","24,907.95","24,932.31","24,956.67","12,934.95","12,959.31","12,943.07"
在建工程,"3,186,840.40","8,297,015.85","24,582,575.45","51,729,030.68","117,589,791.10","144,423,231.35","103,630,107.41","7,747,986.42","10,600,920.82","36,825,573.10"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"4,813,283.71","3,441,952.42","2,704,238.74","7,617,252.95","7,617,277.31","11,608,501.67","12,768,302.04","16,919,846.76","16,395,897.95","19,425,234.69"
固定资产清理,,,,,,,,,,
负债合计,"33,588,692.16","36,434,778.16","39,818,331.73","71,757,263.14","154,134,403.17","93,422,816.19","141,998,692.94","140,695,040.54","133,996,421.72","144,991,064.79"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","93,600,000.00","93,600,000.00","93,600,000.00","93,600,000.00","94,601,400.00","179,742,660.00"
油气资产,,,,,,,,,,
资本公积,"134,549,719.79","134,549,719.79","134,549,719.79","134,549,719.79","716,196,319.05","716,210,737.46","716,210,737.46","716,210,737.46","751,560,157.46","668,255,297.46"
无形资产,"9,860,425.53","10,293,632.17","35,430,837.06","34,601,972.77","34,394,936.08","34,187,899.39","34,103,016.94","45,091,438.53","44,813,287.23","50,169,899.09"
盈余公积,"15,480,630.39","23,199,245.61","31,250,379.06","43,082,465.49","43,082,465.49","43,082,465.49","43,082,465.49","57,594,108.68","57,594,108.68","57,594,108.68"
开发支出,,,,,,,,,,
减:库存股,,,,,,,,,"36,350,820.00","35,850,120.00"
商誉,,,,,,,,,,
未分配利润,"109,925,673.48","144,431,431.82","182,096,094.36","251,690,439.31","282,772,445.62","296,284,943.08","336,221,968.57","353,247,869.60","386,536,394.24","389,517,494.42"
长期待摊费用,,,,,,,,,,
少数股东权益,,,,,,,,,,
递延所得税资产,"3,084,660.83","3,203,301.80","3,192,860.78","6,339,099.85","6,339,099.85","6,339,099.85","6,339,099.85","10,184,809.49","10,122,655.46","10,184,126.41"
外币报表折算价差,,,,,,,,,,
其他非流动资产,"2,572,955.90","17,505,078.26","1,547,482.00","19,043,537.04","78,593,127.70","29,190,954.90","14,139,978.77","7,224,440.50","19,622,213.38","20,240,104.81"
非正常经营项目收益调整,,,,,,,,,,
非流动资产合计,"128,897,822.13","143,172,480.65","181,829,890.51","260,512,049.58","379,869,610.05","355,618,766.51","413,865,795.92","460,222,262.22","472,738,560.39","490,697,972.81"
所有者权益(或股东权益)合计,"329,956,023.66","372,180,397.22","417,896,193.21","499,322,624.59","1,135,651,230.16","1,149,178,146.03","1,189,115,171.52","1,220,652,715.74","1,253,941,240.38","1,259,259,440.56"
资产总计,"363,544,715.82","408,615,175.38","457,714,524.94","571,079,887.73","1,289,785,633.33","1,242,600,962.22","1,331,113,864.46","1,361,347,756.28","1,387,937,662.10","1,404,250,505.35"
负债和所有者(或股东权益)合计,"363,544,715.82","408,615,175.38","457,714,524.94","571,079,887.73","1,289,785,633.33","1,242,600,962.22","1,331,113,864.46","1,361,347,756.28","1,387,937,662.10","1,404,250,505.35"
