科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"600,922,737.64","793,698,889.54","982,872,013.53","501,735,192.91","1,347,865,486.70","346,792,325.03","811,888,512.29","1,219,398,368.76","1,969,085,429.41","387,159,908.26","1,413,845,413.64","2,516,766,611.09","3,682,385,136.37","580,874,944.53","2,290,733,232.24","3,762,186,995.94","5,245,363,789.36","884,190,362.89","3,451,726,991.79","5,473,235,440.15","7,317,580,005.63","956,557,919.85"
二、营业利润,"103,528,517.56","120,623,154.62","136,083,108.88","68,773,946.92","164,437,766.54","33,432,028.99","81,751,355.29","133,788,188.48","179,739,280.86","25,404,202.95","111,440,489.68","195,646,968.00","280,078,687.62","32,349,570.05","157,853,224.30","280,110,217.89","506,677,653.69","52,318,839.29","338,836,520.66","562,486,752.71","730,037,206.02","91,625,004.25"
减:营业成本,"385,948,952.07","530,439,267.95","673,332,924.45","341,632,250.19","948,743,374.13","259,228,998.89","619,587,762.39","910,999,592.14","1,495,015,552.50","300,911,798.20","1,169,671,990.62","2,083,207,357.43","3,039,852,262.19","460,309,472.57","1,955,371,291.53","3,162,706,059.41","4,339,973,261.27","717,673,679.47","2,857,222,788.42","4,445,620,959.56","5,910,776,373.48","715,896,220.13"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"4,362,918.37","3,967,199.16","7,012,247.46","2,524,084.31","7,781,768.02","1,694,704.78","3,267,020.73","5,475,109.59","8,363,040.67","1,575,779.00","5,256,702.72","7,424,181.40","12,425,324.51","3,791,715.46","10,300,217.55","16,562,935.41","26,510,776.08","5,076,696.17","12,186,108.84","21,255,990.81","30,234,734.51","5,988,474.58"
营业外收入,"15,009,218.95","26,971,798.97","3,661,713.95","5,729,374.60","17,820,119.47","2,635,633.37","5,324,281.69","7,925,681.78","16,949,883.75","3,706,749.80","6,849,288.05","18,113,853.16","37,989,528.22","7,389,726.45","23,511,326.21","29,995,585.98","35,813,759.98","12,899,623.67","19,940,207.89","23,854,099.86","61,900,001.92","2,638,528.76"
销售费用,"67,381,736.15","80,756,861.18","97,503,235.59","51,371,265.76","134,051,315.83","25,061,267.87","63,146,802.41","103,200,441.30","163,910,630.56","31,452,537.89","63,304,929.81","112,265,265.84","161,287,960.73","28,593,154.07","63,288,198.19","109,145,525.88","165,552,179.71","30,749,108.80","80,913,618.28","149,437,432.77","219,943,144.21","55,118,761.91"
减:营业外支出,"258,102.36",,"259,331.51","237,719.43","279,086.29","99,010.31","123,423.66","290,252.94","372,393.70","45,350.03","155,016.57","225,726.09","1,630,180.63","4,261.18","4,768.08","5,429.12","5,429.12",435.26,"30,435.26","33,875.94","34,875.94","237,854.47"
管理费用,"42,185,593.72","55,251,677.33","66,341,670.96","34,459,451.68","74,949,622.18","20,636,310.12","44,009,412.58","67,521,061.10","104,352,943.12","21,934,360.10","51,861,421.88","104,682,155.08","161,557,054.87","61,705,409.74","92,657,401.79","149,037,843.68","224,303,302.75","55,642,081.68","100,603,784.63","168,470,079.43","293,273,387.47","54,478,636.51"
其中:非流动资产处置净损失,"2,111.47",,"163,144.18","233,607.37","277,886.29","24,882.31","48,595.66","214,772.01","296,832.77","37,573.18","131,762.16","201,022.23","786,145.65","3,703.79","3,703.79","3,703.79","3,703.79",,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-471,491.94","2,138,511.19","1,056,853.09","5,909,345.24","12,328,993.51","1,277,058.24","1,407,807.02","4,053,119.43","3,217,329.25","1,255,035.21","3,857,362.67","7,823,725.36","8,492,686.18","4,177,251.01","14,482,508.42","27,564,114.13","33,588,080.88","12,262,938.07","37,460,005.53","64,138,126.89","93,524,220.50","30,973,035.78"
三、利润总额,"118,279,634.15","147,594,953.59","139,485,491.32","74,265,602.09","181,978,799.72","35,968,652.05","86,952,213.32","141,423,617.32","196,316,770.91","29,065,602.72","118,134,761.16","213,535,095.07","316,438,035.21","39,735,035.32","181,359,782.43","310,100,374.75","542,485,984.55","65,218,027.70","358,746,293.29","586,306,976.63","791,902,332.00","94,025,678.54"
