科目,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"527,833,845.61","314,400,220.36","438,356,802.21","620,781,703.30","261,043,485.51","409,849,156.78","593,598,589.96","806,880,662.07","335,674,373.45","545,886,869.67","736,490,489.46","975,256,834.53","384,916,519.25","617,007,387.74","866,933,205.49","1,125,598,117.00","461,870,655.60","748,499,391.64","997,077,119.81","1,304,568,611.04","578,768,225.77","875,386,989.36","1,165,446,097.08","1,502,863,394.47","621,117,081.89","936,903,336.47","1,233,337,319.92","1,554,055,617.97","634,689,852.49","978,481,901.02","1,286,557,576.57"
取得借款收到的现金,"477,500,000.00","330,000,000.00","330,000,000.00","430,000,000.00",,,,,,,,,,,,"3,000,000.00",,,,,,,,,,,,,,,
支付的各项税费,"274,648,462.65","115,293,954.13","161,840,478.30","210,799,419.21","73,980,303.69","126,787,568.94","179,952,295.80","241,452,974.24","78,725,347.03","163,609,891.17","207,425,998.90","302,007,374.73","82,670,330.81","185,624,574.85","232,456,328.34","345,681,992.54","73,220,626.72","123,726,529.20","176,608,138.10","266,862,828.70","96,296,945.51","172,311,652.10","235,867,751.71","311,062,423.34","92,945,075.55","172,669,351.06","252,828,813.39","324,500,932.73","122,509,612.43","184,045,381.71","258,886,709.99"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,"940,000.00",,,
支付其他与经营活动有关的现金,"565,530,408.92","366,958,796.33","637,179,997.85","853,499,238.06","255,959,225.13","465,423,115.44","704,679,724.19","990,549,393.63","274,451,227.17","480,459,277.33","776,733,076.95","1,078,490,860.87","305,897,375.50","515,174,708.19","791,147,438.62","1,303,126,565.36","287,328,533.18","751,538,752.95","1,280,306,697.78","1,875,301,877.10","392,629,454.93","576,427,330.83","1,261,278,422.58","1,656,667,096.08","485,214,448.81","646,650,676.61","994,316,564.96","1,501,528,716.51","381,878,850.13","643,729,697.91","798,738,199.60"
筹资活动现金流入小计,"935,160,000.00","344,700,000.00","359,400,000.00","4,592,735,680.00",,,,"158,682,000.00",,,,,,,"10,000,000.00","13,000,000.00",,"300,000,000.00","310,000,000.00","310,000,000.00",,,,"26,740,000.00","4,900,000.00","4,900,000.00","4,900,000.00","6,280,000.00","3,160,000.00","3,160,000.00","6,997,600.00"
经营活动现金流出小计,"3,626,737,644.85","1,955,750,898.97","3,047,499,669.97","4,648,237,972.46","1,050,537,422.11","2,214,856,694.59","3,686,409,488.89","5,447,350,967.71","1,535,277,664.51","2,829,978,056.75","4,292,385,628.19","6,322,625,588.70","1,578,507,295.10","3,200,209,407.68","4,928,357,501.88","7,571,597,507.91","1,747,518,969.71","3,655,616,378.27","5,531,412,449.19","8,252,828,259.94","2,147,000,754.62","4,112,892,587.79","6,508,457,028.03","9,203,849,722.86","2,452,349,549.23","4,470,736,516.72","6,591,298,588.15","9,424,290,139.03","2,471,503,194.86","4,609,717,695.02","6,934,729,036.38"
偿还债务支付的现金,"65,000,000.00","429,500,000.00","559,500,000.00","759,500,000.00","100,000,000.00","100,000,000.00","111,321,200.00","115,207,400.38","416,918.36","416,918.36","416,918.36","416,918.36",,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"935,768,618.06","134,426,964.64","262,208,353.94","804,793,428.32","-297,107,181.64","222,736,223.61","367,854,847.45","1,111,637,417.43","-169,668,298.21","69,286,110.01","248,196,336.27","1,095,995,508.72","-113,471,546.90","177,501,597.16","495,691,725.51","1,279,257,902.86","-113,542,394.70","528,898,999.48","170,596,600.41","1,534,733,870.59","-693,286,197.85","407,509,395.14","411,703,929.68","1,943,536,470.41","-514,158,017.74","442,605,056.32","652,377,483.26","2,164,686,772.15","-47,133,205.44","1,003,362,817.88","1,108,584,402.12"
分配股利、利润或偿还利息支付的现金,"820,214,904.07","370,084,025.37","373,618,895.51","376,080,416.08","368,952.70","111,593,560.01","111,613,399.39","115,943,558.03","1,090,352.62","215,197,327.28","218,157,992.76","225,443,445.66",,"320,633,257.57","331,519,859.12","344,950,527.75",,"371,597,293.39","373,597,293.39","380,955,764.07","826,969.59","505,955,523.31","513,107,661.74","543,162,686.47",,"528,528,114.38","531,675,206.66","570,699,285.76",,"921,907,102.21","932,339,505.21"
收回投资收到的现金,,,,,,,,"200,000,000.00",,"580,000,000.00","780,000,000.00","900,000,000.00","235,000,000.00","835,000,000.00","835,000,000.00","1,185,000,000.00","200,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00",,,,,,,,"450,000,000.00","5,000,000.00","255,000,000.00","505,141,304.20"
支付其他与筹资活动有关的现金,,,,"7,291,100.00","199,000.00","199,000.00","2,479,518.28","2,134,702.45",1.00,"144,950.43","144,950.43","939,890.43",,"228,354.61","228,354.61","1,363,739.95","1,080,277.01","2,555,549.95","15,140,175.67","21,423,918.83","1,041,076.56","162,574,139.54","163,606,730.29","164,634,045.58","1,026,252.90","2,592,817.12","13,181,830.02","15,093,561.33","1,026,252.90","64,213,943.80","64,628,549.79"
取得投资收益收到的现金,"20,278.00",,,"20,278.00",,,,"10,024,292.24",,"12,576,073.06","16,739,808.98","24,345,642.54","2,390,246.70","10,437,643.92","12,719,835.70","19,595,319.18","6,494,444.44","10,072,222.22","12,522,222.22","12,552,639.07",,"620,000.00","2,450,000.00","2,480,416.80",,"3,920,000.00","3,940,277.90","20,466,182.24","2,450,000.00","14,161,794.37","35,076,725.88"
筹资活动现金流出小计,"885,214,904.07","799,584,025.37","933,118,895.51","1,142,871,516.08","100,567,952.70","211,792,560.01","225,414,117.67","233,285,660.86","1,507,271.98","215,759,196.07","218,719,861.55","226,800,254.45",,"320,861,612.18","331,748,213.73","346,314,267.70","1,080,277.01","374,152,843.34","388,737,469.06","402,379,682.90","1,868,046.15","668,529,662.85","676,714,392.03","707,796,732.05","1,026,252.90","531,120,931.50","544,857,036.68","585,792,847.09","1,026,252.90","986,121,046.01","996,968,055.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"8,260,873.55","211,217.50","360,474.10","691,801.70","382,478.00","449,607.50","848,558.50","5,489,914.30","200,576.50","249,056.50","371,236.50","780,915.50","163,300.00","430,586.00","749,966.00","820,310.00","52,065.00","342,429.73","417,137.73","554,147.19","37,669.00","261,745.50","350,306.50","467,413.82","394,318.10","598,946.77","744,963.83","3,785,785.37","143,575.62","2,375,790.96","3,465,749.64"
筹资活动产生的现金流量净额,"49,945,095.93","-454,884,025.37","-573,718,895.51","3,449,864,163.92","-100,567,952.70","-211,792,560.01","-225,414,117.67","-74,603,660.86","-1,507,271.98","-215,759,196.07","-218,719,861.55","-226,800,254.45",,"-320,861,612.18","-321,748,213.73","-333,314,267.70","-1,080,277.01","-74,152,843.34","-78,737,469.06","-92,379,682.90","-1,868,046.15","-668,529,662.85","-676,714,392.03","-681,056,732.05","3,873,747.10","-526,220,931.50","-539,957,036.68","-579,512,847.09","2,133,747.10","-982,961,046.01","-989,970,455.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,"352,384.16","352,384.16",,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,"-48,065.12","-176,558.47","-329,262.66","-96,183.33","-198,798.68","-258,928.22","-258,927.57",,-3.17,-14.88,"427,070.30","-19,634.43","-27,708.32","-27,708.66","-27,711.44","-4,118.16","-3,912.47","20,055.97","4,245.64","5,684.00","-1,323.00","59,363.50","59,363.50",,,,,"-26,467.98","-26,467.98","-26,467.98"
收到其他与投资活动有关的现金,,,,,"600,000.00","600,000.00",,"2,606,267.23",,,,,"68,191,153.94","61,331,153.94","61,331,153.94","61,331,153.94","22,424,791.44","22,424,791.44","22,424,791.44","22,424,791.44",,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"8,281,151.55","211,217.50","360,474.10","712,079.70","982,478.00","1,049,607.50","848,558.50","218,120,473.77","200,576.50","592,825,129.56","797,111,045.48","925,126,558.04","305,744,700.64","907,199,383.86","910,153,339.80","1,267,099,167.28","228,971,300.88","432,839,443.39","435,364,151.39","435,531,577.70","37,669.00","881,745.50","2,800,306.50","2,947,830.62","394,318.10","4,518,946.77","4,685,241.73","474,251,967.61","7,593,575.62","271,537,585.33","543,683,779.72"
五、现金及现金等价物净增加额,"775,362,286.75","-357,058,883.79","-389,219,761.41","4,134,519,980.90","-419,480,835.53","-21,618,982.18","-263,733,566.56","575,707,177.77","-387,052,729.49","-72,488,894.33","-310,348,474.16","799,313,701.03","-494,884,109.69","-300,163,220.98","-68,018,572.86","747,598,064.87","-108,517,458.71","620,396,479.77","237,966,759.69","1,515,066,345.07","-717,855,705.58","-309,181,261.29","-341,936,483.90","877,637,123.10","-546,324,293.67","-347,704,147.33","-579,859,745.60","892,616,131.70","-418,615,685.75","-274,247,834.86","-405,963,517.06"
购建固定资产、无形资产和其他长期资产支付的现金,"218,478,078.79","36,764,975.44","77,893,135.47","120,520,428.38","22,691,995.86","33,413,454.60","101,604,659.62","174,188,125.00","16,077,735.80","33,940,934.66","52,035,979.48","92,625,181.58","67,137,629.00","79,014,881.50","114,955,693.00","153,819,017.21","22,861,969.72","63,054,223.94","85,145,595.67","158,692,682.61","20,744,814.58","43,611,416.08","71,455,691.55","379,519,809.38","32,453,841.13","59,226,718.92","81,448,366.57","146,292,693.63","131,183,335.05","151,728,176.58","274,192,228.42"
期初现金及现金等价物余额,"1,403,578,536.89","2,178,940,823.64","2,178,940,823.64","2,178,940,823.64","6,313,460,804.54","6,313,460,804.54","6,313,460,804.54","6,313,460,804.54","6,889,167,982.31","6,889,167,982.31","6,889,167,982.31","6,889,167,982.31","7,688,481,683.34","7,688,481,683.34","7,688,481,683.34","7,688,481,683.34","8,436,079,748.21","8,436,079,748.21","8,436,079,748.21","8,436,079,748.21","9,951,146,093.28","9,951,146,093.28","9,951,146,093.28","9,951,146,093.28","10,828,783,216.38","10,828,783,216.38","10,828,783,216.38","10,828,783,216.38","11,721,399,348.08","11,721,399,348.08","11,721,399,348.08"
投资支付的现金,"154,500.00",,,,,,"305,159,267.00","505,000,000.00","200,000,000.00","484,900,000.00","1,084,900,000.00","902,810,000.00","620,000,000.00","984,960,000.00","1,037,040,000.00","1,309,082,673.75","200,000,000.00","203,430,000.00","203,430,000.00","200,000,000.00","2,000,000.00","2,000,000.00","4,900,000.00","4,900,000.00","3,980,500.00","209,380,500.00","609,380,500.00","1,014,380,500.00","250,000,000.00","414,432,547.50","794,042,547.50"
期末现金及现金等价物余额,"2,178,940,823.64","1,821,881,939.85","1,789,721,062.23","6,313,460,804.54","5,893,979,969.01","6,291,841,822.36","6,049,727,237.98","6,889,167,982.31","6,502,115,252.82","6,816,679,087.98","6,578,819,508.15","7,688,481,683.34","7,193,597,573.65","7,388,318,462.36","7,620,463,110.48","8,436,079,748.21","8,327,562,289.50","9,056,476,227.98","8,674,046,507.90","9,951,146,093.28","9,233,290,387.70","9,641,964,831.99","9,609,209,609.38","10,828,783,216.38","10,282,458,922.71","10,481,079,069.05","10,248,923,470.78","11,721,399,348.08","11,302,783,662.33","11,447,151,513.22","11,315,435,831.02"
