科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"6,738,617,322.00","15,047,127,412.00","8,318,535,509.07","13,076,000,139.00","16,983,764,323.00","4,954,228,965.00","9,629,588,304.97","14,758,399,604.00","20,955,824,674.00","6,311,913,289.00","13,460,489,921.89","20,616,564,920.00","28,539,578,900.00","7,463,148,387.88","15,852,267,784.94","28,483,998,490.25","39,763,915,441.00","9,187,170,814.06","20,992,524,396.47","34,633,878,522.25","48,414,719,206.00","11,771,790,055.07","25,987,634,064.88","37,028,143,995.20","49,771,511,898.00","10,762,187,142.00","23,986,053,892.00","40,600,781,853.00","58,760,533,928.00","15,895,832,976.00","38,832,439,537.00","61,197,871,426.00","74,303,573,739.00","19,397,681,539.00","38,889,899,709.00","57,291,340,015.00","78,851,137,811.00","18,457,471,590.00","37,523,631,910.00","61,977,261,779.00","94,548,619,098.00"
二、营业利润,"2,208,680,669.00","4,638,635,774.00","2,854,792,239.92","4,197,151,335.00","4,790,648,014.00","1,185,902,037.00","2,570,101,733.62","3,908,631,587.00","4,987,284,454.00","1,776,621,437.00","3,861,412,539.22","5,746,114,714.00","7,966,905,446.00","2,144,952,396.16","4,944,995,134.45","7,411,135,777.05","9,608,097,077.00","1,765,337,867.25","3,904,540,640.89","6,026,955,724.21","8,605,827,004.00","1,305,524,869.78","2,116,909,670.10","3,376,270,426.55","4,021,655,239.00","847,637,468.00","1,902,111,165.00","3,298,089,193.00","3,460,158,957.00","594,775,926.00","1,913,001,051.00","2,338,715,386.00","1,944,488,905.00","110,563,118.00","610,804,380.00","1,684,313,279.00","2,311,916,424.00","1,355,025,238.00","2,315,227,665.00","3,689,339,144.00","5,026,644,755.00"
减:营业成本,"4,046,144,317.00","9,113,036,024.00","4,825,317,392.91","7,823,268,845.00","10,326,570,983.00","3,558,862,882.00","6,411,363,741.88","9,784,015,498.00","13,904,702,325.00","4,181,935,928.00","8,588,253,477.95","13,260,542,053.00","18,337,383,129.00","4,884,785,304.80","10,110,447,993.36","19,181,865,220.52","27,536,543,588.00","6,717,075,068.77","15,530,386,362.51","26,165,343,595.51","36,374,864,074.00","9,538,287,036.80","21,509,706,763.41","30,392,480,416.67","40,846,480,113.00","9,266,741,312.00","20,101,935,320.00","34,240,689,037.00","50,881,767,555.00","14,334,056,235.00","35,015,201,697.00","55,863,717,311.00","68,007,729,583.00","17,195,478,957.00","34,594,052,055.00","50,675,686,761.00","69,782,246,837.00","15,849,032,900.00","32,048,962,179.00","52,835,119,372.00","81,371,973,684.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"65,198,839.00","175,859,678.00","105,881,293.12","175,546,516.00","239,097,606.00","47,411,206.00","107,587,112.62","171,337,791.00","251,578,418.00","65,359,427.00","162,673,847.93","264,569,264.00","352,964,119.00","69,006,364.88","170,010,692.74","284,225,629.46","382,045,241.00","95,374,830.61","232,458,328.85","359,859,860.69","541,098,426.00","95,333,716.82","257,861,290.81","416,020,515.21","719,196,040.00","161,269,039.00","377,188,158.00","619,450,291.00","838,416,174.00","200,698,693.00","415,226,067.00","613,255,485.00","809,662,007.00","203,727,469.00","389,604,660.00","585,622,911.00","907,955,846.00","285,448,539.00","568,841,706.00","918,574,884.00","1,352,340,359.00"
营业外收入,"8,142,954.00","38,831,408.00","17,564,573.78","22,599,769.00","56,771,707.00","13,315,497.00","97,607,227.10","162,334,098.00","215,282,662.00","6,035,001.00","24,517,472.67","44,230,281.00","99,971,340.00","19,248,353.42","48,238,594.15","68,578,250.54","134,572,479.00","20,646,934.37","48,127,181.88","80,014,881.68","220,898,413.00","43,670,963.19","72,288,477.42","152,502,469.03","223,486,351.00","27,588,618.00","72,054,811.00","114,047,631.00","236,741,221.00","38,699,764.00","102,154,260.00","149,610,220.00","419,019,949.00","32,891,143.00","103,829,667.00","153,201,636.00","262,363,612.00","81,702,358.00","88,150,694.00","100,423,500.00","57,610,854.00"
销售费用,"110,278,419.00","254,999,876.00","131,011,413.06","227,236,360.00","316,947,941.00","57,033,968.00","158,142,029.46","251,786,404.00","376,971,302.00","53,646,139.00","143,536,866.16","324,451,694.00","468,769,177.00","69,337,261.90","177,271,288.35","319,930,448.57","433,256,436.00","90,620,024.26","293,800,158.63","457,997,839.49","596,860,745.00","87,293,226.79","263,233,554.00","391,952,056.80","525,665,748.00","96,880,136.00","309,852,981.00","619,720,922.00","905,512,920.00","193,794,090.00","391,516,830.00","549,970,138.00","691,861,398.00","188,690,672.00","332,124,951.00","501,737,472.00","667,483,736.00","211,515,623.00","389,061,277.00","575,690,688.00","748,942,449.00"
减:营业外支出,"120,466,339.00","248,948,560.00","86,822,564.30","141,351,456.00","314,364,073.00","37,699,323.00","72,292,971.06","107,157,773.00","183,659,325.00","44,961,728.00","112,771,599.32","346,883,961.00","735,305,014.00","36,024,634.22","91,480,781.59","167,975,407.64","466,367,867.00","82,149,305.03","108,671,386.37","216,844,200.82","270,666,100.00","67,353,970.40","104,830,439.19","186,675,921.37","410,440,020.00","51,857,315.00","124,346,018.00","182,152,818.00","372,762,188.00","27,279,194.00","108,468,861.00","142,322,191.00","277,336,663.00","32,764,798.00","97,840,390.00","177,191,976.00","448,228,330.00","195,400,058.00","252,211,568.00","303,942,754.00","516,295,416.00"
管理费用,"289,196,927.00","776,565,609.00","421,435,049.48","655,811,441.00","1,000,552,076.00","171,380,328.00","387,918,850.59","578,021,628.00","899,294,197.00","243,633,982.00","541,118,324.58","834,159,406.00","1,362,043,598.00","333,846,869.07","689,176,321.06","1,077,361,179.98","1,609,339,207.00","409,633,768.43","887,298,205.47","1,307,298,672.97","1,874,254,433.00","523,397,332.98","1,019,189,751.34","1,588,451,595.15","2,165,817,191.00","521,058,445.00","1,106,603,400.00","1,646,410,664.00","2,175,124,236.00","617,318,979.00","1,171,923,947.00","1,771,137,682.00","2,620,740,626.00","700,151,090.00","1,341,882,050.00","2,040,038,187.00","2,822,472,260.00","844,590,293.00","1,486,151,958.00","2,208,128,093.00","2,994,070,229.00"
其中:非流动资产处置净损失,"-4,340,892.00","5,477,077.00","-5,729,074.77","5,753,825.00","9,936,357.00","2,660,827.00","3,194,108.68","5,943,283.00","19,186,024.00","1,309,355.00","4,214,349.70","8,824,021.00","78,834,417.00","5,521,639.86","13,274,895.44","17,632,386.77","41,842,806.00","9,449,189.33","10,051,804.50","25,706,144.50","42,731,004.00","2,472,115.36","10,499,965.21","25,268,993.89","126,942,650.00","12,878,410.00","35,711,137.00","69,644,653.00","151,038,028.00","8,001,426.00","15,594,414.00","27,077,763.00","46,337,101.00","489,664.00","16,719,346.00","53,300,152.00","296,510,681.00","141,599,243.00","163,535,468.00","165,351,499.00",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"122,034,687.00","252,075,570.00","69,461,595.10","68,471,304.00","98,131,248.00","12,358,815.00","15,259,677.11","39,088,678.00","44,525,106.00","28,448,084.00","75,013,355.73","153,249,735.00","190,780,667.00","69,035,535.05","139,171,923.08","275,762,454.61","496,400,784.00","154,376,782.41","327,823,100.87","471,073,477.45","803,965,178.00","292,551,684.28","584,662,530.64","785,588,275.51","733,059,904.00","127,352,848.00","249,326,277.00","520,735,866.00","767,954,016.00","174,081,900.00","434,556,891.00","703,358,404.00","945,668,268.00","277,706,407.00","439,930,366.00","712,456,074.00","581,525,541.00","450,609,626.00","1,217,604,896.00","1,937,211,395.00","2,012,950,292.00"
三、利润总额,"2,096,357,284.00","4,428,518,622.00","2,785,534,249.40","4,078,399,648.00","4,533,055,648.00","1,161,518,211.00","2,595,415,989.66","3,963,807,912.00","5,018,907,791.00","1,737,694,710.00","3,773,158,412.57","5,443,461,034.00","7,331,571,772.00","2,128,176,115.36","4,901,752,947.01","7,311,738,619.95","9,276,301,689.00","1,703,835,496.59","3,843,996,436.40","5,890,126,405.07","8,556,059,317.00","1,281,841,862.57","2,084,367,708.33","3,342,096,974.21","3,834,701,570.00","823,368,771.00","1,849,819,958.00","3,229,984,006.00","3,324,137,990.00","606,196,496.00","1,906,686,450.00","2,346,003,415.00","2,086,172,191.00","110,689,463.00","616,793,657.00","1,660,322,939.00","2,126,051,706.00","1,241,327,538.00","2,151,166,791.00","3,485,819,890.00","4,567,960,193.00"
