科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,422,962,874.68","1,659,788,381.39","1,999,660,444.97","1,044,653,532.04","1,546,742,043.47","2,796,751,085.79","353,860,417.51","1,271,230,901.25","2,129,336,801.90","3,662,113,943.32","660,628,357.42","1,672,044,833.92","2,646,563,845.19","4,360,148,547.55","821,118,402.31","2,159,419,506.07","3,788,524,858.09","6,294,223,394.82","1,469,092,479.97"
二、营业利润,"120,586,089.10","147,466,294.35","57,059,074.01","6,795,899.94","3,546,741.03","71,407,692.51","-43,236,420.57","17,989,478.35","26,392,381.20","138,163,408.77","27,774,095.37","58,446,104.55","66,989,085.07","223,971,251.49","19,101,310.15","67,629,550.34","94,808,910.60","361,333,092.92","35,075,219.62"
减:营业成本,"1,020,359,091.24","1,183,104,614.39","1,509,567,010.00","817,019,349.25","1,197,844,881.73","2,198,267,417.58","284,344,564.84","1,018,157,809.32","1,728,399,536.89","2,927,904,655.15","516,975,512.61","1,309,350,551.34","2,091,867,589.21","3,450,785,464.17","637,328,549.09","1,727,121,496.97","3,136,253,964.18","5,198,145,025.94","1,210,201,558.84"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"12,607,098.75","8,707,541.60","11,388,300.23","2,677,003.61","4,467,688.88","9,078,299.28","632,813.41","6,140,848.74","8,297,944.47","12,597,113.67","1,712,880.21","4,188,795.73","7,998,852.59","25,577,635.30","4,152,719.67","10,983,769.86","17,991,791.58","32,521,457.39","6,691,429.45"
营业外收入,"22,239,700.93","33,401,159.75","56,417,573.38","27,141,613.91","37,897,066.99","67,445,974.55","12,568,757.02","26,461,668.61","39,905,540.25","63,934,565.03","16,323,270.65","26,781,393.82","35,811,414.64","65,063,692.22","9,729,354.48","21,625,704.48","8,197,346.11","10,830,719.71","271,595.60"
销售费用,"108,663,421.46","120,454,235.43","145,621,905.50","74,316,496.71","125,483,301.64","191,344,895.08","48,297,947.63","90,886,380.87","156,283,994.49","243,798,242.35","54,654,177.07","119,891,657.83","193,090,312.59","274,912,465.82","61,652,131.38","135,920,846.18","217,696,588.65","319,950,438.26","71,587,076.87"
减:营业外支出,"281,719.25","726,213.07","6,579,525.11","438,020.54","457,822.23","775,048.84","16,773.89","41,032.55","61,114.93","179,306.01","124,290.17","411,360.36","1,091,071.61","8,196,787.48","394,986.18","521,037.40","720,039.64","892,190.03","930,524.97"
管理费用,"140,418,209.38","184,556,919.04","244,853,628.60","118,223,130.77","177,995,652.01","279,300,782.80","50,705,596.70","112,306,738.01","166,424,303.09","280,397,990.92","66,872,243.98","149,741,226.30","235,906,598.09","318,137,137.95","80,177,315.17","172,245,952.40","257,841,512.10","387,668,358.64","111,150,539.43"
其中:非流动资产处置净损失,"19,209.49","147,016.77","6,380,215.61","76,350.46",,"88,365.32","16,373.89","38,972.51","57,899.16","65,468.33","104,290.17","204,418.99","443,488.67","732,522.03","206,267.29","278,570.49","437,814.99",,
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
财务费用,"11,750,333.75","23,001,443.06","28,592,669.22","20,651,369.47","31,624,900.54","40,371,863.34","7,409,489.71","15,783,582.09","27,003,880.78","37,919,534.92","14,065,162.84","34,526,694.76","46,536,104.87","54,585,956.47","11,514,508.53","27,361,554.64","53,960,584.53","83,480,405.12","32,074,481.00"
三、利润总额,"142,544,070.78","180,141,241.03","106,897,122.28","33,499,493.31","40,985,985.79","138,078,618.22","-30,684,437.44","44,410,114.41","66,236,806.52","201,918,667.79","43,973,075.85","84,816,138.01","101,709,428.10","280,838,156.23","28,435,678.45","88,734,217.42","102,286,217.07","371,271,622.60","34,416,290.25"
资产减值损失,"8,578,631.00","-7,502,666.48","3,168,082.56","5,156,505.75","5,965,101.10","7,828,029.17","5,779,438.23","10,022,065.80","15,998,929.76","20,466,163.74","7,718,101.46","27,382,817.18","37,581,097.82","50,855,562.76","7,930,333.56","17,020,834.42","32,280,309.64","37,873,281.17","3,137,996.14"
减:所得税,"27,730,237.75","23,224,728.63","13,097,347.64","9,954,829.59","11,158,616.99","20,041,333.49","2,530,394.83","8,555,879.13","19,845,402.35","22,391,269.06","12,664,626.99","19,503,554.44","22,364,504.15","40,718,374.66","13,318,660.65","29,028,638.63","38,693,955.71","44,609,223.12","15,022,026.80"
