科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"14,331,956,177.85","10,687,318,287.40","13,707,809,739.31","6,534,100,939.19","12,707,589,804.50","2,940,196,065.20","5,783,297,081.57","8,972,926,476.51","13,335,294,595.52","3,513,321,515.09","6,478,794,883.28","10,087,377,763.74","14,272,346,742.83","3,476,503,750.77","6,950,836,040.85","11,089,362,050.96","15,873,001,002.01","4,259,256,574.70","9,585,256,616.34","15,444,249,431.92","21,323,077,287.23","4,901,919,763.42","9,926,007,342.08","16,483,650,406.22","23,983,883,716.87","6,469,863,661.88","12,891,748,393.53","20,188,973,376.35","29,705,684,977.64","6,225,834,419.23","12,804,853,159.94"
二、营业利润,"89,693,295.65","375,883,388.57","624,436,599.46","227,288,905.83","526,894,360.62","131,890,883.37","282,610,501.70","499,790,453.75","742,819,967.72","196,738,265.63","312,085,882.23","456,454,670.25","616,530,917.91","185,570,522.25","399,483,054.64","595,285,789.71","798,889,651.38","149,793,554.32","241,031,564.50","499,085,062.23","738,054,420.75","86,399,129.40","295,415,143.57","589,185,435.20","990,571,589.03","342,926,344.30","659,857,025.06","1,019,736,756.25","1,564,790,728.88","223,806,194.25","477,669,022.41"
减:营业成本,"12,960,394,017.56","9,401,838,117.63","12,136,265,826.84","5,820,964,303.92","11,243,920,694.09","2,593,674,440.29","5,069,811,547.11","7,824,018,356.30","11,670,547,953.42","3,096,932,760.48","5,718,888,642.63","8,959,837,133.90","12,570,727,506.56","3,029,669,038.05","5,985,368,083.22","9,608,226,097.01","13,804,620,593.43","3,790,561,710.78","8,670,002,451.14","13,932,596,915.20","19,093,432,555.92","4,472,844,904.41","8,931,812,250.12","14,779,645,749.34","21,398,217,873.36","5,730,019,008.08","11,411,222,782.45","17,927,059,999.59","26,428,477,987.94","5,584,060,103.70","11,464,349,367.32"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,,,"1,614,573.62","8,777,685.93","800,016.99","2,442,353.02","4,563,842.96","7,123,371.53","1,577,683.32","5,209,220.19","8,778,654.86","12,222,217.55","4,986,805.67","9,548,684.16","13,225,603.09","18,268,037.56","4,877,220.08","12,025,918.47","17,808,258.57","23,961,491.53","7,363,220.10","13,034,989.13","18,816,320.18","35,208,657.28","8,077,562.85","18,224,647.41","26,887,504.81","35,023,156.60","7,901,298.85","17,358,198.93"
营业外收入,"17,816,667.41","24,834,460.64","18,072,232.17","14,782,391.00","22,299,128.80","2,901,162.26","5,502,228.55","8,520,876.49","27,018,077.47","2,543,922.48","5,579,381.90","9,789,511.91","19,913,650.99","4,621,861.85","10,455,843.83","17,067,811.90","21,923,012.69","8,525,648.67","14,364,315.03","20,990,391.47","30,742,331.65","15,138,626.82","21,368,934.11","44,889,402.90","61,714,094.95","7,346,599.23","19,586,263.82","26,840,710.84","9,464,474.23","1,695,248.23","5,888,937.83"
销售费用,"410,065,014.10","233,427,183.18","249,848,877.17","128,130,703.15","234,844,037.30","46,099,088.64","92,573,135.55","144,272,330.76","210,674,102.48","49,505,952.61","104,417,619.40","161,065,299.73","217,944,096.29","59,459,941.23","133,615,360.30","199,253,683.30","279,292,658.94","58,687,089.01","115,043,794.16","166,908,174.68","225,404,135.51","53,095,065.89","107,886,206.56","164,923,923.25","223,677,288.10","54,061,487.97","112,550,657.59","170,026,882.62","240,143,670.80","64,519,963.70","134,789,279.91"
减:营业外支出,"15,972,392.21","17,597,832.71","14,874,358.70","2,904,483.73","5,033,735.09","1,200,445.40","3,632,125.33","5,245,232.51","6,763,221.52","893,489.65","3,392,075.52","4,258,701.30","5,272,465.16","3,543,523.16","7,565,328.49","12,318,144.87","9,645,204.60","285,934.13","902,159.18","7,184,339.12","11,243,896.39","2,823,411.47","3,093,077.04","6,474,695.35","44,934,488.44","273,249.80","1,964,790.78","2,938,389.69","9,829,303.79","5,113,355.74","21,593,385.03"
管理费用,"741,404,103.17","680,097,374.36","697,913,158.10","330,802,205.07","671,607,447.44","170,552,115.96","335,430,535.37","500,507,241.12","684,012,834.88","167,335,584.85","321,801,339.35","502,935,480.88","855,429,773.38","213,954,936.16","455,758,145.66","724,104,409.69","1,036,451,435.78","281,296,531.98","589,135,960.94","874,433,090.89","1,306,975,085.60","285,023,060.26","601,551,428.04","967,350,808.94","1,399,401,057.46","352,827,833.61","757,944,512.64","1,134,081,509.74","1,638,620,051.90","346,534,192.18","742,180,997.36"
其中:非流动资产处置净损失,"3,937,914.65","12,540,118.10","1,445,811.27","1,427,905.06","2,969,549.83","1,072,599.50","3,249,740.17","4,639,084.85","6,051,515.95","877,123.58","3,344,218.72","3,938,984.90","4,754,859.85","1,607,418.64","5,303,438.90","8,231,086.89","8,407,696.52","170,199.66","215,755.56","6,404,112.48","10,167,967.84",,"2,907,723.34","5,897,390.91","44,173,498.78",,"1,542,618.36","2,391,408.94",,,
